Project Request,Scientific Name,Native,Point of Contact for Submission,Email,Common Name,Survey Type,raw
Kathy Ann UC Berkelely Current and former names for California seaweeds,Acinetospora nicholsoniae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Acinetospora nicholsoniae G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Acrochaete apiculata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Acrochaete apiculata (Setchell & N.L. Gardner) C.J. O'Kelly
Kathy Ann UC Berkelely Current and former names for California seaweeds,Acrochaetium angustum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Acrochaetium angustum (K.M. Drew) G.F. Papenfuss
Kathy Ann UC Berkelely Current and former names for California seaweeds,Acrochaetium arcuatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Acrochaetium arcuatum (K.M. Drew) C.K. Tseng
Kathy Ann UC Berkelely Current and former names for California seaweeds,Acrochaetium catenulatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Acrochaetium catenulatum M.A. Howe
Kathy Ann UC Berkelely Current and former names for California seaweeds,Acrochaetium microscopicum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Acrochaetium microscopicum (Kützing) Nägeli
Kathy Ann UC Berkelely Current and former names for California seaweeds,Acrochaetium plumosum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Acrochaetium plumosum (K.M. Drew) G.M. Smith
Kathy Ann UC Berkelely Current and former names for California seaweeds,Acrochaetium rosulatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Acrochaetium rosulatum (Rosenvinge) G.F. Papenfuss
Kathy Ann UC Berkelely Current and former names for California seaweeds,Acrochaetium tenuissimum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Acrochaetium tenuissimum (Collins) G.F. Papenfuss
Kathy Ann UC Berkelely Current and former names for California seaweeds,Acrosiphonia coalita,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Acrosiphonia coalita (Ruprecht) R.F. Scagel, D.J. Garbary, L. Golden & M.J. Hawkes"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Acrosiphonia saxatilis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Acrosiphonia saxatilis (Ruprecht) Vinogradova
Kathy Ann UC Berkelely Current and former names for California seaweeds,Acrosorium sp.,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Acrosorium sp.
Kathy Ann UC Berkelely Current and former names for California seaweeds,Agardhiella subulata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Agardhiella subulata (C. Agardh) G.T. Kraft & M.J. Wynne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Agissea orientalis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Agissea orientalis (Weber Bosse) Pestana, Lyra, Cassano & J.M.C. Nunes"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Aglaothamnion cordatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Aglaothamnion cordatum (Borgesen) Feldmann-Mazoyer
Kathy Ann UC Berkelely Current and former names for California seaweeds,Aglaothamnion endovagum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Aglaothamnion endovagum (Setchell & N.L. Gardner) I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Aglaothamnion tenuissimum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Aglaothamnion tenuissimum (Bonnemaison) Feldmann-Mazoyer
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ahnfeltia fastigiata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ahnfeltia fastigiata (Endlicher) Makienko
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ahnfeltiopsis linearis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ahnfeltiopsis linearis (C. Agardh) P.C. Silva & T.C. DeCew
Kathy Ann UC Berkelely Current and former names for California seaweeds,Alaria marginata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Alaria marginata Postels & Ruprecht
Kathy Ann UC Berkelely Current and former names for California seaweeds,Amphiroa beauvoisii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Amphiroa beauvoisii Lamouroux
Kathy Ann UC Berkelely Current and former names for California seaweeds,Amplisiphonia pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Amplisiphonia pacifica G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Analipus japonicus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Analipus japonicus (Harvey) M.J. Wynne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Anisocladella pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Anisocladella pacifica Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Anotrichium furcellatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Anotrichium furcellatum (J. Agardh) R.N. Baldock
Kathy Ann UC Berkelely Current and former names for California seaweeds,Antithamnion defectum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Antithamnion defectum Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Antithamnion dendroideum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Antithamnion dendroideum G.M. Smith & G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Antithamnion hubbsii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Antithamnion hubbsii E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Antithamnion kylinii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Antithamnion kylinii N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Antithamnionella breviramosa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Antithamnionella breviramosa (E.Y. Dawson) Womersley & J.W. Bailey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Antithamnionella pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Antithamnionella pacifica (Harvey) E.M. Wollaston
Kathy Ann UC Berkelely Current and former names for California seaweeds,Antithamnionella spirographidis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Antithamnionella spirographidis (Schiffner) E.M. Wollaston
Kathy Ann UC Berkelely Current and former names for California seaweeds,Asparagopsis taxiformis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Asparagopsis taxiformis (Delile) Trevisan
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bangia maxima,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bangia maxima Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bangia vermicularis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bangia vermicularis Harvey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Battersia plumigera,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Battersia plumigera (Holmes ex Hauck) S.G.A. Draisma, W.F. Prud'homme van Reine & H. Kawai"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Battersia racemosa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Battersia racemosa (Greville) S.G.A. Draisma, W.F. Prud'homme van Reine & H. Kawai"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Besa leptophylla,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Besa leptophylla (J. Agardh) M.S. Calderon & K.A. Miller
Kathy Ann UC Berkelely Current and former names for California seaweeds,Besa papillaeformis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Besa papillaeformis Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Besa stipitata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Besa stipitata G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Binghamia californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Binghamia californica J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Binghamia forkii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Binghamia forkii (E.Y. Dawson) P.C. Silva
Kathy Ann UC Berkelely Current and former names for California seaweeds,Binghamiopsis caespitosa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Binghamiopsis caespitosa I.K. Lee, J.A. West, & M.H. Hommersand"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Blidingia dawsonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Blidingia dawsonii (G.J. Hollenberg & I.A. Abbott) S.C. Lindstrom, L.A. Hanic & L. Golden"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Blidingia minima,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Blidingia minima (Nägeli ex Kützing) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Blidingia minima,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Blidingia minima var. vexata (Setchell & N.L. Gardner) J.N. Norris
Kathy Ann UC Berkelely Current and former names for California seaweeds,Blidingia subsalsa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Blidingia subsalsa (Kjellman) R.F. Scagel et al.
Kathy Ann UC Berkelely Current and former names for California seaweeds,Blinksia californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Blinksia californica G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bolbocoleon piliferum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bolbocoleon piliferum Pringsheim
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bonnemaisonia californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bonnemaisonia californica Buffham
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bonnemaisonia geniculata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bonnemaisonia geniculata N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Bonnemaisonia hamifera,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Bonnemaisonia hamifera Hariot
