Project Request,Scientific Name,Point of Contact for Submission,Email,ITIS TSN,ITIS accepted Taxon
CalCOFI Ichthyoplankton,Ablennes hians,Ed Weber,ed.weber@noaa.gov,165548,Ablennes hians
CalCOFI Ichthyoplankton,Abralia,Ed Weber,ed.weber@noaa.gov,82406,Abralia
CalCOFI Ichthyoplankton,Abraliopsis felis,Ed Weber,ed.weber@noaa.gov,82401,Abraliopsis felis
CalCOFI Ichthyoplankton,Agonidae,Ed Weber,ed.weber@noaa.gov,167426,Agonidae
CalCOFI Ichthyoplankton,Agonopsis sterletus,Ed Weber,ed.weber@noaa.gov,167431,Agonopsis sterletus
CalCOFI Ichthyoplankton,Albatrossia pectoralis,Ed Weber,ed.weber@noaa.gov,165427,Albatrossia pectoralis
CalCOFI Ichthyoplankton,Alloclinus holderi,Ed Weber,ed.weber@noaa.gov,171465,Alloclinus holderi
CalCOFI Ichthyoplankton,Ammodytes hexapterus,Ed Weber,ed.weber@noaa.gov,171672,Ammodytes hexapterus
CalCOFI Ichthyoplankton,Anarrhichthys ocellatus,Ed Weber,ed.weber@noaa.gov,171345,Anarrhichthys ocellatus
CalCOFI Ichthyoplankton,Anguilliformes,Ed Weber,ed.weber@noaa.gov,161123,Anguilliformes
CalCOFI Ichthyoplankton,Anisotremus davidsonii,Ed Weber,ed.weber@noaa.gov,553364,Anisotremus davidsonii
CalCOFI Ichthyoplankton,Anoplarchus purpurescens,Ed Weber,ed.weber@noaa.gov,171564,Anoplarchus purpurescens
CalCOFI Ichthyoplankton,Anoplopoma fimbria,Ed Weber,ed.weber@noaa.gov,167123,Anoplopoma fimbria
CalCOFI Ichthyoplankton,Anotopterus pharao,Ed Weber,ed.weber@noaa.gov,162534,Anotopterus pharao
CalCOFI Ichthyoplankton,Antennarius avalonis,Ed Weber,ed.weber@noaa.gov,164529,Antennarius avalonis
CalCOFI Ichthyoplankton,Apodichthys sanctaerosae,Ed Weber,ed.weber@noaa.gov,630995,Apodichthys sanctaerosae
CalCOFI Ichthyoplankton,Arctozenus risso,Ed Weber,ed.weber@noaa.gov,644687,Arctozenus risso
CalCOFI Ichthyoplankton,Argentina sialis,Ed Weber,ed.weber@noaa.gov,162068,Argentina sialis
CalCOFI Ichthyoplankton,Argonauta argo,Ed Weber,ed.weber@noaa.gov,82683,Argonauta argo
CalCOFI Ichthyoplankton,Argyropelecus,Ed Weber,ed.weber@noaa.gov,162213,Argyropelecus
CalCOFI Ichthyoplankton,Argyropelecus affinis,Ed Weber,ed.weber@noaa.gov,162216,Argyropelecus affinis
CalCOFI Ichthyoplankton,Argyropelecus hemigymnus,Ed Weber,ed.weber@noaa.gov,162219,Argyropelecus hemigymnus
CalCOFI Ichthyoplankton,Argyropelecus lychnus,Ed Weber,ed.weber@noaa.gov,162214,Argyropelecus lychnus
CalCOFI Ichthyoplankton,Argyropelecus sladeni,Ed Weber,ed.weber@noaa.gov,162221,Argyropelecus sladeni
CalCOFI Ichthyoplankton,Aristostomias scintillans,Ed Weber,ed.weber@noaa.gov,162274,Aristostomias scintillans
CalCOFI Ichthyoplankton,Artedius,Ed Weber,ed.weber@noaa.gov,167211,Artedius
CalCOFI Ichthyoplankton,Artedius fenestralis,Ed Weber,ed.weber@noaa.gov,167212,Artedius fenestralis
CalCOFI Ichthyoplankton,Artedius harringtoni,Ed Weber,ed.weber@noaa.gov,167213,Artedius harringtoni
CalCOFI Ichthyoplankton,Artedius lateralis,Ed Weber,ed.weber@noaa.gov,167214,Artedius lateralis
CalCOFI Ichthyoplankton,Ascelichthys rhodorus,Ed Weber,ed.weber@noaa.gov,167218,Ascelichthys rhodorus
CalCOFI Ichthyoplankton,Astronesthinae,Ed Weber,ed.weber@noaa.gov,622316,Astronesthinae
CalCOFI Ichthyoplankton,Atherinops affinis,Ed Weber,ed.weber@noaa.gov,165986,Atherinops affinis
CalCOFI Ichthyoplankton,Atherinopsidae,Ed Weber,ed.weber@noaa.gov,630579,Atherinopsidae
CalCOFI Ichthyoplankton,Atherinopsis californiensis,Ed Weber,ed.weber@noaa.gov,166012,Atherinopsis californiensis
CalCOFI Ichthyoplankton,Atractoscion nobilis,Ed Weber,ed.weber@noaa.gov,169387,Atractoscion nobilis
CalCOFI Ichthyoplankton,Aulorhynchus flavidus,Ed Weber,ed.weber@noaa.gov,166404,Aulorhynchus flavidus
CalCOFI Ichthyoplankton,Auxis,Ed Weber,ed.weber@noaa.gov,172454,Auxis
CalCOFI Ichthyoplankton,Bathophilus,Ed Weber,ed.weber@noaa.gov,162243,Bathophilus
CalCOFI Ichthyoplankton,Bathophilus filifer,Ed Weber,ed.weber@noaa.gov,622559,Bathophilus filifer
CalCOFI Ichthyoplankton,Bathophilus flemingi,Ed Weber,ed.weber@noaa.gov,162244,Bathophilus flemingi
CalCOFI Ichthyoplankton,Bathyagonus,Ed Weber,ed.weber@noaa.gov,167444,Bathyagonus
CalCOFI Ichthyoplankton,Bathyagonus pentacanthus,Ed Weber,ed.weber@noaa.gov,167450,Bathyagonus pentacanthus
CalCOFI Ichthyoplankton,Bathylagidae,Ed Weber,ed.weber@noaa.gov,162080,Bathylagidae
CalCOFI Ichthyoplankton,Bathylagoides wesethi,Ed Weber,ed.weber@noaa.gov,623380,Bathylagoides wesethi
CalCOFI Ichthyoplankton,Bathylagus,Ed Weber,ed.weber@noaa.gov,162081,Bathylagus
CalCOFI Ichthyoplankton,Bathylagus pacificus,Ed Weber,ed.weber@noaa.gov,162086,Bathylagus pacificus
CalCOFI Ichthyoplankton,Bathylychnops exilis,Ed Weber,ed.weber@noaa.gov,162109,Bathylychnops exilis
CalCOFI Ichthyoplankton,Bathymasteridae,Ed Weber,ed.weber@noaa.gov,170945,Bathymasteridae
CalCOFI Ichthyoplankton,Bathypterois,Ed Weber,ed.weber@noaa.gov,162439,Bathypterois
CalCOFI Ichthyoplankton,Benthalbella,Ed Weber,ed.weber@noaa.gov,162549,Benthalbella
CalCOFI Ichthyoplankton,Benthalbella dentata,Ed Weber,ed.weber@noaa.gov,162550,Benthalbella dentata
CalCOFI Ichthyoplankton,Benthosema,Ed Weber,ed.weber@noaa.gov,162679,Benthosema
CalCOFI Ichthyoplankton,Benthosema panamense,Ed Weber,ed.weber@noaa.gov,623748,Benthosema panamense
CalCOFI Ichthyoplankton,Berryteuthis,Ed Weber,ed.weber@noaa.gov,82429,Berryteuthis
CalCOFI Ichthyoplankton,Blennioidei,Ed Weber,ed.weber@noaa.gov,171123,Blennioidei
