Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,Taxonomic Group,Name
CalNEMO,Agardhiella subulata*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Aglaothamnion tenuissimum*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Ascophyllum nodosum,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Bryopsis sp. 1*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Campylaephora kondoi*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Campylaephora sungminbooi*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Carradoriella denudata*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Caulacanthus okamurae,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Caulerpa prolifera,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Caulerpa taxifolia (invasive genotype),Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Codium fragile ssp. Fragile,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Colpomenia claytoniae,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Dasya sp. A*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Elachista nigra,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Fucus spiralis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Gelidium vagum*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Gracilaria vermiculophylla,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Gracilariopsis chorda*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Grateloupia asiatica*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
CalNEMO,Grateloupia turuturu,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Algae,
