Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
DisMap Aleutian Islands ,Anoplopoma fimbria,Krista Nichols,krista.nichols@noaa.gov ,Sablefish,Encountered
DisMap Aleutian Islands ,Atheresthes stomias,Krista Nichols,krista.nichols@noaa.gov ,Arrowtooth and kamchatka flounders,Encountered
DisMap Aleutian Islands ,Atheresthes evermanni,Krista Nichols,krista.nichols@noaa.gov ,Arrowtooth and kamchatka flounders,Encountered
DisMap Aleutian Islands ,Bathymaster signatus,Krista Nichols,krista.nichols@noaa.gov ,Searcher,Encountered
DisMap Aleutian Islands ,Bathyraja spp.,Krista Nichols,krista.nichols@noaa.gov ,Skate complex,Encountered
DisMap Aleutian Islands ,Berryteuthis magister,Krista Nichols,krista.nichols@noaa.gov ,Magister armhook squid,Encountered
DisMap Aleutian Islands ,Cheiraster dawsoni,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap Aleutian Islands ,Chionoecetes bairdi,Krista Nichols,krista.nichols@noaa.gov ,Tanner crab,Encountered
DisMap Aleutian Islands ,Crossaster papposus,Krista Nichols,krista.nichols@noaa.gov ,Common sunstar,Encountered
DisMap Aleutian Islands ,Cucumaria fallax,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap Aleutian Islands ,Diplopteraster multipes,Krista Nichols,krista.nichols@noaa.gov ,Pincushion star,Encountered
DisMap Aleutian Islands ,Enteroctopus dofleini,Krista Nichols,krista.nichols@noaa.gov ,North pacific giant octopus,Encountered
DisMap Aleutian Islands ,Eumicrotremus orbis,Krista Nichols,krista.nichols@noaa.gov ,Pacific spiny lumpsucker,Encountered
DisMap Aleutian Islands ,Fusitriton oregonensis,Krista Nichols,krista.nichols@noaa.gov ,Oregon triton,Encountered
DisMap Aleutian Islands ,Gadus chalcogrammus,Krista Nichols,krista.nichols@noaa.gov ,Walleye pollock,Encountered
DisMap Aleutian Islands ,Gadus macrocephalus,Krista Nichols,krista.nichols@noaa.gov ,Pacific cod,Encountered
DisMap Aleutian Islands ,Glyptocephalus zachirus,Krista Nichols,krista.nichols@noaa.gov ,Rex sole,Encountered
DisMap Aleutian Islands ,Gorgonocephalus eucnemis,Krista Nichols,krista.nichols@noaa.gov ,Basket star,Encountered
DisMap Aleutian Islands ,Gymnocanthus galeatus,Krista Nichols,krista.nichols@noaa.gov ,Armorhead sculpin,Encountered
DisMap Aleutian Islands ,Halocynthia aurantium,Krista Nichols,krista.nichols@noaa.gov ,Sea peach,Encountered
DisMap Aleutian Islands ,Hemilepidotus jordani,Krista Nichols,krista.nichols@noaa.gov ,Yellow irish lord,Encountered
DisMap Aleutian Islands ,Hippoglossoides elassodon,Krista Nichols,krista.nichols@noaa.gov ,Flathead sole,Encountered
DisMap Aleutian Islands ,Hippoglossus stenolepis,Krista Nichols,krista.nichols@noaa.gov ,Pacific halibut,Encountered
DisMap Aleutian Islands ,Hyas lyratus,Krista Nichols,krista.nichols@noaa.gov ,Pacific lyre crab,Encountered
DisMap Aleutian Islands ,Lepidopsetta sp.,Krista Nichols,krista.nichols@noaa.gov ,Rock soles,Encountered
DisMap Aleutian Islands ,Lethasterias nanimensis,Krista Nichols,krista.nichols@noaa.gov ,Black spined sea star,Encountered
DisMap Aleutian Islands ,Lithodes aequispinus,Krista Nichols,krista.nichols@noaa.gov ,Golden king crab,Encountered
DisMap Aleutian Islands ,Malacocottus zonurus,Krista Nichols,krista.nichols@noaa.gov ,Darkfin sculpin,Encountered
DisMap Aleutian Islands ,Microstomus pacificus,Krista Nichols,krista.nichols@noaa.gov ,Dover sole,Encountered
DisMap Aleutian Islands ,Mycale loveni,Krista Nichols,krista.nichols@noaa.gov ,Loven's horny sponge,Encountered
DisMap Aleutian Islands ,Myoxocephalus polyacanthocephalus,Krista Nichols,krista.nichols@noaa.gov ,Great sculpin,Encountered
DisMap Aleutian Islands ,Oregonia gracilis,Krista Nichols,krista.nichols@noaa.gov ,Graceful decorator crab,Encountered
DisMap Aleutian Islands ,Pagurus brandti,Krista Nichols,krista.nichols@noaa.gov ,Sponge hermit,Encountered
DisMap Aleutian Islands ,Pandalus eous,Krista Nichols,krista.nichols@noaa.gov ,Northern shrimp,Encountered
