Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
DisMap Eastern and Northern Bering Sea ,Acantholumpenus mackayi,Krista Nichols,krista.nichols@noaa.gov ,Pighead prickleback,Encountered
DisMap Eastern and Northern Bering Sea ,Aspidophoroides olrikii,Krista Nichols,krista.nichols@noaa.gov ,Arctic alligatorfish,Encountered
DisMap Eastern and Northern Bering Sea ,Asterias amurensis,Krista Nichols,krista.nichols@noaa.gov ,North pacific seastar,Encountered
DisMap Eastern and Northern Bering Sea ,Atheresthes stomias,Krista Nichols,krista.nichols@noaa.gov ,Arrowtooth and kamchatka flounders,Encountered
DisMap Eastern and Northern Bering Sea ,Atheresthes evermanni,Krista Nichols,krista.nichols@noaa.gov ,Arrowtooth and kamchatka flounders,Encountered
DisMap Eastern and Northern Bering Sea ,Bathymaster signatus,Krista Nichols,krista.nichols@noaa.gov ,Searcher,Encountered
DisMap Eastern and Northern Bering Sea ,Bathyraja spp.,Krista Nichols,krista.nichols@noaa.gov ,Skate complex,Encountered
DisMap Eastern and Northern Bering Sea ,Boltenia ovifera,Krista Nichols,krista.nichols@noaa.gov ,Stalked sea squirt,Encountered
DisMap Eastern and Northern Bering Sea ,Boreogadus saida,Krista Nichols,krista.nichols@noaa.gov ,Arctic cod,Encountered
DisMap Eastern and Northern Bering Sea ,Buccinum angulosum,Krista Nichols,krista.nichols@noaa.gov ,Angular whelk,Encountered
DisMap Eastern and Northern Bering Sea ,Buccinum polare,Krista Nichols,krista.nichols@noaa.gov ,Polar whelk,Encountered
DisMap Eastern and Northern Bering Sea ,Buccinum scalariforme,Krista Nichols,krista.nichols@noaa.gov ,Ladder whelk,Encountered
DisMap Eastern and Northern Bering Sea ,Chionoecetes bairdi,Krista Nichols,krista.nichols@noaa.gov ,Tanner crab,Encountered
DisMap Eastern and Northern Bering Sea ,Chionoecetes opilio,Krista Nichols,krista.nichols@noaa.gov ,Snow crab,Encountered
DisMap Eastern and Northern Bering Sea ,Chrysaora melanaster,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap Eastern and Northern Bering Sea ,Clinopegma magnum,Krista Nichols,krista.nichols@noaa.gov ,Helmet whelk,Encountered
DisMap Eastern and Northern Bering Sea ,Clupea pallasii,Krista Nichols,krista.nichols@noaa.gov ,Pacific herring,Encountered
DisMap Eastern and Northern Bering Sea ,Crossaster papposus,Krista Nichols,krista.nichols@noaa.gov ,Common sunstar,Encountered
DisMap Eastern and Northern Bering Sea ,Ctenodiscus crispatus,Krista Nichols,krista.nichols@noaa.gov ,Mud star,Encountered
DisMap Eastern and Northern Bering Sea ,Dasycottus setiger,Krista Nichols,krista.nichols@noaa.gov ,Spinyhead sculpin,Encountered
DisMap Eastern and Northern Bering Sea ,Eleginus gracilis,Krista Nichols,krista.nichols@noaa.gov ,Saffron cod,Encountered
DisMap Eastern and Northern Bering Sea ,Enophrys diceraus,Krista Nichols,krista.nichols@noaa.gov ,Antlered sculpin,Encountered
DisMap Eastern and Northern Bering Sea ,Erimacrus isenbeckii,Krista Nichols,krista.nichols@noaa.gov ,Hair crab,Encountered
DisMap Eastern and Northern Bering Sea ,Eunoe depressa,Krista Nichols,krista.nichols@noaa.gov ,Depressed scale worm,Encountered
DisMap Eastern and Northern Bering Sea ,Eunoe nodosa,Krista Nichols,krista.nichols@noaa.gov ,Giant scale worm,Encountered
DisMap Eastern and Northern Bering Sea ,Evasterias echinosoma,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap Eastern and Northern Bering Sea ,Fusitriton oregonensis,Krista Nichols,krista.nichols@noaa.gov ,Oregon triton,Encountered
DisMap Eastern and Northern Bering Sea ,Gadus chalcogrammus,Krista Nichols,krista.nichols@noaa.gov ,Walleye pollock,Encountered
DisMap Eastern and Northern Bering Sea ,Gadus macrocephalus,Krista Nichols,krista.nichols@noaa.gov ,Pacific cod,Encountered
DisMap Eastern and Northern Bering Sea ,Glyptocephalus zachirus,Krista Nichols,krista.nichols@noaa.gov ,Rex sole,Encountered
DisMap Eastern and Northern Bering Sea ,Gorgonocephalus eucnemis,Krista Nichols,krista.nichols@noaa.gov ,Basket star,Encountered
DisMap Eastern and Northern Bering Sea ,Gymnocanthus pistilliger,Krista Nichols,krista.nichols@noaa.gov ,Threaded sculpin,Encountered
DisMap Eastern and Northern Bering Sea ,Hemilepidotus jordani,Krista Nichols,krista.nichols@noaa.gov ,Yellow irish lord,Encountered
DisMap Eastern and Northern Bering Sea ,Hemitripterus bolini,Krista Nichols,krista.nichols@noaa.gov ,Bigmouth sculpin,Encountered
DisMap Eastern and Northern Bering Sea ,Hexagrammos stelleri,Krista Nichols,krista.nichols@noaa.gov ,Whitespotted greenling,Encountered
DisMap Eastern and Northern Bering Sea ,Hippoglossoides elassodon,Krista Nichols,krista.nichols@noaa.gov ,Flathead sole-bering flounder,Encountered
DisMap Eastern and Northern Bering Sea ,Hippoglossoides robustus,Krista Nichols,krista.nichols@noaa.gov ,Flathead sole-bering flounder,Encountered
DisMap Eastern and Northern Bering Sea ,Hippoglossus stenolepis,Krista Nichols,krista.nichols@noaa.gov ,Pacific halibut,Encountered
DisMap Eastern and Northern Bering Sea ,Hyas coarctatus,Krista Nichols,krista.nichols@noaa.gov ,Arctic lyre crab,Encountered
DisMap Eastern and Northern Bering Sea ,Hyas lyratus,Krista Nichols,krista.nichols@noaa.gov ,Pacific lyre crab,Encountered
DisMap Eastern and Northern Bering Sea ,Icelus spiniger,Krista Nichols,krista.nichols@noaa.gov ,Thorny sculpin,Encountered
DisMap Eastern and Northern Bering Sea ,Labidochirus splendescens,Krista Nichols,krista.nichols@noaa.gov ,Splendid hermit,Encountered
DisMap Eastern and Northern Bering Sea ,Lepidopsetta sp.,Krista Nichols,krista.nichols@noaa.gov ,Rock soles,Encountered
DisMap Eastern and Northern Bering Sea ,Leptasterias polaris,Krista Nichols,krista.nichols@noaa.gov ,Polar six-rayed star,Encountered
DisMap Eastern and Northern Bering Sea ,Leptasterias arctica,Krista Nichols,krista.nichols@noaa.gov ,Arctic star,Encountered
DisMap Eastern and Northern Bering Sea ,Leptasterias groenlandica,Krista Nichols,krista.nichols@noaa.gov ,Greenland star,Encountered
DisMap Eastern and Northern Bering Sea ,Lethasterias nanimensis,Krista Nichols,krista.nichols@noaa.gov ,Black spined sea star,Encountered
DisMap Eastern and Northern Bering Sea ,Limanda aspera,Krista Nichols,krista.nichols@noaa.gov ,Yellowfin sole,Encountered
DisMap Eastern and Northern Bering Sea ,Limanda proboscidea,Krista Nichols,krista.nichols@noaa.gov ,Longhead dab,Encountered
DisMap Eastern and Northern Bering Sea ,Limanda sakhalinensis,Krista Nichols,krista.nichols@noaa.gov ,Sakhalin sole,Encountered
DisMap Eastern and Northern Bering Sea ,Liparis gibbus,Krista Nichols,krista.nichols@noaa.gov ,Variegated snailfish,Encountered
DisMap Eastern and Northern Bering Sea ,Lumpenus fabricii,Krista Nichols,krista.nichols@noaa.gov ,Slender eelblenny,Encountered
DisMap Eastern and Northern Bering Sea ,Lycodes brevipes,Krista Nichols,krista.nichols@noaa.gov ,Shortfin eelpout,Encountered
DisMap Eastern and Northern Bering Sea ,Lycodes palearis,Krista Nichols,krista.nichols@noaa.gov ,Wattled eelpout,Encountered
DisMap Eastern and Northern Bering Sea ,Lycodes turneri,Krista Nichols,krista.nichols@noaa.gov ,Polar eelpout,Encountered
DisMap Eastern and Northern Bering Sea ,Mactromeris polynyma,Krista Nichols,krista.nichols@noaa.gov ,Arctic surfclam,Encountered
DisMap Eastern and Northern Bering Sea ,Mallotus villosus,Krista Nichols,krista.nichols@noaa.gov ,Capelin,Encountered
DisMap Eastern and Northern Bering Sea ,Myoxocephalus jaok,Krista Nichols,krista.nichols@noaa.gov ,Plain sculpin,Encountered
DisMap Eastern and Northern Bering Sea ,Myoxocephalus polyacanthocephalus,Krista Nichols,krista.nichols@noaa.gov ,Great sculpin,Encountered
DisMap Eastern and Northern Bering Sea ,Myoxocephalus scorpius,Krista Nichols,krista.nichols@noaa.gov ,Shorthorn sculpin,Encountered
DisMap Eastern and Northern Bering Sea ,Neptunea borealis,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap Eastern and Northern Bering Sea ,Neptunea heros,Krista Nichols,krista.nichols@noaa.gov ,Northern neptune whelk,Encountered
DisMap Eastern and Northern Bering Sea ,Neptunea lyrata,Krista Nichols,krista.nichols@noaa.gov ,Lyre whelk,Encountered
DisMap Eastern and Northern Bering Sea ,Neptunea pribiloffensis,Krista Nichols,krista.nichols@noaa.gov ,Pribilof whelk,Encountered
DisMap Eastern and Northern Bering Sea ,Neptunea ventricosa,Krista Nichols,krista.nichols@noaa.gov ,Fat whelk,Encountered
DisMap Eastern and Northern Bering Sea ,Occella dodecaedron,Krista Nichols,krista.nichols@noaa.gov ,Bering poacher,Encountered
DisMap Eastern and Northern Bering Sea ,Ophiura sarsii,Krista Nichols,krista.nichols@noaa.gov ,Notched brittle star,Encountered
DisMap Eastern and Northern Bering Sea ,Oregonia gracilis,Krista Nichols,krista.nichols@noaa.gov ,Graceful decorator crab,Encountered
