Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
DisMap Eastern Bering Sea ,Asterias amurensis,Krista Nichols,krista.nichols@noaa.gov ,North pacific seastar,Encountered
DisMap Eastern Bering Sea ,Atheresthes stomias,Krista Nichols,krista.nichols@noaa.gov ,Arrowtooth and kamchatka flounders,Encountered
DisMap Eastern Bering Sea ,Atheresthes evermanni,Krista Nichols,krista.nichols@noaa.gov ,Arrowtooth and kamchatka flounders,Encountered
DisMap Eastern Bering Sea ,Bathymaster signatus,Krista Nichols,krista.nichols@noaa.gov ,Searcher,Encountered
DisMap Eastern Bering Sea ,Boltenia ovifera,Krista Nichols,krista.nichols@noaa.gov ,Stalked sea squirt,Encountered
DisMap Eastern Bering Sea ,Buccinum scalariforme,Krista Nichols,krista.nichols@noaa.gov ,Ladder whelk,Encountered
DisMap Eastern Bering Sea ,Chionoecetes bairdi,Krista Nichols,krista.nichols@noaa.gov ,Tanner crab,Encountered
DisMap Eastern Bering Sea ,Chionoecetes opilio,Krista Nichols,krista.nichols@noaa.gov ,Snow crab,Encountered
DisMap Eastern Bering Sea ,Clinopegma magnum,Krista Nichols,krista.nichols@noaa.gov ,Helmet whelk,Encountered
DisMap Eastern Bering Sea ,Clupea pallasii,Krista Nichols,krista.nichols@noaa.gov ,Pacific herring,Encountered
DisMap Eastern Bering Sea ,Crossaster papposus,Krista Nichols,krista.nichols@noaa.gov ,Common sunstar,Encountered
DisMap Eastern Bering Sea ,Ctenodiscus crispatus,Krista Nichols,krista.nichols@noaa.gov ,Mud star,Encountered
DisMap Eastern Bering Sea ,Dasycottus setiger,Krista Nichols,krista.nichols@noaa.gov ,Spinyhead sculpin,Encountered
DisMap Eastern Bering Sea ,Erimacrus isenbeckii,Krista Nichols,krista.nichols@noaa.gov ,Hair crab,Encountered
DisMap Eastern Bering Sea ,Eunoe nodosa,Krista Nichols,krista.nichols@noaa.gov ,Giant scale worm,Encountered
DisMap Eastern Bering Sea ,Fusitriton oregonensis,Krista Nichols,krista.nichols@noaa.gov ,Oregon triton,Encountered
DisMap Eastern Bering Sea ,Gadus chalcogrammus,Krista Nichols,krista.nichols@noaa.gov ,Walleye pollock,Encountered
DisMap Eastern Bering Sea ,Gadus macrocephalus,Krista Nichols,krista.nichols@noaa.gov ,Pacific cod,Encountered
DisMap Eastern Bering Sea ,Glyptocephalus zachirus,Krista Nichols,krista.nichols@noaa.gov ,Rex sole,Encountered
DisMap Eastern Bering Sea ,Gorgonocephalus eucnemis,Krista Nichols,krista.nichols@noaa.gov ,Basket star,Encountered
DisMap Eastern Bering Sea ,Hemilepidotus jordani,Krista Nichols,krista.nichols@noaa.gov ,Yellow irish lord,Encountered
DisMap Eastern Bering Sea ,Hemitripterus bolini,Krista Nichols,krista.nichols@noaa.gov ,Bigmouth sculpin,Encountered
DisMap Eastern Bering Sea ,Hippoglossoides elassodon,Krista Nichols,krista.nichols@noaa.gov ,Flathead sole-bering flounder,Encountered
DisMap Eastern Bering Sea ,Hippoglossoides robustus,Krista Nichols,krista.nichols@noaa.gov ,Flathead sole-bering flounder,Encountered
DisMap Eastern Bering Sea ,Hippoglossus stenolepis,Krista Nichols,krista.nichols@noaa.gov ,Pacific halibut,Encountered
DisMap Eastern Bering Sea ,Hyas coarctatus,Krista Nichols,krista.nichols@noaa.gov ,Arctic lyre crab,Encountered
DisMap Eastern Bering Sea ,Hyas lyratus,Krista Nichols,krista.nichols@noaa.gov ,Pacific lyre crab,Encountered
DisMap Eastern Bering Sea ,Icelus spiniger,Krista Nichols,krista.nichols@noaa.gov ,Thorny sculpin,Encountered
DisMap Eastern Bering Sea ,Lepidopsetta sp.,Krista Nichols,krista.nichols@noaa.gov ,Rock soles,Encountered
DisMap Eastern Bering Sea ,Leptasterias polaris,Krista Nichols,krista.nichols@noaa.gov ,Polar six-rayed star,Encountered
DisMap Eastern Bering Sea ,Leptasterias arctica,Krista Nichols,krista.nichols@noaa.gov ,Arctic star,Encountered
DisMap Eastern Bering Sea ,Lethasterias nanimensis,Krista Nichols,krista.nichols@noaa.gov ,Black spined sea star,Encountered
DisMap Eastern Bering Sea ,Limanda aspera,Krista Nichols,krista.nichols@noaa.gov ,Yellowfin sole,Encountered
DisMap Eastern Bering Sea ,Limanda proboscidea,Krista Nichols,krista.nichols@noaa.gov ,Longhead dab,Encountered
DisMap Eastern Bering Sea ,Lycodes brevipes,Krista Nichols,krista.nichols@noaa.gov ,Shortfin eelpout,Encountered
DisMap Eastern Bering Sea ,Lycodes palearis,Krista Nichols,krista.nichols@noaa.gov ,Wattled eelpout,Encountered
DisMap Eastern Bering Sea ,Mallotus villosus,Krista Nichols,krista.nichols@noaa.gov ,Capelin,Encountered
DisMap Eastern Bering Sea ,Myoxocephalus jaok,Krista Nichols,krista.nichols@noaa.gov ,Plain sculpin,Encountered
DisMap Eastern Bering Sea ,Myoxocephalus polyacanthocephalus,Krista Nichols,krista.nichols@noaa.gov ,Great sculpin,Encountered
DisMap Eastern Bering Sea ,Neptunea borealis,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap Eastern Bering Sea ,Neptunea heros,Krista Nichols,krista.nichols@noaa.gov ,Northern neptune whelk,Encountered
DisMap Eastern Bering Sea ,Neptunea lyrata,Krista Nichols,krista.nichols@noaa.gov ,Lyre whelk,Encountered
DisMap Eastern Bering Sea ,Neptunea pribiloffensis,Krista Nichols,krista.nichols@noaa.gov ,Pribilof whelk,Encountered
