Dataset: Eastern and Northern Bering Sea ,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Acantholumpenus mackayi,Pighead prickleback,63.76677112976781,63.87680063203535,0.11002950226753683,0.17254990384195962,-16.947474333333332,-18.50028766666667,-1.5528133333333365,9.162505886078659
Aspidophoroides olrikii,Arctic alligatorfish,64.5417065655455,64.56477270525971,0.023066139714217115,0.03573834802584936,-43.33482133333333,-43.64229266666666,-0.3074713333333321,0.7095248667768795
Asterias amurensis,North pacific seastar,59.31375213837796,59.20898710680853,-0.1047650315694284,-0.1766285689109895,-45.644725666666666,-44.836401333333335,0.8083243333333314,-1.77090413301275
Atheresthes stomias and A. evermanni,Arrowtooth and kamchatka flounders,57.33125801546487,56.884358228803386,-0.4468997866614828,-0.77950458812701,-114.51116999999999,-110.54335666666667,3.967813333333325,-3.465001129001935
Bathymaster signatus,Searcher,57.55761809040852,58.0246453895053,0.46702729909678453,0.8114083149917745,-128.75090666666668,-136.13880333333333,-7.387896666666649,5.738131759952381
Bathyraja spp.,Skate complex,58.82943925668311,58.61110498418372,-0.21833427249939064,-0.3711309766981801,-77.92159833333334,-80.58963299999999,-2.6680346666666566,3.423998895984303
Boltenia ovifera,Stalked sea squirt,58.11618351168034,58.60082410366846,0.4846405919881178,0.8339167555466086,-60.854040999999995,-65.13916666666665,-4.285125666666659,7.041645215749368
Boreogadus saida,Arctic cod,62.846815357580596,63.37836220954143,0.5315468519608331,0.845781681914162,-54.05267666666666,-49.846223333333334,4.206453333333329,-7.782136968486844
Buccinum angulosum,Angular whelk,59.95835505482225,60.40215913571263,0.4438040808903807,0.7401872190866368,-111.72011200000001,-115.81119866666667,-4.091086666666655,3.6619070581191813
Buccinum polare,Polar whelk,60.215212855570485,61.169523046972394,0.954310191401909,1.5848323806325733,-66.50001666666667,-59.374295999999994,7.125720666666673,-10.715366738003333
Buccinum scalariforme,Ladder whelk,59.74889374810427,59.78010162603783,0.031207877933560724,0.05223172510127168,-107.06841166666668,-102.01154833333332,5.056863333333354,-4.723020781401667
Chionoecetes bairdi,Tanner crab,56.60163936507656,56.79277644549151,0.19113708041495414,0.3376882411163633,-99.34379833333334,-99.49852500000001,-0.15472666666667578,0.15574869218057624
Chionoecetes opilio,Snow crab,60.93142018283754,61.35380675507986,0.422386572242317,0.6932163586124487,-72.23430833333333,-67.83231533333333,4.4019930000000045,-6.094047415372918
Chrysaora melanaster,,62.57718254408925,62.75086503218555,0.17368248809630416,0.2775492296635995,-42.205306666666665,-42.955518000000005,-0.7502113333333398,1.7775284498189639
Clinopegma magnum,Helmet whelk,59.638188344864915,59.69710482246194,0.05891647759702323,0.0987898513219947,-100.94938366666668,-98.55365366666666,2.3957300000000146,-2.373199234094067
Clupea pallasii,Pacific herring,60.545413551029235,59.52220481722144,-1.0232087338077918,-1.689985539442067,-40.72696199999999,-47.18375566666666,-6.45679366666667,15.853855405828382
Crossaster papposus,Common sunstar,62.78613770060398,63.09536015177816,0.309222451174179,0.492501151526007,-51.20541866666667,-52.30470966666667,-1.099291000000001,2.146825528673217
Ctenodiscus crispatus,Mud star,60.066772447168546,60.14131361333307,0.07454116616452211,0.12409717240939565,-137.49793000000003,-135.38691666666668,2.1110133333333465,-1.5353055375694356
Dasycottus setiger,Spinyhead sculpin,57.78526314361099,57.31022006960157,-0.47504307400942025,-0.8220834312527366,-129.47358666666665,-125.86191000000001,3.6116766666666393,-2.789508470144572
Eleginus gracilis,Saffron cod,63.382737777968565,63.70583116699975,0.323093389031186,0.5097498157353045,-23.643438000000003,-22.757262,0.8861760000000025,-3.748084352199551
Enophrys diceraus,Antlered sculpin,64.10912625600425,64.29483423082485,0.18570797482060186,0.28967478682991576,-28.48215233333333,-23.519835333333333,4.962316999999999,-17.422549187732848
Erimacrus isenbeckii,Hair crab,59.07065208151113,59.3579823853556,0.28733030384447034,0.4864180328464726,-46.53867266666666,-45.85631266666667,0.6823599999999956,-1.4662214474559696
Eunoe depressa,Depressed scale worm,63.842541992386565,63.357962784704824,-0.48457920768174034,-0.759022420723047,-35.77783933333333,-33.93978333333333,1.8380560000000017,-5.137414763578331
Eunoe nodosa,Giant scale worm,58.66866833912315,58.56229121902118,-0.10637712010196765,-0.18131845005766078,-83.54352466666666,-80.84719000000001,2.696334666666644,-3.2274609880596343
Evasterias echinosoma,,64.51179392029816,64.49215050602531,-0.019643414272849213,-0.03044933814291058,-26.129572666666665,-25.46805466666667,0.6615179999999938,-2.531683194512738
Fusitriton oregonensis,Oregon triton,56.254815185835376,56.41960115654475,0.1647859707093744,0.29292776123254693,-103.49726666666668,-107.18902866666667,-3.691761999999997,3.5670140080994055
Gadus chalcogrammus,Walleye pollock,59.14065879929317,59.08225900601324,-0.058399793279932055,-0.09874728226840453,-93.8974,-90.55897666666668,3.338423333333324,-3.555394860063563
Gadus macrocephalus,Pacific cod,59.41312365175843,59.67418473803543,0.261061086276996,0.4393996986375744,-71.36230533333332,-69.02341533333333,2.338889999999992,-3.2774866073552933
Glyptocephalus zachirus,Rex sole,55.99351153165973,56.17454364749603,0.1810321158363024,0.3233090957939718,-127.76525666666664,-126.68443333333333,1.0808233333333135,-0.8459446343485453
Gorgonocephalus eucnemis,Basket star,58.137475332063865,58.27906790579376,0.14159257372989487,0.24354785432487472,-98.98707666666667,-98.41006,0.5770166666666654,-0.5829212116342581
Gymnocanthus pistilliger,Threaded sculpin,63.97324120002306,63.27642038122972,-0.6968208187933413,-1.0892379465573963,-23.630267,-23.340531666666664,0.28973533333333634,-1.2261195920187289
Hemilepidotus jordani,Yellow irish lord,57.029371706685076,57.13097147925032,0.101599772565244,0.17815341380191693,-74.07669866666667,-77.37635,-3.2996513333333297,4.454371472709974
Hemitripterus bolini,Bigmouth sculpin,58.55943544483976,58.65502534509102,0.09558990025126235,0.1632356929760765,-110.52177666666667,-112.76155833333333,-2.2397816666666586,2.0265523539508714
Hexagrammos stelleri,Whitespotted greenling,63.04313779773923,62.457557618747614,-0.5855801789916129,-0.9288563346423602,-21.69795166666667,-22.596362,-0.8984103333333309,4.1405306230518875
Hippoglossoides elassodon and H. robustus,Flathead sole-bering flounder,57.833889106235226,58.03258439487862,0.1986952886433926,0.34356203899483345,-103.57096333333334,-106.15334366666667,-2.582380333333333,2.493343935618506
Hippoglossus stenolepis,Pacific halibut,58.21158628198821,58.443751396526885,0.23216511453867383,0.3988297336788264,-59.22620633333333,-54.30759733333334,4.918608999999989,-8.304784831764124
Hyas coarctatus,Arctic lyre crab,61.82227683682671,63.32037949780247,1.4981026609757606,2.4232408407245214,-47.31511066666667,-42.52643233333333,4.788678333333337,-10.120822430426955
Hyas lyratus,Pacific lyre crab,57.01848161141039,57.06073446136538,0.042252849954991234,0.07410377961824874,-75.41190966666666,-77.68962,-2.2777103333333457,3.020358910682953
Icelus spiniger,Thorny sculpin,60.00683676669041,59.949393921559555,-0.057442845130857734,-0.09572716747959635,-139.31014666666667,-141.0114,-1.7012533333333408,1.2211984367542175
Labidochirus splendescens,Splendid hermit,59.77267835489608,59.720399475234764,-0.052278879661315614,-0.08746283603172915,-55.01118666666667,-56.635019,-1.6238323333333327,2.9518220415290064
Lepidopsetta sp.,Rock soles,57.9235121684712,58.02960417944936,0.10609201097815912,0.18315880202427867,-49.33303166666667,-50.42497133333333,-1.0919396666666614,2.213404750887148
Leptasterias (Hexasterias) polaris,Polar six-rayed star,61.81058128814391,61.61936505089972,-0.19121623724419123,-0.30935841931787345,-57.034856,-57.40573366666666,-0.3708776666666651,0.6502649303904005
Leptasterias arctica,Arctic star,61.91701154587849,61.73800331513841,-0.17900823074008088,-0.2891099332328751,-44.76371,-44.190219000000006,0.5734909999999971,-1.2811516292997096
Leptasterias groenlandica,Greenland star,62.644629209975186,62.34174185083578,-0.30288735913940457,-0.48350092092360003,-49.046007333333336,-49.625447666666666,-0.5794403333333307,1.1814220256406545
