Dataset: Gulf of Alaska ,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Anoplopoma fimbria,Sablefish,57.716988568736724,56.9041645614324,-0.8128240073043216,-1.4082924758562332,-290.63948999999997,-305.25803333333334,-14.618543333333378,5.029785640393665
Aphrocallistes vastus,Cloud sponge,58.845646669369906,58.32972340413412,-0.5159232652357844,-0.8767399025021346,-173.96550333333334,-219.34085000000002,-45.37534666666667,26.0829565616371
Atheresthes stomias,Arrowtooth flounder,57.20970237706587,56.8715461697223,-0.338156207343566,-0.5910819201868904,-158.49156333333335,-139.07040333333333,19.421160000000015,-12.253750036621305
Bathymaster signatus,Searcher,56.83762273567521,56.42875467397446,-0.4088680617007512,-0.7193616517041931,-152.83657666666667,-146.61948,6.217096666666663,-4.0678068053212275
Bathyraja spp.,Skate complex,56.938825685595795,56.80706787440035,-0.13175781119544183,-0.23140240356023623,-193.86017999999999,-184.24169333333336,9.618486666666627,-4.96155872065456
Beringraja binoculata,Big skate,57.18247692292854,57.47312204072457,0.2906451177960321,0.5082765445571171,-70.99422166666666,-65.477776,5.516445666666655,-7.770274167618274
Beringraja rhina,Longnose skate,58.167515929641475,57.99719434754768,-0.17032158209379133,-0.2928121983063703,-154.07716333333335,-160.56836333333334,-6.491199999999992,4.212953989785502
Berryteuthis magister,Magister armhook squid,56.61964731207497,56.85675158749097,0.23710427541600154,0.4187667826843485,-298.86678666666666,-289.22863666666666,9.638149999999996,-3.224898325938659
Brisaster latifrons,Northern heart urchin,59.24134835089861,58.94953792111668,-0.2918104297819326,-0.4925789805685715,-245.06928333333335,-256.40470666666664,-11.335423333333296,4.625395389888707
Chionoecetes bairdi,Tanner crab,57.15423863386521,57.17119091853085,0.01695228466563492,0.029660590484343007,-109.169156,-95.43448000000001,13.734675999999993,-12.581095708022138
