Project Request,Scientific name,Point of Contact for Submission,Email,Common Name,Survey Type
EcoFOCI Zooplankton,Acanthomysis spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Acanthomysis stelleri,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Exacanthomysis arctopacifica,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Acartia bifilosa,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Acartia danae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Acartia hudsonica,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Acartia longiremis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Acartia spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Acartia tumida,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Acrocalanus gracilis,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Acrocalanus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Aegina rosea,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Aegina spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Aeginopsis laurentii,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Aetideidae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Aetideopsis minor,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Aetideopsis multiserrata,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Aetideopsis rostrata,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Aetideopsis spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Aetideus pacificus,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Aetideus spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Aglantha digitale,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Ampelisca spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Andaniexis abyssi,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Anonyx lilljeborgii,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Anonyx spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Anthoathecata,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Anthomedusae,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Anthozoa,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Argis dentata,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Argis lar,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Argis spp.,David Kimmel,david.kimmel@noaa.gov,,Encountered
EcoFOCI Zooplankton,Atolla tenella,David Kimmel,david.kimmel@noaa.gov,,Encountered
