Project Requested	scientific_name	Point of Contact for Submission	Email	Common Name	Survey Type	Source
CCLME FishCard	Ablennes hians	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Abudefduf troschelii	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Acanthocybium solandri	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Acanthogobius flavimanus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Acantholiparis caecus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Acantholiparis opercularis	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Acanthomus armatus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Acanthurus xanthopterus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Achirus mazatlanus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Acipenser medirostris	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Acipenser transmontanus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Agonomalus mozinoi	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Agonopsis sterletus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Agonopsis vulsa	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Ahliesaurus brevis	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Albatrossia pectoralis	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Albula gilberti	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Albula pacificus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Aldrovandia oleosa	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Alepisaurus ferox	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Alepocephalus tenebrosus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Alloclinus holderi	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Allocyttus folletti	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Allosmerus elongatus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Allothunnus fallai	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Alopias pelagicus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Alopias superciliosus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Alopias vulpinus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Alosa sapidissima	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Alphestes immaculatus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Amblyraja hyperborea	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Ammodytes personatus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Amphistichus argenteus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Amphistichus koelzi	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Amphistichus rhodoterus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Anarrhichthys ocellatus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Anchoa argentivittata	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Anchoa compressa	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Anchoa delicatissima	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Anchoa exigua	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Anisotremus davidsonii	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Anisotremus interruptus	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Anoplagonus inermis	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
CCLME FishCard	Anoplarchus insignis	Zachary Gold	zack.j.gold@gmail.com		Inventory	Walker_Miller_Lea_Combo_20210216
