Project Request,Scientific name,Point of Contact for Submission,Email,Common Name,Survey Type,species_code
NMFS AFSC GAP Survey,Hippoglossoides robustus (juvenile),Emily Markowtiz,emily.markowitz@noaa.gov,Bering flounder (juvenile),Encountered,10141
NMFS AFSC GAP Survey,Pleuronichthys guttulatus,Emily Markowtiz,emily.markowitz@noaa.gov,diamond turbot,Encountered,10145
NMFS AFSC GAP Survey,Lyopsetta exilis,Emily Markowtiz,emily.markowitz@noaa.gov,slender sole,Encountered,10150
NMFS AFSC GAP Survey,Liopsetta glacialis,Emily Markowtiz,emily.markowitz@noaa.gov,Arctic flounder,Encountered,10155
NMFS AFSC GAP Survey,Eopsetta jordani,Emily Markowtiz,emily.markowitz@noaa.gov,petrale sole,Encountered,10160
NMFS AFSC GAP Survey,Parophrys vetulus,Emily Markowtiz,emily.markowitz@noaa.gov,English sole,Encountered,10170
NMFS AFSC GAP Survey,Microstomus pacificus,Emily Markowtiz,emily.markowitz@noaa.gov,Dover sole,Encountered,10180
NMFS AFSC GAP Survey,Microstomus bathybius,Emily Markowtiz,emily.markowitz@noaa.gov,deepsea sole,Encountered,10190
NMFS AFSC GAP Survey,Glyptocephalus zachirus,Emily Markowtiz,emily.markowitz@noaa.gov,rex sole,Encountered,10200
NMFS AFSC GAP Survey,Glyptocephalus zachirus larvae,Emily Markowtiz,emily.markowitz@noaa.gov,rex sole larvae,Encountered,10201
NMFS AFSC GAP Survey,Limanda aspera (juvenile),Emily Markowtiz,emily.markowitz@noaa.gov,yellowfin sole (juvenile),Encountered,10209
NMFS AFSC GAP Survey,Limanda aspera,Emily Markowtiz,emily.markowitz@noaa.gov,yellowfin sole,Encountered,10210
NMFS AFSC GAP Survey,Myzopsetta proboscidea,Emily Markowtiz,emily.markowitz@noaa.gov,longhead dab,Encountered,10211
NMFS AFSC GAP Survey,Limanda sakhalinensis,Emily Markowtiz,emily.markowitz@noaa.gov,Sakhalin sole,Encountered,10212
NMFS AFSC GAP Survey,Platichthys stellatus,Emily Markowtiz,emily.markowitz@noaa.gov,starry flounder,Encountered,10220
NMFS AFSC GAP Survey,Platichthys stellatus X Pleuronectes quadrituberculatus hybrid,Emily Markowtiz,emily.markowitz@noaa.gov,hybrid starry flounder X Alaska plaice,Encountered,10221
NMFS AFSC GAP Survey,Clidoderma asperrimum,Emily Markowtiz,emily.markowitz@noaa.gov,roughscale sole,Encountered,10240
NMFS AFSC GAP Survey,Psettichthys melanostictus,Emily Markowtiz,emily.markowitz@noaa.gov,sand sole,Encountered,10250
NMFS AFSC GAP Survey,Lepidopsetta sp.,Emily Markowtiz,emily.markowitz@noaa.gov,rock sole unid.,Encountered,10260
NMFS AFSC GAP Survey,Lepidopsetta polyxystra,Emily Markowtiz,emily.markowitz@noaa.gov,northern rock sole,Encountered,10261
NMFS AFSC GAP Survey,NA,Emily Markowtiz,emily.markowitz@noaa.gov,fish egg unid.,Encountered,1
NMFS AFSC GAP Survey,NA,Emily Markowtiz,emily.markowitz@noaa.gov,fish larvae unid.,Encountered,2
NMFS AFSC GAP Survey,NA,Emily Markowtiz,emily.markowitz@noaa.gov,fish unid.,Encountered,3
NMFS AFSC GAP Survey,Petromyzontidae,Emily Markowtiz,emily.markowitz@noaa.gov,lamprey unid.,Encountered,10
NMFS AFSC GAP Survey,Entosphenus tridentatus,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific lamprey,Encountered,21
NMFS AFSC GAP Survey,Myxinidae,Emily Markowtiz,emily.markowitz@noaa.gov,hagfish unid.,Encountered,100
NMFS AFSC GAP Survey,Eptatretus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,109
NMFS AFSC GAP Survey,Eptatretus deani,Emily Markowtiz,emily.markowitz@noaa.gov,black hagfish,Encountered,110
NMFS AFSC GAP Survey,Eptatretus stoutii,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific hagfish,Encountered,120
NMFS AFSC GAP Survey,Selachii,Emily Markowtiz,emily.markowitz@noaa.gov,shark unid.,Encountered,150
NMFS AFSC GAP Survey,Chondrichthyes,Emily Markowtiz,emily.markowitz@noaa.gov,cartilaginous fish unid.,Encountered,151
NMFS AFSC GAP Survey,Selachii egg case,Emily Markowtiz,emily.markowitz@noaa.gov,shark egg case unid.,Encountered,160
NMFS AFSC GAP Survey,Alopias vulpinus,Emily Markowtiz,emily.markowitz@noaa.gov,thresher shark,Encountered,180
NMFS AFSC GAP Survey,Scyliorhinidae,Emily Markowtiz,emily.markowitz@noaa.gov,cat shark unid.,Encountered,200
NMFS AFSC GAP Survey,Apristurus brunneus egg case,Emily Markowtiz,emily.markowitz@noaa.gov,brown cat shark egg case,Encountered,201
NMFS AFSC GAP Survey,Apristurus brunneus,Emily Markowtiz,emily.markowitz@noaa.gov,brown cat shark,Encountered,210
NMFS AFSC GAP Survey,Parmaturus xaniurus,Emily Markowtiz,emily.markowitz@noaa.gov,filetail cat shark,Encountered,211
NMFS AFSC GAP Survey,Apristurus kampae,Emily Markowtiz,emily.markowitz@noaa.gov,longnose cat shark,Encountered,212
NMFS AFSC GAP Survey,Apristurus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,213
NMFS AFSC GAP Survey,Cephaloscyllium ventriosum,Emily Markowtiz,emily.markowitz@noaa.gov,swell shark,Encountered,214
NMFS AFSC GAP Survey,Hexanchus griseus,Emily Markowtiz,emily.markowitz@noaa.gov,sixgill shark,Encountered,222
NMFS AFSC GAP Survey,Lamna ditropis,Emily Markowtiz,emily.markowitz@noaa.gov,salmon shark,Encountered,232
NMFS AFSC GAP Survey,Cetorhinus maximus,Emily Markowtiz,emily.markowitz@noaa.gov,basking shark,Encountered,242
NMFS AFSC GAP Survey,Squatina californica,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific angel shark,Encountered,252
NMFS AFSC GAP Survey,Squalus suckleyi,Emily Markowtiz,emily.markowitz@noaa.gov,spiny dogfish,Encountered,310
NMFS AFSC GAP Survey,Centroscyllium nigrum,Emily Markowtiz,emily.markowitz@noaa.gov,combtooth dogfish,Encountered,311
NMFS AFSC GAP Survey,Somniosus pacificus,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific sleeper shark,Encountered,320
NMFS AFSC GAP Survey,Galeorhinus galeus,Emily Markowtiz,emily.markowitz@noaa.gov,soupfin shark,Encountered,332
NMFS AFSC GAP Survey,Mustelus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,339
NMFS AFSC GAP Survey,Mustelus henlei,Emily Markowtiz,emily.markowitz@noaa.gov,brown smoothhound,Encountered,340
NMFS AFSC GAP Survey,Mustelus californicus,Emily Markowtiz,emily.markowitz@noaa.gov,gray smoothhound,Encountered,341
NMFS AFSC GAP Survey,Prionace glauca,Emily Markowtiz,emily.markowitz@noaa.gov,blue shark,Encountered,351
NMFS AFSC GAP Survey,Triakis semifasciata,Emily Markowtiz,emily.markowitz@noaa.gov,leopard shark,Encountered,355
NMFS AFSC GAP Survey,Rajidae,Emily Markowtiz,emily.markowitz@noaa.gov,skate unid.,Encountered,400
NMFS AFSC GAP Survey,Rajiformes egg case,Emily Markowtiz,emily.markowitz@noaa.gov,skate egg case unid.,Encountered,401
NMFS AFSC GAP Survey,Bathyraja sp. egg case,Emily Markowtiz,emily.markowitz@noaa.gov,Bathyraja sp. egg case,Encountered,402
NMFS AFSC GAP Survey,Raja sp. egg case,Emily Markowtiz,emily.markowitz@noaa.gov,Raja sp. egg case,Encountered,403
NMFS AFSC GAP Survey,Raja sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,404
NMFS AFSC GAP Survey,Bathyraja sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,405
NMFS AFSC GAP Survey,Bathyraja spinosissima,Emily Markowtiz,emily.markowitz@noaa.gov,white skate,Encountered,406
NMFS AFSC GAP Survey,Bathyraja abyssicola,Emily Markowtiz,emily.markowitz@noaa.gov,deepsea skate,Encountered,410
NMFS AFSC GAP Survey,Bathyraja abyssicola egg case,Emily Markowtiz,emily.markowitz@noaa.gov,deepsea skate egg case,Encountered,411
NMFS AFSC GAP Survey,Beringraja binoculata,Emily Markowtiz,emily.markowitz@noaa.gov,big skate,Encountered,420
NMFS AFSC GAP Survey,Beringraja binoculata egg case,Emily Markowtiz,emily.markowitz@noaa.gov,big skate egg case,Encountered,421
NMFS AFSC GAP Survey,Beringraja inornata,Emily Markowtiz,emily.markowitz@noaa.gov,California skate,Encountered,425
NMFS AFSC GAP Survey,Bathyraja interrupta,Emily Markowtiz,emily.markowitz@noaa.gov,Bering skate,Encountered,435
NMFS AFSC GAP Survey,Bathyraja interrupta egg case,Emily Markowtiz,emily.markowitz@noaa.gov,Bering skate egg case,Encountered,436
NMFS AFSC GAP Survey,Beringraja rhina,Emily Markowtiz,emily.markowitz@noaa.gov,longnose skate,Encountered,440
