Project Request,Scientific name,Point of Contact for Submission,Email,Common Name,Survey Type,Group
National Park Service Channel Islands,Alloclinus holderi,Scott Gabara,scott_gabara@nps.gov,island kelpfish,Monitored,fish
National Park Service Channel Islands,Anarrhichthys ocellatus,Scott Gabara,scott_gabara@nps.gov,wolf eel,Monitored,fish
National Park Service Channel Islands,Anisotremus davidsonii,Scott Gabara,scott_gabara@nps.gov,sargo,Monitored,fish
National Park Service Channel Islands,Apogon atricaudus,Scott Gabara,scott_gabara@nps.gov,plain cardinalfish,Monitored,fish
National Park Service Channel Islands,Apogon guadalupensis,Scott Gabara,scott_gabara@nps.gov,guadalupe cardinalfish,Monitored,fish
National Park Service Channel Islands,Artedius corallinus,Scott Gabara,scott_gabara@nps.gov,coralline sculpin,Monitored,fish
National Park Service Channel Islands,Artedius creaseri,Scott Gabara,scott_gabara@nps.gov,roughcheek sculpin,Monitored,fish
National Park Service Channel Islands,Artedius harringtoni,Scott Gabara,scott_gabara@nps.gov,scalyhead sculpin,Monitored,fish
National Park Service Channel Islands,Atherinops affinis,Scott Gabara,scott_gabara@nps.gov,top smelt,Monitored,fish
National Park Service Channel Islands,Atherinopsis californiensis,Scott Gabara,scott_gabara@nps.gov,jack smelt,Monitored,fish
National Park Service Channel Islands,Atractoscion nobilis,Scott Gabara,scott_gabara@nps.gov,white seabass,Monitored,fish
National Park Service Channel Islands,Aulorhynchus flavidus,Scott Gabara,scott_gabara@nps.gov,tubesnout,Monitored,fish
National Park Service Channel Islands,Azurina hirundo,Scott Gabara,scott_gabara@nps.gov,swallowtail damselfish,Monitored,fish
National Park Service Channel Islands,Balistes polylepis,Scott Gabara,scott_gabara@nps.gov,finescale triggerfish,Monitored,fish
National Park Service Channel Islands,Bathymasteridae,Scott Gabara,scott_gabara@nps.gov,ronquil spp.,Monitored,fish
National Park Service Channel Islands,Brachyistius frenatus,Scott Gabara,scott_gabara@nps.gov,kelp surfperch,Monitored,fish
National Park Service Channel Islands,Carcharodon carcharias,Scott Gabara,scott_gabara@nps.gov,white shark,Monitored,fish
National Park Service Channel Islands,Caulolatilus princeps,Scott Gabara,scott_gabara@nps.gov,ocean whitefish,Monitored,fish
National Park Service Channel Islands,Cebidichthys violaceus,Scott Gabara,scott_gabara@nps.gov,monkeyface prickleback,Monitored,fish
National Park Service Channel Islands,Cephaloscyllium ventriosum,Scott Gabara,scott_gabara@nps.gov,swell shark,Monitored,fish
National Park Service Channel Islands,Chaenopsis alepidota,Scott Gabara,scott_gabara@nps.gov,orangethroat pikeblenny,Monitored,fish
National Park Service Channel Islands,Cheilotrema saturnum,Scott Gabara,scott_gabara@nps.gov,black croaker,Monitored,fish
National Park Service Channel Islands,Chirolophis nugator,Scott Gabara,scott_gabara@nps.gov,mosshead warbonnet,Monitored,fish
National Park Service Channel Islands,Chromis punctipinnis,Scott Gabara,scott_gabara@nps.gov,blacksmith,Monitored,fish
National Park Service Channel Islands,Citharichthys stigmaeus,Scott Gabara,scott_gabara@nps.gov,speckled sanddab,Monitored,fish
National Park Service Channel Islands,Cymatogaster aggregata,Scott Gabara,scott_gabara@nps.gov,shiner surfperch,Monitored,fish
National Park Service Channel Islands,Embiotoca jacksoni,Scott Gabara,scott_gabara@nps.gov,black surfperch,Monitored,fish
National Park Service Channel Islands,Embiotoca lateralis,Scott Gabara,scott_gabara@nps.gov,striped surfperch,Monitored,fish
National Park Service Channel Islands,Engraulis mordax,Scott Gabara,scott_gabara@nps.gov,northern anchovy,Monitored,fish
National Park Service Channel Islands,Galeorhinus galeus,Scott Gabara,scott_gabara@nps.gov,soupfin shark,Monitored,fish
National Park Service Channel Islands,Gibbonsia elegans,Scott Gabara,scott_gabara@nps.gov,spotted kelpfish,Monitored,fish
National Park Service Channel Islands,Gibbonsia montereyensis,Scott Gabara,scott_gabara@nps.gov,crevice kelpfish,Monitored,fish
National Park Service Channel Islands,Girella nigricans,Scott Gabara,scott_gabara@nps.gov,opaleye,Monitored,fish
National Park Service Channel Islands,Gymnothorax mordax,Scott Gabara,scott_gabara@nps.gov,California moray eel,Monitored,fish
National Park Service Channel Islands,Halichoeres semicinctus,Scott Gabara,scott_gabara@nps.gov,rock wrasse,Monitored,fish
National Park Service Channel Islands,Hermosilla azurea,Scott Gabara,scott_gabara@nps.gov,zebra perch,Monitored,fish
National Park Service Channel Islands,Heterodontus francisci,Scott Gabara,scott_gabara@nps.gov,horn shark,Monitored,fish
National Park Service Channel Islands,Heterostichus rostratus,Scott Gabara,scott_gabara@nps.gov,giant kelpfish,Monitored,fish
National Park Service Channel Islands,Hexagrammos decagrammus,Scott Gabara,scott_gabara@nps.gov,kelp greenling,Monitored,fish
National Park Service Channel Islands,Hexagrammos lagocephalus,Scott Gabara,scott_gabara@nps.gov,rock greenling,Monitored,fish
National Park Service Channel Islands,Hyperprosopon anale,Scott Gabara,scott_gabara@nps.gov,spotfin surfperch,Monitored,fish
National Park Service Channel Islands,Hyperprosopon argenteum,Scott Gabara,scott_gabara@nps.gov,walleye surfperch,Monitored,fish
National Park Service Channel Islands,Hypsurus caryi,Scott Gabara,scott_gabara@nps.gov,rainbow surfperch,Monitored,fish
National Park Service Channel Islands,Hypsypops rubicundus,Scott Gabara,scott_gabara@nps.gov,garibaldi,Monitored,fish
National Park Service Channel Islands,Icelinus tenuis,Scott Gabara,scott_gabara@nps.gov,spotfin sculpin,Monitored,fish
National Park Service Channel Islands,Leiocottus hirundo,Scott Gabara,scott_gabara@nps.gov,lavender sculpin,Monitored,fish
National Park Service Channel Islands,Lythrypnus dalli,Scott Gabara,scott_gabara@nps.gov,blue-banded goby,Monitored,fish
National Park Service Channel Islands,Lythrypnus zebra,Scott Gabara,scott_gabara@nps.gov,zebra goby,Monitored,fish
National Park Service Channel Islands,Medialuna californiensis,Scott Gabara,scott_gabara@nps.gov,halfmoon,Monitored,fish
National Park Service Channel Islands,Mola mola,Scott Gabara,scott_gabara@nps.gov,ocean sunfish,Monitored,fish
National Park Service Channel Islands,Myliobatis californica,Scott Gabara,scott_gabara@nps.gov,bat ray,Monitored,fish
National Park Service Channel Islands,Nautichthys oculofasciatus,Scott Gabara,scott_gabara@nps.gov,sailfin sculpin,Monitored,fish
National Park Service Channel Islands,Neoclinus blanchardi,Scott Gabara,scott_gabara@nps.gov,sarcastic fringehead,Monitored,fish
National Park Service Channel Islands,Neoclinus stephensae,Scott Gabara,scott_gabara@nps.gov,yellowfin fringehead,Monitored,fish
National Park Service Channel Islands,Neoclinus uninotatus,Scott Gabara,scott_gabara@nps.gov,onespot fringehead,Monitored,fish
National Park Service Channel Islands,Notorynchus cepedianus,Scott Gabara,scott_gabara@nps.gov,broadnose sevengill shark,Monitored,fish
National Park Service Channel Islands,Ophiodon elongatus,Scott Gabara,scott_gabara@nps.gov,lingcod,Monitored,fish
National Park Service Channel Islands,Orthonopias triacis,Scott Gabara,scott_gabara@nps.gov,snubnose sculpin,Monitored,fish
National Park Service Channel Islands,Oxyjulis californica,Scott Gabara,scott_gabara@nps.gov,señorita,Monitored,fish
National Park Service Channel Islands,Oxylebius pictus,Scott Gabara,scott_gabara@nps.gov,painted greenling,Monitored,fish
National Park Service Channel Islands,Paralabrax clathratus,Scott Gabara,scott_gabara@nps.gov,kelp bass,Monitored,fish
National Park Service Channel Islands,Paralabrax nebulifer,Scott Gabara,scott_gabara@nps.gov,barred sand bass,Monitored,fish
National Park Service Channel Islands,Paralichthys californicus,Scott Gabara,scott_gabara@nps.gov,California halibut,Monitored,fish
National Park Service Channel Islands,Phanerodon atripes,Scott Gabara,scott_gabara@nps.gov,sharpnose surfperch,Monitored,fish
National Park Service Channel Islands,Phanerodon furcatus,Scott Gabara,scott_gabara@nps.gov,white surfperch,Monitored,fish
National Park Service Channel Islands,Platyrhinoidis triseriata,Scott Gabara,scott_gabara@nps.gov,thornback ray,Monitored,fish
National Park Service Channel Islands,Pleuronichthys coenosus,Scott Gabara,scott_gabara@nps.gov,c-o turbot,Monitored,fish
National Park Service Channel Islands,Porichthys notatus,Scott Gabara,scott_gabara@nps.gov,plainfin midshipman,Monitored,fish
National Park Service Channel Islands,Prionace glauca,Scott Gabara,scott_gabara@nps.gov,blue shark,Monitored,fish
National Park Service Channel Islands,Rathbunella hypoplecta,Scott Gabara,scott_gabara@nps.gov,stripedfin ronquil,Monitored,fish
National Park Service Channel Islands,Rhacochilus toxotes,Scott Gabara,scott_gabara@nps.gov,rubberlip surfperch,Monitored,fish
National Park Service Channel Islands,Rhacochilus vacca,Scott Gabara,scott_gabara@nps.gov,pile perch,Monitored,fish
National Park Service Channel Islands,Rhinogobiops nicholsii,Scott Gabara,scott_gabara@nps.gov,blackeye goby,Monitored,fish
National Park Service Channel Islands,Ronquilus jordani,Scott Gabara,scott_gabara@nps.gov,northern ronquil,Monitored,fish
National Park Service Channel Islands,Sarda chiliensis,Scott Gabara,scott_gabara@nps.gov,Pacific bonito,Monitored,fish
National Park Service Channel Islands,Sardinops sagax,Scott Gabara,scott_gabara@nps.gov,Pacific sardine,Monitored,fish
National Park Service Channel Islands,Scomber japonicus,Scott Gabara,scott_gabara@nps.gov,Pacific mackerel,Monitored,fish
National Park Service Channel Islands,Scorpaena guttata,Scott Gabara,scott_gabara@nps.gov,California scorpionfish,Monitored,fish
National Park Service Channel Islands,Scorpaenichthys marmoratus,Scott Gabara,scott_gabara@nps.gov,cabezon,Monitored,fish
National Park Service Channel Islands,Sebastes atrovirens,Scott Gabara,scott_gabara@nps.gov,kelp rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes auriculatus,Scott Gabara,scott_gabara@nps.gov,brown rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes carnatus,Scott Gabara,scott_gabara@nps.gov,gopher rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes caurinus,Scott Gabara,scott_gabara@nps.gov,copper rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes chrysomelas,Scott Gabara,scott_gabara@nps.gov,black and yellow rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes dallii,Scott Gabara,scott_gabara@nps.gov,calico rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes diploproa,Scott Gabara,scott_gabara@nps.gov,splitnose rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes entomelas,Scott Gabara,scott_gabara@nps.gov,widow rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes flavidus,Scott Gabara,scott_gabara@nps.gov,yellowtail rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes hopkinsi,Scott Gabara,scott_gabara@nps.gov,squarespot rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes melanops,Scott Gabara,scott_gabara@nps.gov,black rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes miniatus,Scott Gabara,scott_gabara@nps.gov,vermillion rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes mystinus,Scott Gabara,scott_gabara@nps.gov,blue rockfish,Monitored,fish
National Park Service Channel Islands,Sebastes paucispinis,Scott Gabara,scott_gabara@nps.gov,bocaccio,Monitored,fish
