Project,Kingdom,Phylum,Class,Order,Family,Genus,Species
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Akephorus,marinus
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Aleochara,sulcicollis
SC_Beach,Animalia,Arthropoda,Malacostracans,Isopoda,Alloniscidae,Alloniscus,perconvexus
SC_Beach,Animalia,Annelida,Polychaeta,,Capitellidae,Amastigos,acutus
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Amblyderus,
SC_Beach,Animalia,Arthropoda,Malacostracans,Amphipoda,Oedicerotidae,Americhelidium,
SC_Beach,Animalia,Annelida,Polychaeta,Eunicida,Oenonidae,Arabella,iricolor
SC_Beach,Animalia,Arthropoda,Malacostracans,Mysida,Mysidacea,Archaeomysis,grebnitzkii
SC_Beach,Animalia,Arthropoda,Malacostracans,Mysida,Mysidacea,Archaeomysis,maculata
SC_Beach,Animalia,Arthropoda,Malacostracans,Mysida,Mysidacea,Archaeomysis,
SC_Beach,Animalia,Annelida,Polychaeta,,Arenicolidae,Arenicola,
SC_Beach,Animalia,Arthropoda,Malacostracans,Isopoda,Armadillidiidae,Armadillidium,vulgare
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,fenyesi
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,ornatus
SC_Beach,Animalia,Arthropoda,Malacostracans,Decapoda,Blepharipodidae,Blepharipoda,occidentalis
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,canescens
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,decipiens
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,lithocharinus
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,luteipennis
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,seminitens
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,sulcicollis
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,
SC_Beach,Animalia,Mollusca,Gastropoda,Neogastropoda,Olivellidae,Callianax,biplicata
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,fimbriatus
SC_Beach,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Cirriformia,
SC_Beach,Animalia,Arthropoda,Insecta,Diptera,Coelopidae,Coelopa,vanduzeei
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Coelus,ciliatus
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Coelus,globosus
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Coelus,
SC_Beach,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Dispio,uncinata
SC_Beach,Animalia,Mollusca,Bivalvia,Veneroida,Donacidae,Donax,gouldii
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Elassoptes,marinus
SC_Beach,Animalia,Arthropoda,Malacostracans,Decapoda,Hippidae,Emerita,analoga
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Emphyastes,fucicola
SC_Beach,Animalia,Arthropoda,Malacostracans,Amphipoda,Haustoriidae,Eohaustorius,sawyeri
SC_Beach,Animalia,Arthropoda,Malacostracans,Amphipoda,Haustoriidae,Eohaustorius,washingtonianus
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Epantius,obscurus
SC_Beach,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,dilatae
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Euspilotus,scissus
SC_Beach,Animalia,Arthropoda,Malacostracans,Isopoda,Cirolanidae,Excirolana,chiltoni
SC_Beach,Animalia,Arthropoda,Malacostracans,Isopoda,Cirolanidae,Excirolana,linquifrons
SC_Beach,Animalia,Arthropoda,Malacostracans,Isopoda,Cirolanidae,Excirolana,
SC_Beach,Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Fucellia,
SC_Beach,Animalia,Arthropoda,Arachnida,Pseudoscorpionida,Garypidae,Garypus,californicus
SC_Beach,Animalia,Arthropoda,Malacostracans,Amphipoda,Megaluropidae,Gibberosus,devaneyi
SC_Beach,Animalia,Arthropoda,Malacostracans,Amphipoda,Megaluropidae,Gibberosus,myersi
SC_Beach,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,macrobranchia
SC_Beach,Animalia,Arthropoda,Malacostracans,Isopoda,Sphaeromatidae,Gnorimosphaeroma,noblei
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Hadrotes,crassus
SC_Beach,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Hemipodia,simplex
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,bigemmeus
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,gaudens
SC_Beach,Animalia,Arthropoda,Malacostracans,Decapoda,Albuneidae,Lepidopa,californica
SC_Beach,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Leuresthes,tenuis
SC_Beach,Animalia,Arthropoda,Malacostracans,Amphipoda,Talitridae,Mandibulophoxus,gilesi
SC_Beach,Animalia,Arthropoda,Malacostracans,Amphipoda,Talitridae,Megalorchestia,benedicti
SC_Beach,Animalia,Arthropoda,Malacostracans,Amphipoda,Talitridae,Megalorchestia,californiana
SC_Beach,Animalia,Arthropoda,Malacostracans,Amphipoda,Talitridae,Megalorchestia,columbiana
SC_Beach,Animalia,Arthropoda,Malacostracans,Amphipoda,Talitridae,Megalorchestia,corniculata
SC_Beach,Animalia,Arthropoda,Malacostracans,Amphipoda,Talitridae,Megalorchestia,minor
SC_Beach,Animalia,Arthropoda,Malacostracans,Amphipoda,Talitridae,Megalorchestia,
SC_Beach,Animalia,Mollusca,Bivalvia,Veneroida,Montacutidae,Mysella,pedroana
SC_Beach,Animalia,Arthropoda,Arachnida,Trombidiformes,Bdellidae,Neomolgus,littoralis
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Neopachylopus,aeneipunctatus
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Neopachylopus,sulcifrons
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Neopachylopus,
SC_Beach,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,caecoides
SC_Beach,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,californiensis
SC_Beach,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,
SC_Beach,Animalia,Annelida,Polychaeta,,Capitellidae,Notomastus,species D
SC_Beach,Animalia,Annelida,Polychaeta,,Capitellidae,Notomastus,
SC_Beach,Animalia,Annelida,Polychaeta,,Orbiniidae,Orbinia,johnsoni
SC_Beach,Animalia,Nemertea,Enopla,Monostilifera,Emplectonematidae,Paranemertes,californica
SC_Beach,Animalia,Nemertea,Enopla,Monostilifera,Emplectonematidae,Paranemertes,peregrina
SC_Beach,Animalia,Annelida,Polychaeta,Scolecida,Paraonidae,Paraonella,platybranchia
SC_Beach,Animalia,Arthropoda,Malacostracans,Amphipoda,Phoxocephalidae,Paraphoxus,
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Phaleria,rotunda
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Phycocotes,testaceus
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Monotomidae,Phyconomus,marinus
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Pontamalota,opaca
SC_Beach,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,bullibranchia
SC_Beach,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,squamata
SC_Beach,Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma,zonata
SC_Beach,Animalia,Annelida,Polychaeta,,Orbiniidae,Scoloplos,armiger
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Sitona,
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tarphiotia,fucicola
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tarphiotia,geniculata
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tenebrionidae,
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Thinopinus,pictus
SC_Beach,Animalia,Arthropoda,Insecta,Diptera,Sphaeroceridae,Thoracochaeta,johnsoni
SC_Beach,Animalia,Annelida,Polychaeta,,Opheliidae,Thoracophelia,dillonensis
SC_Beach,Animalia,Annelida,Polychaeta,,Opheliidae,Thoracophelia,mucronata
SC_Beach,Animalia,Mollusca,Bivalvia,Veneroida,Veneridae,Tivela,stultorum
SC_Beach,Animalia,Arthropoda,Malacostracans,Isopoda,Tylidae,Tylos,punctatus
SC_Beach,Animalia,Nemertea,,,,,unknown species A
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,,unknown species H
SC_Beach,Animalia,Annelida,Polychaeta,,Capitellidae,,
SC_Beach,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,,
SC_Beach,Animalia,Arthropoda,Insecta,Diptera,Empididae,,
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,
SC_Beach,Animalia,Annelida,Polychaeta,Spionida,Spionidae,,
SC_Beach,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,,
SC_Beach,Animalia,Arthropoda,Insecta,Diptera,,,
,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,
,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,,
,Animalia,Annelida,Polychaeta,,Opheliidae,Thoracophelia,
,Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Fucellia,costalis
,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Hemipodia,
,Animalia,Arthropoda,Insecta,Diptera,Ephydridae,,
,Animalia,Arthropoda,Insecta,Coleoptera,,,
