PROJECT,TYPE,TAXON_GENUS,TAXON_SPECIES,DESCRIPTION,TAXON_GROUP,SURVEY,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,COMMON_NAME
SCMPA Beach,M,Macrocystis,pyrifera,All Macrocystis categories,ALGAE,Wrack Cover,Plantae,Phaeophyta,Phaeophyceae,Laminariales,Lessoniaceae,Giant Kelp
SCMPA Beach,E,Egregia,menziesii,Feather boa kelp,ALGAE,Wrack Cover,Plantae,Phaeophyta,Phaeophyceae,Laminariales,Alariaceae,Feather Boa Kelp
SCMPA Beach,P,Phyllospadix,torreyi,Surfgrass,ALGAE,Wrack Cover,Plantae,Magnoliophyta,Liliopsida,Najadales,Zosteraceae,Surfgrass
SCMPA Beach,Z,Zostera,marina,Eelgrass,ALGAE,Wrack Cover,Plantae,Magnoliophyta,Liliopsida,Najadales,Zosteraceae,Eel grass
SCMPA Beach,B,.,.,Other brown algae,ALGAE,Wrack Cover,Plantae,Phaeophyta,.,.,.,.
SCMPA Beach,R,.,.,Red algae,ALGAE,Wrack Cover,Plantae,Rhodophyta,.,.,.,.
SCMPA Beach,G,.,.,Green algae,ALGAE,Wrack Cover,Plantae,Chlorophyta,.,.,.,.
SCMPA Beach,W,.,.,Wood,PLANT,Wrack Cover,Plantae,.,.,.,.,.
SCMPA Beach,A,.,.,Animal,ANIMAL,Wrack Cover,Animalia,.,.,.,.,.
SCMPA Beach,D,.,.,Terrestrial debris,PLANT,Wrack Cover,Plantae,.,.,.,.,.
SCMPA Beach,V,.,.,Terrestrial vegetation,PLANT,Wrack Cover,Plantae,.,.,.,.,.
SCMPA Beach,T,.,.,Trash,OTHER,Wrack Cover,.,.,.,.,.,.
SCMPA Beach,TAR,.,.,Tar,OTHER,Wrack Cover,.,.,.,.,.,.
SCMPA Beach,ABRO,Abronia,spp.,red or pink sand verbena,PLANT,Wrack Cover,Plantae,,,,Nyctaginaceae,Sand Verbena
SCMPA Beach,AMBR,Ambrosia,chamissonis,Beach burr,PLANT,Wrack Cover,Plantae,,,,Asteraceae,Beach Burr
SCMPA Beach,ATRI,Atriplex,leucophylla,Salt bush,PLANT,Wrack Cover,Plantae,,,,Chenopodiaceae,Salt Bush
SCMPA Beach,CAKI,Cakile,maritima,Sea rocket,PLANT,Wrack Cover,Plantae,,,,Brassicaceae,Sea Rocket
SCMPA Beach,CHAR,,,Charcoal,OTHER,Wrack Cover,,,,,,
SCMPA Beach,COBB,,,Cobble,SUBSTRATE,Wrack Cover,,,,,,
SCMPA Beach,DIST,Distichlis,spicata,Saltgrass,PLANT,Wrack Cover,Plantae,,,,Poaceae,Salt grass
SCMPA Beach,FEC,,,Feces,OTHER,Wrack Cover,,,,,,
SCMPA Beach,FTHR,,,Feather,OTHER,Wrack Cover,,,,,,
SCMPA Beach,MUD,,,Mud,SUBSTRATE,Wrack Cover,,,,,,
SCMPA Beach,NS,Tetragonia,tetragonioides,New Zealand Spinach,PLANT,Wrack Cover,Plantae,,,,Aizoaceae,New Zealand Spinach
SCMPA Beach,OTHR,,,Other,OTHER,Wrack Cover,,,,,,
SCMPA Beach,POOL,,,Pool,OTHER,Wrack Cover,,,,,,
SCMPA Beach,ROCK,,,Exposed rock,SUBSTRATE,Wrack Cover,,,,,,
SCMPA Beach,SHELL,,,Shell,OTHER,Wrack Cover,,,,,,
SCMPA Beach,GRAVEL,,,Gravel,SUBSTRATE,Wrack Cover,,,,,,
SCMPA Beach,STREAM,.,.,Terrestrial Stream,OTHER,Wrack Cover,.,.,.,.,.,.
