Family,ScientificName,ScientificNameAuthorship,CommonName,Notes,TaxonId
"Incertae Sedis","Brewericeras hulenense","(Anderson 1938)",,,116766
"Incertae Sedis","Diaperoforma californica","(d'Orbigny, 1853)",,,132954
"Incertae Sedis","Dichelyne kanabus","(Walder & Arai, 1974)",,,245886
"Incertae Sedis","Leconteites lecontei","(Anderson 1902)",,,147587
"Incertae Sedis","Ophioncus granulosus","Ives, 1889",,,162176
"Incertae Sedis","Paraleptognathia bisetulosa","Dojiri and Sieg, 1997",,,52325
"Incertae Sedis","Siphonolabrum californiensis","Dojiri and Sieg, 1997",,,52328
"Incertae Sedis","Stephanomia amphytridis","Lesueur & Petit, 1807",,,168660
"Incertae Sedis","Tanaopsis cadieni","Sieg and Dojiri, 1991",,,52329
ABRONICIDAE,"Abronica abronia","(MacFarland, 1966)",,,118011
ACANTHOCERATIDAE,"Mammites rancheriae","Anderson, 1958",,,161659
ACANTHOCHITONIDAE,"Acanthochitona avicula","(Carpenter, 1857)",,,20049
ACANTHOCHITONIDAE,"Acanthochitona exquisita","(Pilsbry, 1893)",,,115477
ACANTHOCHITONIDAE,"Acanthochitona hirudiniformis","(Sowerby I, 1832)",,,115481
ACANTHOCHITONIDAE,"Acanthochitona imperatrix","Watters, 1981",,,20051
ACANTHOCHITONIDAE,"Cryptochiton stelleri","(Middendorff, 1847)","giant Pacific chiton",,20036
ACANTHOCOLPIDAE,"Stephanostomum californicum",,,,109912
ACANTHOCOLPIDAE,"Stephanostomum casum",,,,109911
ACANTHODRILIDAE,"Argilophilus margaritae","James, 1994",,,237749
ACANTHODRILIDAE,"Argilophilus woodi","James, 1994",,,237750
ACANTHODRILIDAE,"Diplocardia communis","Garman, 1888",,,247958
ACANTHODRILIDAE,"Microscolex dubius","(Fletcher, 1887)",,,161735
ACANTHODRILIDAE,"Microscolex phosphoreus","(Dugès, 1837)",,,161736
ACANTHOGORGIIDAE,"Muricella complanata","Wright & Studer, 1889",,,161964
ACARNIDAE,"Acarnus erithacus","de Laubenfels, 1927",,,103946
ACARNIDAE,"Astylinifer arndti",,,,103613
ACARNIDAE,"Hymedesanisochela rayae","Bakus, 1966",,,103617
ACARNIDAE,"Iophon cheliferum","Ridley & Dendy, 1886",,,147004
ACARNIDAE,"Iophon lamella","Wilson, 1904",,,147005
ACARNIDAE,"Iophon nigricans",,,,103623
ACARNIDAE,"Iophon piceum","(Vosmaer, 1882)",,,147006
ACARNIDAE,"Iophon rayae","(Bakus, 1966)",,,147007
ACARTIIDAE,"Acartia californiensis","Trinast, 1976",,,55211
ACARTIIDAE,"Acartia clausi","Giesbrecht, 1889",,,55202
ACARTIIDAE,"Acartiella sinensis","Shen and Lee, 1963",,,51226
ACCACOELIIDAE,"Accacladium nematulum",,,,109139
ACHATINIDAE,"Achatina achatina","(Linnaeus, 1758)",,,115555
ACIDOSTOMATIDAE,"Acidostoma hancocki","Hurley, 1963",,,59344
ACMAEIDAE,"Acmaea conus","Test, 1945",,,3559
ACMAEIDAE,"Acmaea depicta","Hinds, 1842",,,3562
ACMAEIDAE,"Acmaea funiculata","(Carpenter, 1864)",,,3555
ACMAEIDAE,"Acmaea gabatella","S. S. Berry, 1960",,,276076
ACMAEIDAE,"Acmaea goodmani","S. S. Berry, 1960",,,255218
ACMAEIDAE,"Acmaea instabilis","(Gould, 1846)",,,3557
ACMAEIDAE,"Acmaea limatula","Carpenter, 1864",,,3560
ACMAEIDAE,"Acmaea mitra","Eschscholtz, 1833","whitecap limpet",,3550
ACMAEIDAE,"Acmaea paleacea","Gould, 1853",,,3561
ACMAEIDAE,"Acmaea sybaritica","Dall, 1871",,,3549
ACMAEIDAE,"Acmaea triangularis","(Carpenter, 1864)",,,3552
ACOETIDAE,"Acoetes pacifica","(Treadwell, 1914)",,,234434
ACOETIDAE,"Polyodontes lupinus","(Stimpson, 1856)",,,232838
ACOLEIDAE,"Acoleus vaginatus","(Rudolphi, 1819)",,,234437
ACONTIOPHORIDAE,"Acontiophorum niveum","Fautin, Eppard, and Mead, 1988",,,35268
ACROCIRRIDAE,"Acrocirrus crassifilis",,,,86533
ACROCIRRIDAE,"Flabelligella macrochaeta",,,,86542
ACROPORIDAE,"Montipora fragosa","Verrill, 1869",,,167110
ACTEONEMERTIDAE,"Argonemertes dendyi","(Dakin, 1915)",,,172950
ACTEONIDAE,"Acteon traskii","Stearns, 1898",,,6726
ACTEONIDAE,"Rictaxis painei","(Dall, 1903)",,,6734
ACTEONIDAE,"Rictaxis punctocaelatus","(Carpenter, 1864)",,,6733
ACTEONIDAE,"Rictaxis punctocaelatus vancouverensis","Oldroyd, 1927",,,14500
ACTEONIDAE,"Rictaxis punctostriatus","(C. B. Adams, 1840)",,,6735
ACTINERNIDAE,"Actinernus nobilis","Verrill, 1879",,,33577
ACTINIIDAE,"Actinostella bradleyi","(Verrill, 1869)",,,124435
ACTINIIDAE,"Anthopleura artemisia","(Pickering in Dana, 1846)",,,34916
ACTINIIDAE,"Anthopleura elegantissima","(Brandt, 1835)","clonal anemone",,34914
ACTINIIDAE,"Anthopleura sola","Pearse and Francis, 2000",,,35505
ACTINIIDAE,"Anthopleura xanthogrammica","(Brandt, 1835)","giant green anemone",,34915
ACTINIIDAE,"Aulactinia incubans","Dunn, Chia & Levine, 1980",,,116430
ACTINIIDAE,"Bolocera kensmithi","Eash-Loucks & Fautin, 2012",,,116684
ACTINIIDAE,"Bolocera pannosa","McMurrich, 1893",,,239834
ACTINIIDAE,"Cribrinopsis albopunctata","Sanamyan & Sanamyan, 2006",,,149852
ACTINIIDAE,"Epiactis lisbethae","Fautin and Chia, 1986","giant brooding anemone",,34928
ACTINIIDAE,"Epiactis prolifera","Verrill, 1869","brooding anemone",,34924
ACTINIIDAE,"Epiactis ritteri","Torrey, 1902","sandy anemone",,34925
ACTINIIDAE,"Myonanthus ambiguus","McMurrich, 1893",,,35558
ACTINIIDAE,"Urticina columbiana","Verrill, 1922",,,35524
ACTINIIDAE,"Urticina coriacea","(Cuvier, 1798)",,,150043
ACTINIIDAE,"Urticina eques","(Gosse, 1858)",,,150044
ACTINIIDAE,"Urticina felina","(Linnaeus, 1761)",,,35143
ACTINIIDAE,"Urticina grebelnyi","Sanamyan & Sanamyan, 2006",,,150045
ACTINIIDAE,"Urticina mcpeaki","Hauswaldt and Pearson, 1999",,,35522
ACTINIIDAE,"Urticina piscivora","(Sebens and Laakso, 1978)",,,35523
ACTINOCYCLIDAE,"Hallaxa chani","Gosliner and Williams, 1975",,,14967
ACTINOSCYPHIIDAE,"Actinoscyphia aurelia","(Stephenson, 1918)",,,35664
ACTINOSTOLIDAE,"Actinostola faeculenta","(McMurrich, 1893)",,,234586
ACTINOSTOLIDAE,"Anthosactis nomados","White, Wakefield Pagels, and Fautin, 1999",,,35678
ACTINOSTOLIDAE,"Anthosactis pearseae","Daly & Gusmão, 2007",,,116059
ACTINOSTOLIDAE,"Paractinostola faeculenta","(McMurrich, 1893)",,,35691
ACTINOSTOLIDAE,"Pycnanthus maliformis","McMurrich, 1893",,,35706
ACTINOSTOLIDAE,"Stomphia coccinea","(Müller, 1776)","swimming anemone",,34970
ACUARIIDAE,"Cosmocephalus obvelatus","(Creplin, 1825)",,,245367
ADDISONIIDAE,"Addisonia brophyi","J. H. McLean, 1985",,,11321
AEGIDAE,"Aega lecontii","(Dana, 1853)",,,47192
AEGIDAE,"Aega symmetrica","H. Richardson, 1905",,,47230
AEGIDAE,"Aega ventrosa","M. Sars, 1859",,,47245
AEGIDAE,"Rocinela angustata","H. Richardson, 1904",,,49528
AEGIDAE,"Rocinela aries","Schioedte & Meinert, 1879B",,,49529
AEGIDAE,"Rocinela belliceps","(Stimpson, 1864)",,,58394
AEGIDAE,"Rocinela propodialis","H. Richardson, 1905",,,58397
AEGINIDAE,"Aegina citrea","Eschscholtz, 1829","golf tee medusa",,34560
AEGINIDAE,"Aegina rosea",,,,34558
AEGINIDAE,"Aeginura grimaldii","Maas, 1904",,,34567
AEGIRIDAE,"Aegires albopunctatus","MacFarland, 1905","salt-and-pepper doris",,14983
AEOLIDIIDAE,"Aeolidia herculea","Bergh, 1894",,,115655
AEOLIDIIDAE,"Aeolidia loui","Kienberger, Carmona, Pola, Padula, Gosliner & Cervera, 2016",,,147944
AEOLIDIIDAE,"Aeolidia papillosa","(Linnaeus, 1761)","shag-rug aeolis",,15277
AEOLIDIIDAE,"Anteaeolidiella chromosoma","(Cockerell & Eliot, 1905)","frosted spurilla",,116022
AEOLIDIIDAE,"Anteaeolidiella oliviae","(MacFarland, 1966)",,,115661
AEOLIDIIDAE,"Berghia stephanieae","(Valdés, 2005)",,,116624
AEOLIDIIDAE,"Cerberilla mosslandica","McDonald and Nybakken, 1975","brown burrowing aeolis",,15283
AEOLIDIIDAE,"Cerberilla pungoarena","Collier & Farmer, 1964",,,117176
AEOLIDIIDAE,"Spurilla oliviae","(Mcfarland, 1966)",,,15290
AEQUOREIDAE,"Aequorea forskalea","Péron and Lesueur, 1810",,,30921
AEQUOREIDAE,"Aequorea victoria","(Murbach and Shearer, 1902)",,,30930
AEROPSIDAE,"Aeropsis fulva","(A. Agassiz, 1898)",,,27207
AETEIDAE,"Aetea anguina","(Linnaeus, 1758)",,,113486
AETEIDAE,"Aetea ligulata","Busk, 1852",,,122937
AETEIDAE,"Aetea recta",,,,113489
AETEIDAE,"Aetea sica",,,,113488
AETIDEIDAE,"Euchirella amoena","Giesbrecht, 1888",,,54680
AETIDEIDAE,"Euchirella curticauda","Giesbrecht, 1888",,,54682
AETIDEIDAE,"Euchirella galeata","Giesbrecht, 1888",,,54683
AETIDEIDAE,"Euchirella pulchra","(Lubbock, 1856)",,,54686
AETIDEIDAE,"Gaetanus miles","Giesbrecht, 1888",,,54699
AETIDEIDAE,"Gaetanus pileatus","Farran, 1903",,,54707
AETIDEIDAE,"Gaetanus pungens","(Giesbrecht, 1895)",,,51567
AETIDEIDAE,"Undeuchaeta major","Giesbrecht, 1888",,,54731
AETIDEIDAE,"Undeuchaeta plumosa","(Lubbock, 1856)",,,54732
AGALMATIDAE,"Agalma elegans","(M. Sars, 1846)",,,34730
AGALMATIDAE,"Cordagalma abyssorum","Pugh, 2016",,,245200
AGALMATIDAE,"Cordagalma bimaculatum","Pugh, 2016",,,166569
AGALMATIDAE,"Cordagalma isocarrei","Pugh, 2016",,,245201
AGALMATIDAE,"Cordagalma rugosum","Pugh, 2016",,,245202
AGALMATIDAE,"Erenna richardi","Bedot, 1904",,,34738
AGALMATIDAE,"Frillagalma vityazi","Daniel, 1966",,,35844
AGALMATIDAE,"Lychnagalma utricularia","(Claus, 1879)",,,35848
AGALMATIDAE,"Marrus claudanielis","Dunn, Pugh & Haddock, 2005",,,166930
AGALMATIDAE,"Nanomia bijuga","(delle Chiaje, 1841)",,,34734
AGARICIIDAE,"Pavona gigantea","Verrill, 1869",,,32018
AGATHOTANAIDAE,"Paranarthrura insignis","Hansen, 1913",,,66724
AGLAJIDAE,"Aglaja ocelligera","(Bergh, 1893)","eyespot aglaja",,14594
AGLAJIDAE,"Melanochlamys diomedea","(Bergh, 1894)","albatross aglaja",,14599
AGLAJIDAE,"Navanax aenigmaticus","(Bergh, 1893)","mysterious aglaja",,14596
AGLAJIDAE,"Navanax inermis","(J. G. Cooper, 1863)","California aglaja",,14595
AGLAJIDAE,"Navanax polyalphos","(Gosliner and Williams, 1972)",,,11620
AGLAJIDAE,"Philinopsis depicta","(Renier, 1807)",,,125912
AGLAOPHENIIDAE,"Aglaophenia acacia","Allman, 1883",,,30715
AGLAOPHENIIDAE,"Aglaophenia diegensis","Torrey, 1904",,,30694
AGLAOPHENIIDAE,"Aglaophenia epizoica","Fraser, 1948",,,30698
