Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,Family,ScientificNameAuthorship,Notes,TaxonId
InvertEBase Marine Invertebrates of California,Brewericeras hulenense,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,Incertae Sedis,(Anderson 1938),,116766
InvertEBase Marine Invertebrates of California,Diaperoforma californica,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,Incertae Sedis,"(d'Orbigny, 1853)",,132954
InvertEBase Marine Invertebrates of California,Dichelyne kanabus,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,Incertae Sedis,"(Walder & Arai, 1974)",,245886
InvertEBase Marine Invertebrates of California,Leconteites lecontei,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,Incertae Sedis,(Anderson 1902),,147587
InvertEBase Marine Invertebrates of California,Ophioncus granulosus,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,Incertae Sedis,"Ives, 1889",,162176
InvertEBase Marine Invertebrates of California,Paraleptognathia bisetulosa,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,Incertae Sedis,"Dojiri and Sieg, 1997",,52325
InvertEBase Marine Invertebrates of California,Siphonolabrum californiensis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,Incertae Sedis,"Dojiri and Sieg, 1997",,52328
InvertEBase Marine Invertebrates of California,Stephanomia amphytridis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,Incertae Sedis,"Lesueur & Petit, 1807",,168660
InvertEBase Marine Invertebrates of California,Tanaopsis cadieni,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,Incertae Sedis,"Sieg and Dojiri, 1991",,52329
InvertEBase Marine Invertebrates of California,Abronica abronia,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ABRONICIDAE,"(MacFarland, 1966)",,118011
InvertEBase Marine Invertebrates of California,Mammites rancheriae,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACANTHOCERATIDAE,"Anderson, 1958",,161659
InvertEBase Marine Invertebrates of California,Acanthochitona avicula,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACANTHOCHITONIDAE,"(Carpenter, 1857)",,20049
InvertEBase Marine Invertebrates of California,Acanthochitona exquisita,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACANTHOCHITONIDAE,"(Pilsbry, 1893)",,115477
InvertEBase Marine Invertebrates of California,Acanthochitona hirudiniformis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACANTHOCHITONIDAE,"(Sowerby I, 1832)",,115481
InvertEBase Marine Invertebrates of California,Acanthochitona imperatrix,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACANTHOCHITONIDAE,"Watters, 1981",,20051
InvertEBase Marine Invertebrates of California,Cryptochiton stelleri,Dean Pentcheff,pentcheff@gmail.com ,giant Pacific chiton,Inventory,ACANTHOCHITONIDAE,"(Middendorff, 1847)",,20036
InvertEBase Marine Invertebrates of California,Stephanostomum californicum,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACANTHOCOLPIDAE,,,109912
InvertEBase Marine Invertebrates of California,Stephanostomum casum,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACANTHOCOLPIDAE,,,109911
InvertEBase Marine Invertebrates of California,Argilophilus margaritae,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACANTHODRILIDAE,"James, 1994",,237749
InvertEBase Marine Invertebrates of California,Argilophilus woodi,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACANTHODRILIDAE,"James, 1994",,237750
InvertEBase Marine Invertebrates of California,Diplocardia communis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACANTHODRILIDAE,"Garman, 1888",,247958
InvertEBase Marine Invertebrates of California,Microscolex dubius,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACANTHODRILIDAE,"(Fletcher, 1887)",,161735
InvertEBase Marine Invertebrates of California,Microscolex phosphoreus,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACANTHODRILIDAE,"(Dugès, 1837)",,161736
InvertEBase Marine Invertebrates of California,Muricella complanata,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACANTHOGORGIIDAE,"Wright & Studer, 1889",,161964
InvertEBase Marine Invertebrates of California,Acarnus erithacus,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACARNIDAE,"de Laubenfels, 1927",,103946
InvertEBase Marine Invertebrates of California,Astylinifer arndti,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACARNIDAE,,,103613
InvertEBase Marine Invertebrates of California,Hymedesanisochela rayae,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACARNIDAE,"Bakus, 1966",,103617
InvertEBase Marine Invertebrates of California,Iophon cheliferum,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACARNIDAE,"Ridley & Dendy, 1886",,147004
InvertEBase Marine Invertebrates of California,Iophon lamella,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACARNIDAE,"Wilson, 1904",,147005
InvertEBase Marine Invertebrates of California,Iophon nigricans,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACARNIDAE,,,103623
InvertEBase Marine Invertebrates of California,Iophon piceum,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACARNIDAE,"(Vosmaer, 1882)",,147006
InvertEBase Marine Invertebrates of California,Iophon rayae,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACARNIDAE,"(Bakus, 1966)",,147007
InvertEBase Marine Invertebrates of California,Acartia californiensis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACARTIIDAE,"Trinast, 1976",,55211
InvertEBase Marine Invertebrates of California,Acartia clausi,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACARTIIDAE,"Giesbrecht, 1889",,55202
InvertEBase Marine Invertebrates of California,Acartiella sinensis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACARTIIDAE,"Shen and Lee, 1963",,51226
InvertEBase Marine Invertebrates of California,Accacladium nematulum,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACCACOELIIDAE,,,109139
InvertEBase Marine Invertebrates of California,Achatina achatina,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACHATINIDAE,"(Linnaeus, 1758)",,115555
InvertEBase Marine Invertebrates of California,Acidostoma hancocki,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACIDOSTOMATIDAE,"Hurley, 1963",,59344
InvertEBase Marine Invertebrates of California,Acmaea conus,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACMAEIDAE,"Test, 1945",,3559
InvertEBase Marine Invertebrates of California,Acmaea depicta,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACMAEIDAE,"Hinds, 1842",,3562
InvertEBase Marine Invertebrates of California,Acmaea funiculata,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACMAEIDAE,"(Carpenter, 1864)",,3555
InvertEBase Marine Invertebrates of California,Acmaea gabatella,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACMAEIDAE,"S. S. Berry, 1960",,276076
InvertEBase Marine Invertebrates of California,Acmaea goodmani,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACMAEIDAE,"S. S. Berry, 1960",,255218
InvertEBase Marine Invertebrates of California,Acmaea instabilis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACMAEIDAE,"(Gould, 1846)",,3557
InvertEBase Marine Invertebrates of California,Acmaea limatula,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACMAEIDAE,"Carpenter, 1864",,3560
InvertEBase Marine Invertebrates of California,Acmaea mitra,Dean Pentcheff,pentcheff@gmail.com ,whitecap limpet,Inventory,ACMAEIDAE,"Eschscholtz, 1833",,3550
InvertEBase Marine Invertebrates of California,Acmaea paleacea,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACMAEIDAE,"Gould, 1853",,3561
InvertEBase Marine Invertebrates of California,Acmaea sybaritica,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACMAEIDAE,"Dall, 1871",,3549
InvertEBase Marine Invertebrates of California,Acmaea triangularis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACMAEIDAE,"(Carpenter, 1864)",,3552
InvertEBase Marine Invertebrates of California,Acoetes pacifica,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACOETIDAE,"(Treadwell, 1914)",,234434
InvertEBase Marine Invertebrates of California,Polyodontes lupinus,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACOETIDAE,"(Stimpson, 1856)",,232838
InvertEBase Marine Invertebrates of California,Acoleus vaginatus,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACOLEIDAE,"(Rudolphi, 1819)",,234437
InvertEBase Marine Invertebrates of California,Acontiophorum niveum,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACONTIOPHORIDAE,"Fautin, Eppard, and Mead, 1988",,35268
InvertEBase Marine Invertebrates of California,Acrocirrus crassifilis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACROCIRRIDAE,,,86533
InvertEBase Marine Invertebrates of California,Flabelligella macrochaeta,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACROCIRRIDAE,,,86542
InvertEBase Marine Invertebrates of California,Montipora fragosa,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACROPORIDAE,"Verrill, 1869",,167110
InvertEBase Marine Invertebrates of California,Argonemertes dendyi,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTEONEMERTIDAE,"(Dakin, 1915)",,172950
InvertEBase Marine Invertebrates of California,Acteon traskii,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTEONIDAE,"Stearns, 1898",,6726
InvertEBase Marine Invertebrates of California,Rictaxis painei,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTEONIDAE,"(Dall, 1903)",,6734
InvertEBase Marine Invertebrates of California,Rictaxis punctocaelatus,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTEONIDAE,"(Carpenter, 1864)",,6733
InvertEBase Marine Invertebrates of California,Rictaxis punctocaelatus vancouverensis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTEONIDAE,"Oldroyd, 1927",,14500
InvertEBase Marine Invertebrates of California,Rictaxis punctostriatus,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTEONIDAE,"(C. B. Adams, 1840)",,6735
InvertEBase Marine Invertebrates of California,Actinernus nobilis,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINERNIDAE,"Verrill, 1879",,33577
InvertEBase Marine Invertebrates of California,Actinostella bradleyi,Dean Pentcheff,pentcheff@gmail.com ,,Inventory,ACTINIIDAE,"(Verrill, 1869)",,124435
