Project Request,Scientific name,Point of Contact for Submission,Email,Common Name,Survey Type,sp_code,speciesOrNo
Trindidad Headline,OCTOPUS RUBESCENS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,57080XXXLV,1
Trindidad Headline,"""STOCKY"" COPEPOD",Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,611799999x,1
Trindidad Headline,SCOLECITHRICELLA SPP,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6117XX97XX,1
Trindidad Headline,PARAEUCHAETA SP,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6117XX98XX,1
Trindidad Headline,CALANUS MARSHALLAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118010204,1
Trindidad Headline,CALANUS PACIFICUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118010205,1
Trindidad Headline,NEOCALANUS CRISTATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118010403,1
Trindidad Headline,NEOCALANUS PLUMCHRUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118010404,1
Trindidad Headline,MESOCALANUS TENUICORNIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118010901,1
Trindidad Headline,EUCALANUS CALIFORNICUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118030102,1
Trindidad Headline,EUCALANUS BUNGII,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118030102,1
Trindidad Headline,EUCALANUS HYALINUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118030108,1
Trindidad Headline,RHINCALANUS NASUTUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118030202,1
Trindidad Headline,PARACALANUS PARVUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118040101,1
Trindidad Headline,CALOCALANUS STYLIREMIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118040201,1
Trindidad Headline,CALOCALANUS PAVO,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118040202,1
Trindidad Headline,CALOCALANUS TENUIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118040402,1
Trindidad Headline,CALOCALANUS PAVONINUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,611804999x,1
Trindidad Headline,CLAUSOCALANUS ARCUICORNIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118050101,1
Trindidad Headline,CLAUSOCALANUS FURCATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118050103,1
Trindidad Headline,CLAUSOCALANUS PERGENS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118050104,1
Trindidad Headline,CLAUSOCALANUS PARAPERGENS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118050105,1
Trindidad Headline,CLAUSOCALANUS LIVIDUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118050106,1
Trindidad Headline,CLAUSOCALANUS JOBEI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118050107,1
Trindidad Headline,CLAUSOCALANUS MASTIGOPHORUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118050108,1
Trindidad Headline,CLAUSOCALANUS PAULULUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118050109,1
Trindidad Headline,CLAUSOCALANUS FARRANI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118050199,1
Trindidad Headline,CTENOCALANUS VANUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118050201,1
Trindidad Headline,MICROCALANUS PUSILLUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118050401,1
Trindidad Headline,AETIDEUS ARMATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118070201,1
Trindidad Headline,AETIDEUS PACIFICUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118070202,1
Trindidad Headline,AETIDEUS DIVERGENS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118070203,1
Trindidad Headline,EUCHIRELLA ROSTRATA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118070908,1
Trindidad Headline,EUCHAETA MEDIA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61180801xx,1
Trindidad Headline,SCOLECITHRICELLA MINOR,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118100504,1
Trindidad Headline,SCOLECITHRICELLA OVATA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118100506,1
Trindidad Headline,PLEUROMAMMA BOREALIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61181603xx,1
Trindidad Headline,CENTROPAGES ABDOMINALIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118170101,1
Trindidad Headline,CENTROPAGES BRADYI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118170102,1
Trindidad Headline,HETERORHABDUS PAPILLIGER,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118220206,1
Trindidad Headline,HETEROSTYLITES LONGICORNIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118220301,1
Trindidad Headline,CANDACIA BIPINNATA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118260101,1
Trindidad Headline,ACARTIA DANAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118290102,1
Trindidad Headline,ACARTIA LONGIREMIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118290103,1
Trindidad Headline,ACARTIA TONSA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118290104,1
Trindidad Headline,ACARTIA HUDSONICA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118290113,1
Trindidad Headline,ACARTIA NEGLIGENS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61182901XX,1
Trindidad Headline,TORTANUS DISCAUDATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118300101,1
Trindidad Headline,SUBEUCALANUS SUBCRASSUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118999997,1
Trindidad Headline,TEMORA DISCAUDATA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118999998,1
Trindidad Headline,CHIRUNDINA STREETSII,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118999999,1
Trindidad Headline,CLYTEMNESTRA ROSTRATA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6119120101,1
Trindidad Headline,BIG ONCAEA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6120010399,1
Trindidad Headline,CORYCAEUS ANGLICUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6120040101,1
Trindidad Headline,OITHONA SIMILIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6120090103,1
Trindidad Headline,OITHONA SPINIROSTRIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6120090104,1
Trindidad Headline,EUPHAUSIA PACIFICA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6174020101,1
Trindidad Headline,EUPHAUSIA GIBBOIDES,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6174020126,1
Trindidad Headline,NEMATOBRACHION FLEXIPES,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6174020301,1
Trindidad Headline,NEMATOSCELIS DIFFICILIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6174020401,1
Trindidad Headline,NYCTIPHANES SIMPLEX,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6174020504,1
Trindidad Headline,TESSARABRACHION OCULATUM,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6174020801,1
Trindidad Headline,THYSANOESSA GREGARIA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6174020901,1
Trindidad Headline,THYSANOESSA INSPINATA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6174020903,1
Trindidad Headline,THYSANOESSA LONGIPES,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6174020905,1
Trindidad Headline,THYSANOESSA SPINIFERA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6174020907,1
Trindidad Headline,EUPHAUSIA RECURVA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6174020991,1
Trindidad Headline,SERGESTES SIMILIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6177020301,1
Trindidad Headline,CRANGON FRANCISCORUM,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6179220107,1
Trindidad Headline,NEOTRYPAEA CALIFORNIENSIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6183040204,1
Trindidad Headline,EMERITA ANALOGA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6183140102,1
Trindidad Headline,CARCINUS MAENUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61849988xx,1
Trindidad Headline,PACHEGRAPSUS CRASSIPES,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6184999XXX,1
Trindidad Headline,OREGONIA GRACILIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6187010101,1
Trindidad Headline,PUGETTIA PRODUCTA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6187010501,1
Trindidad Headline,PUGETTIA RICHII,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6187990002,1
Trindidad Headline,CANCER PRODUCTUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6188030101,1
Trindidad Headline,CANCER ANTENNARIUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6188030102,1
Trindidad Headline,CANCER MAGISTER,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6188030104,1
