Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,CHAPTER NAME,GENUS,SPECIES,FAMILY,ORDER,CLASS,DEPTH RANGE (CM),HABITAT TYPE,HABITAT DESCRIPTION,LIVES IN INTERTIDAL ZONE,LIVES IN SUBTIDAL ZONE,ADDITIONAL NOTES,RAND,Source,Notes
Light and Smith Manual,Profilicollis altmani,Chris Meyer,MeyerC@si.edu,*Spiny-headed worm,Inventory,Acanthocephala,Profilicollis,altmani,*Polymorphidae,*Polymorphida,*Palaeacanthocephala,*0-20,parasitic,"""commonly found in the hemocoels of the decapods Emerita analoga, Blepharipoda occidentalis, and Hemigrapsus oregonensis""",Yes,Yes,Adults in gulls and other shore birds. Has contributed to mortality of California sea otters who ingest infected mole crabs. Formerly known as Polymorphus kenti.,0.858087962,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.","Cells highlighted in yellow contain information marked with an asterisk (*), indicating data supplemented through additional research rather than directly extracted from the Light and Smith Manual of Pacific Coast Marine Invertebrates."
Light and Smith Manual,Accedomoera melanophthalma,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Accedomoera,melanophthalma,Pontogeneiidae,*Amphipoda,*Malacostraca,0-8000,Mixed algae and sediments,"""On mixed algae and sediments of boreal western Pacific to California, but Eastern Pacific occurrences poorly documented""",Yes,Yes,"""8 mm; intertidal—80 m.""",0.818638637,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Accedomoera vagor,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Accedomoera,vagor,Pontogeneiidae,*Amphipoda,*Malacostraca,0-200,Algae in exposed rocky areas,"""On algae in exposed rocky areas""",Yes,Yes,"""7.5 mm, intertidal—2 m.""",0.199770423,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Allorchestes angusta,Chris Meyer,MeyerC@si.edu,*Narrow allorchestes,Inventory,Amphipoda: Gammaridea,Allorchestes,angusta,Hyalellidae,*Amphipoda,*Malacostraca,0-100,Various substrates,Marine to estuarine,Yes,No,Hyalellidae are herbivorous talitroideans closely related to Hyalidae and Najnidae that live in coarse sand and rock-cobble areas and among aquatic plants. Size: 10 mm.,0.347215893,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Allorchestes bellabella,Chris Meyer,MeyerC@si.edu,*Beautiful allorchestes,Inventory,Amphipoda: Gammaridea,Allorchestes,bellabella,Hyalellidae,*Amphipoda,*Malacostraca,0-700,Various substrates,"Marine to estuarine, sometimes planktonic",Yes,Yes,Size: 13 mm.,0.829530511,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Allorchestes rickeri,Chris Meyer,MeyerC@si.edu,*Ricker's allorchestes,Inventory,Amphipoda: Gammaridea,Allorchestes,rickeri,Hyalellidae,*Amphipoda,*Malacostraca,0-100,Sand and rock beaches,Open coast and semiprotected sand and rock beaches,Yes,No,Size: 6 mm.,0.897361938,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Americhelidium micropleon,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Americhelidium,micropleon,Oedicerotidae,*Amphipoda,*Malacostraca,0-100,Open fine sand beaches,"""On open fine sand beaches, not reported north of Dillon Beach""",Yes,No,"""3.5 mm; intertidal.""",0.978453796,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Americhelidium pectinatum,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Americhelidium,pectinatum,Oedicerotidae,*Amphipoda,*Malacostraca,0-5000,Shallow sandy sediments,"""Shallow sandy sediments""",Yes,Yes,"""4 mm; intertidal—50 m.""",0.616330306,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Americhelidium rectipalmum,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Americhelidium,rectipalmum,Oedicerotidae,*Amphipoda,*Malacostraca,0-9000,Clean sand bottoms,"""Clean sand bottoms""",Yes,Yes,"""6 mm; intertidal—90 m.""",0.205222471,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Americhelidium shoemakeri,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Americhelidium,shoemakeri,Oedicerotidae,*Amphipoda,*Malacostraca,0-18000,Clean sand bottoms,"""Clean sand bottoms""",Yes,Yes,"""4.5 mm; intertidal—180 m.""",0.902160234,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
