Scientific.Name	row_ids	AphiaID	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	modified	bibliographicCitation	references	identifier	title	datasetID.y	Accepted_AphiaID	parent_AphiaID	speciesNOsubgenus	parent_NCBI	accepted_NCBI
AMPHINEMA	R00383;R10616	117178	urn:lsid:marinespecies.org:taxname:117178	urn:lsid:marinespecies.org:taxname:117178	urn:lsid:marinespecies.org:taxname:117178	urn:lsid:marinespecies.org:taxname:15029	Amphinema	Amphinema	Pandeidae	"Haeckel, E. (1879). Das System der Medusen. Erster Teil einer Monographie der Medusen. <em>Denkschriften der Medicinisch-Naturwissenschaftlichen Gesellschaft zu Jena.</em> 1: XX+1-360, 320 plates."	1879	Animalia	Cnidaria	Hydrozoa	Anthoathecata	Pandeidae	Amphinema	NA	NA	NA	Genus	"Haeckel, 1879"	accepted	2/4/24	"Schuchert, P. (2024). World Hydrozoa Database. Amphinema Haeckel, 1879. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=117178"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=117178	NCBI:txid367918	To Genbank	ncbi	117178	15029	NA	NCBI:txid27799	NCBI:txid367918
BULLA	R03854	137716	urn:lsid:marinespecies.org:taxname:137716	urn:lsid:marinespecies.org:taxname:137716	urn:lsid:marinespecies.org:taxname:137716	urn:lsid:marinespecies.org:taxname:9845	Bulla	Bulla	Bullidae	"Linnaeus, C. (1758). Systema Naturae per regna tria naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. <em>Editio decima, reformata [10th revised edition], vol. 1: 824 pp. Laurentius Salvius: Holmiae.</em> "	1758	Animalia	Mollusca	Gastropoda	Cephalaspidea	Bullidae	Bulla	NA	NA	NA	Genus	"Linnaeus, 1758"	accepted	7/11/16	"MolluscaBase eds. (2024). MolluscaBase. Bulla Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137716"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=137716	NCBI:txid114737	To Genbank	ncbi	137716	9845	NA	NCBI:txid114736	NCBI:txid114737
BYBLIS	R01009	101446	urn:lsid:marinespecies.org:taxname:101446	urn:lsid:marinespecies.org:taxname:101446	urn:lsid:marinespecies.org:taxname:101446	urn:lsid:marinespecies.org:taxname:101364	Byblis	Byblis	Ampeliscidae	"Boeck, A. (1871). Crustacea amphipoda borealia et arctica. <em>Forhandlinger i Videnskabs-Selskabet i Christiania.</em> 1870: 83-280."	1871	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Byblis	NA	NA	NA	Genus	"Boeck, 1871"	accepted	3/24/23	"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Byblis Boeck, 1871. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=101446"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101446	NCBI:txid317528	To Genbank	ncbi	101446	101364	NA	NCBI:txid317518	NCBI:txid317528
CHIRONOMUS	R04061	146802	urn:lsid:marinespecies.org:taxname:146802	urn:lsid:marinespecies.org:taxname:146802	urn:lsid:marinespecies.org:taxname:146802	urn:lsid:marinespecies.org:taxname:150882	Chironomus	Chironomus	Chironomini	NA	NA	Animalia	Arthropoda	Hexapoda	Diptera	Chironomidae	Chironomus	NA	NA	NA	Genus	"Meigen, 1803"	accepted	4/18/05	"WoRMS (2024). Chironomus Meigen, 1803. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=146802"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=146802	NCBI:txid7150	To Genbank	ncbi	146802	150882	NA	NCBI:txid72530	NCBI:txid7150
COLUS	R04174;R14697	137704	urn:lsid:marinespecies.org:taxname:137704	urn:lsid:marinespecies.org:taxname:137704	urn:lsid:marinespecies.org:taxname:137704	urn:lsid:marinespecies.org:taxname:1522115	Colus	Colus	Colidae	"Röding, P. F. (1798). Museum Boltenianum sive Catalogus cimeliorum e tribus regnis naturæ quæ olim collegerat Joa. Fried Bolten, M. D. p. d. per XL. annos proto physicus Hamburgensis. Pars secunda continens Conchylia sive Testacea univalvia, bivalvia & multivalvia. Trapp, Hamburg, viii + 199 pp."	1798	Animalia	Mollusca	Gastropoda	Neogastropoda	Colidae	Colus	NA	NA	NA	Genus	"Röding, 1798"	accepted	7/18/21	"MolluscaBase eds. (2024). MolluscaBase. Colus Röding, 1798. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137704"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=137704	NCBI:txid1421191	To Genbank	ncbi	137704	1522115	NA	NCBI:txid2899604	NCBI:txid1421191
CONUS	R04180	137813	urn:lsid:marinespecies.org:taxname:137813	urn:lsid:marinespecies.org:taxname:137813	urn:lsid:marinespecies.org:taxname:137813	urn:lsid:marinespecies.org:taxname:14107	Conus	Conus	Conidae	"Linnaeus, C. (1758). Systema Naturae per regna tria naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. <em>Editio decima, reformata [10th revised edition], vol. 1: 824 pp. Laurentius Salvius: Holmiae.</em> "	1758	Animalia	Mollusca	Gastropoda	Neogastropoda	Conidae	Conus	NA	NA	NA	Genus	"Linnaeus, 1758"	accepted	6/10/19	"MolluscaBase eds. (2024). MolluscaBase. Conus Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137813"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=137813	NCBI:txid6490	To GenBank (0 nucleotides; 7 proteins);To Genbank	ncbi	137813	14107	NA	NCBI:txid6489	NCBI:txid6490
CORELLA	R04189	103495	urn:lsid:marinespecies.org:taxname:103495	urn:lsid:marinespecies.org:taxname:103495	urn:lsid:marinespecies.org:taxname:103495	urn:lsid:marinespecies.org:taxname:103445	Corella	Corella	Corellidae	NA	NA	Animalia	Chordata	Ascidiacea	Phlebobranchia	Corellidae	Corella	NA	NA	NA	Genus	"Alder & Hancock, 1870"	accepted	12/5/07	"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Corella Alder & Hancock, 1870. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103495"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=103495	NCBI:txid111869	To Genbank	ncbi	103495	103445	NA	NCBI:txid71175	NCBI:txid111869
CORYNE	R04212;R10612	117067	urn:lsid:marinespecies.org:taxname:117067	urn:lsid:marinespecies.org:taxname:117067	urn:lsid:marinespecies.org:taxname:117067	urn:lsid:marinespecies.org:taxname:1599	Coryne	Coryne	Corynidae	"Gaertner, J. (1774). Zoophyta, quaedam minuta. <em>In: Pallas, P.S., Specilegia Zoologia. Berolini: G.A. Lange.</em> fasc. 10: 24-41."	1774	Animalia	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	Coryne	NA	NA	NA	Genus	"Gaertner, 1774"	accepted	11/6/20	"Schuchert, P. (2024). World Hydrozoa Database. Coryne Gaertner, 1774. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=117067"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=117067	NCBI:txid58816	To Genbank	ncbi	117067	1599	NA	NCBI:txid6077	NCBI:txid58816
CUSPIDARIA	R04264	137858	urn:lsid:marinespecies.org:taxname:137858	urn:lsid:marinespecies.org:taxname:137858	urn:lsid:marinespecies.org:taxname:137858	urn:lsid:marinespecies.org:taxname:1788	Cuspidaria	Cuspidaria	Cuspidariidae	Nardo G.D. (1840). Sopra un nuovo genere di conchiglie de mare Adriatico. <em>Annali delle Scienze del Regno Lombardo-Veneto.</em> 10: 49-51.	1840	Animalia	Mollusca	Bivalvia	NA	Cuspidariidae	Cuspidaria	NA	NA	NA	Genus	"Nardo, 1840"	accepted	6/13/15	"MolluscaBase eds. (2024). MolluscaBase. Cuspidaria Nardo, 1840. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137858"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=137858	NCBI:txid61329	To Genbank	ncbi	137858	1788	NA	NCBI:txid61328	NCBI:txid61329
DEMONAX	R04322	129526	urn:lsid:marinespecies.org:taxname:129526	urn:lsid:marinespecies.org:taxname:129526	urn:lsid:marinespecies.org:taxname:325958	urn:lsid:marinespecies.org:taxname:154917	Demonax	Parasabella	Sabellinae	"Kinberg, J.G.H. (1866 [or 1867]). Annulata nova. [Continuatio.]. <em>Öfversigt af Königlich Vetenskapsakademiens förhandlingar, Stockholm.</em> 23(9): 337-357."	1866 [or 1867]	Animalia	Annelida	Polychaeta	Sabellida	Sabellidae	Demonax	NA	NA	NA	Genus	"Kinberg, 1867"	unaccepted	3/17/24	"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Demonax Kinberg, 1867. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129526"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=129526	NA	To Genbank	ncbi	325958	154917	NA	NA	NCBI:txid1629332
