Scientific.Name	row_ids	AphiaID
ABARENICOLA VAGABUNDA VAGABUNDA	R16607	335762
ABRELIOPSIS FELIS	R18984	341849
ACMIRA HORIKOSHII	R03251	333035
ADULA FALCATA	R14203	
AGALOPHENIA LATIROSTRIS	R17875	284035
ALVANIA CRASSA	R03323	
AMMOIA BECCARII	R13685	112849
AMPELISCA CRISTATA CRISTATA	R00743	
AMPHICARYON GRACILIS	R00382	
ANAPAGURUS SERRIPES	R03464	
ANOPLOPOMA FIMBRIATUM	R09463	159463
APLOLEMIA LANOSA	R17794	738387
ARICIDEA LOPEZI ROSEA	R03616	
ASTEROLIBERTIA GIBBOSA	R03673	
ASTRAEA GIBBEROSA	R14838	581670
ASTROPECTEN IRREGULARIS TYPICUS	R03679	
ATEAEOLIDIELLA CHROMOSOMA	R14614	730438
BALCIS PHILIPPI	R03742	
BARTSCHELLA LAMINATA	R14433	
BASILIOCHITON HEATHII	R14840	
CALIDRIS VIRGATA	R17174	
CALUREPA	R18829	143816
CEPHALOSCYLLIUM VENTRIOSUM	R18366	277105
CERATOMYXA BLENNIUS	R17918	
CERATOSTOMA ERINACEUM	R04001	
CHAENOPHYNE MELANORHABDUS	R15066	272616
CHAMELEA GALLINA STRIATULA	R04034	
CHELONAPLYSILLA POLYRAPHIS	R13718	
CHTHAMALU DALLI	R13450	423276
CLATHROMANGELIA INTERFOSSA	R11670	
CLEVLANDIA IOS	R19118	280215
COROLLA PSEUDCONCH	R00451	
CORYCAEUS	R19184	128634
COSTAZIA ROBERTSONIAE	R17329	
COSTAZIA VENTRICOSA	R17330	
ARTEDIUS	R19066	268390
LEPTOCOTTUS	R19064	254344
CTENOCALANUS FURCATUS	R00207	
CULEOLUS BARRYI	R13543	
CYCLOGYRA LAJOLLAENSIS	R13679	
CYMAKRA GRACILIOR	R11704	
CYSTODES LOBATUS	R11026	250432
DEXIOSPIRA BRASILIENSIS	R16886	1376561
DEXIOSPIRA PAGENSTECHERI	R04345	131204
DIATHRODES CYSTOECUS	R15563	293126
DIGITARIA NUDA	R04373	
DIPOLYDORA BRACHYCEPHALA	R16989	
DISCANTHOMYSIS DYBOWSKII	R09005	226430
EDULIS	R11097	
EOCUMA LATA	R04525	181781
EPONIDES COLUMBIENSIS	R13687	
ERANNO CHILENSIS	R04543	
EUDISTOMA OCCIDENTALIS	R13553	
EUNICE SANGUINEA	R04637	
FLABELLINOPSIS TRILLINEATA	R12582	
FOLINIA CRASSA	R04729	
GALLOPROVINCIALIS	R11096	140481
GAMMAROPSIS OCIOSA	R03074	
HEMIPODUS	R09494	129298
GLYTOCEPHALUS ZACHIRUS	R13463	274287
GOLFINGIA MARGARITACEA CALIFORNIESIS	R13646	
GYMNOGYPS CALIFORNIANUS	R17119	
HALITOSIS RUFESCENS	R18144	445357
HEPTACYCLUS DIMINUTUS	R16590	
HEPTACYCLUS VIRIDUS	R16589	
HESPERATO	R01632	415465
HETEROKROHNIAIN VOLUCRUM	R09058	
HIMA MENDICA	R03082	
HIPPASTERIS LEPIDONOTUS	R17981	762391
HIPPASTERIS PHYRIGIANA	R17982	124043
HIPPASTERIS TIBURONI	R17983	762389
HIPPLOGLOSSINA STOMATA	R15274	275827
HIPPOPORINA INSCULPTA	R17361	
HIPPORINA MEXICANA	R10962	
HYDROBATES HOMOCHROA	R09901	
HYDROBATES MELANIA	R09903	
HYDROBATES MICROSOMA	R09904	
HYPERTEONE FAUCHALDI	R12671	333651
HYPOCRITICHTHYS ANALE	R15142	
KALLIAPSEUDES BAHANENSIS	R05121	
LAEVICARDIUM ROBUSTUM	R05163	
LAGEODELPHIS HOSEI	R14925	137099
LAGISCA FLOCCOSA PROPINQUA	R05168	
LEITOSCOLOPLOS ELONGATUS	R16922	
LEPTOCEPHALUS HOLTI	R07739	
LILLOPATHESS	R13472	267553
LIVONECA VULGARIS	R12760	295263
LOPHOGORGIA CHILENSIS	R10942;R11691;R18814	286222
LOTTIA MACCLEANI	R11684	
LOTTIA POLYFACIES	R11602	
MEGALOCERUS HUXLEYI	R13617	221117
MELANELLA BILINEATA	R05562	
MEMBRANIPORA FUSCA	R17371	
METRIDIA PSEUDOPACIFICA	R00244	
MICROPORELLOIDES CALIFORNICA	R17375	470040
MICROPORELLOIDES CATALINENSIS	R17376	470048
MITRELLA MISERA	R05656	
MONOSTYLIFEROIDEA	R02019	
MONUS BASSANUS	R00070	
MURICEA FARCIMEN	R10945	
MYOCHLAMYS EUPATAGONICA	R04072	
NASSARIUS TEGULA	R14569	
NEANTHES LIMNICOLA	R05801	
NEREIS ZONA	R12905	130407
NOTOPLANA INQUIETA	R13880	
OCEANODROMA LEUCORHOA CHAPMANI	R09310	
OCINEBRINA ATROPURPUREA	R12922	
OCINEBRINA CIRCUMTEXTA	R12924	463980
OCINEBRINA GRANDILURIDA	R12927	
OCINEBRINA MINOR	R12930	
OCINEBRINA MUNDA	R12931	
OCINEBRINA SUBANGULATA	R12932	1035601
OGCOCEPHALIOIDEI	R07807	
OIKOPLEURA GORSKY	R09150	266045
ONCAEA CONIFERA	R00251	149764
ONCHORHYNCHUS CLARKII CLARKII	R15301	
ORCHOMENE DICIPIENS	R03126	
PACIFICANTHOMYSIS NEPHROPHTHALMA	R00477	226746
PALEAQUOR HETEROSETA	R06095	421044
PARAMETAPHOXUS FULTONI	R05602	102985
PARASEBELLA FULLO	R13025	751791
PARVICARDIUM FASCIATUM	R06196	
PENTAMERA PSEUDO CALCIGERA	R09527	528843
PHALASCOPHORUS PICTUSBOREALIS	R09191	
PHEATHON RUBRICAUDA	R09362	212595
PHORONA	R03147	
PHORONIDA ACTINOTROCH	R09192	474105
PHYLLOCHAETOPERUS SOCIALIS	R13077	129920
PHYLO LIGUSTICA	R06323	130527
PIROMIS HARRISAE	R13092	
PLANKTONETTA	R00620	
PLEURONECTES BILINEATUS	R07379	305699
PODODESMUS PERNOIDES	R14287	
POMOCELLARIA CALIFORNICA	R17391	760308
PONTOPOREIA	R06466	101744
POTAMILLA OCCELATA	R11449	
PROBYTHINELLA LOUISIANAE	R06518	
PROCELLARIDAE	R00093	
PSEUDANTALIS RUBESCENS	R06572	
PSEUDOLITHODERMA NIGRA	R11497	
PTERODROMA PHAEOPYGIA SANDWICHENSIS	R09317	
QUIQUELOCULINA ANGULOSTRIATA	R13681	522970
RAGADRELLA	R13844	
RALLUS CREPITANS	R17246	
RATHBUNXIA OCCIDENTALIS	R16229	1424662
REGINELLA HIPPOCREPIS	R13190	
RETEPORA PACIFICA CATALINENSIS	R17403	
RETUSA ALBA	R06635	
RHAMPHCOTTUS RICHARDSONII	R19068	282578
RISSONIA	R14519	
SAGARTIA TROGLODYTES	R06687	100994
SCOLECITHRICELLA	R19174	104229
SCOLELEPIS CIRRATULUS	R06727	131179
SCOLOPLOS ARMIGER ARMIGER	R06739	
SEBASTES CROCOTULUS	R07910;R08411	
SEBASTOMUS	R09626	991848
SELACHIMORPHA	R00106	
SEMELIA	R06755	
SERTULARIA DISTANS	R06780	117914
SPATULA CYANOPTERA	R17157	
SPHAERONECTED TIBURONAE	R17850	430688
SPIRONTOCARIS AFFINIS	R16268	
STEGOSOMA MAGNA	R13619	103422
STENOGRAMME INTERRUPTA	R11524	145667
STREPTOCEPHALUS SEALLI	R13284	
STYLOCHUS CALIFORNIENSIS	R13889	
SYLLIS NIPPONICA	R06959	
TAPES AUREA	R06994	
TELLINA FABULOIDES	R07005	
TELLINA MERUS	R07009	
TETRONRACE CALIFORNICA	R13342	845703
TEUTHOIDEA	R09648	
THRACIA SUCIENSIS	R14081	
TONICIA ATRATA	R07088	386327
TRICERATONEMA MICROLOBATUM	R14037	
TRICHOTROPSIS CANCELLATA	R11414	580665
TRYPHOSINAE INCERTAE SEDIS ENTALLADURUS	R07191	875573
URILE PENICILLATUS	R10143;R13528	
VESICOMYA EXTENTA	R14344	
VESICOMYA KILMERI	R14346	
VESICOMYA LEPTA	R14342	
VESICOMYA PACKARDANA	R14347	
VESICOMYA STEARNSII	R14343	
