Scientific.Name	row_ids
22 DIVISION FISH EGG	R19223
ABLABESMYIA ANNULATA	R03205
ABLABESMYIA MALLOCHI	R03206
ABLABESMYIA MONILIS	R03207
ACANTHARIAN	R00612
ACCEDOMOERA MELANOPHTHALMA	R15717
ADULA FALCATA	R14203
AGGREGATING JELLY	R17745
ALVANIA CRASSA	R03323
AMPELISCA CRISTATA CRISTATA	R00743
AMPHICARYON GRACILIS	R00382
ANAPAGURUS SERRIPES	R03464
ANSERIFORM	R00022
ANTHUS RUBESCENS	R17247
ARICIDEA LOPEZI ROSEA	R03616
ASTEROLIBERTIA GIBBOSA	R03673
ASTROPECTEN IRREGULARIS TYPICUS	R03679
AXARUS	R03729
BALCIS PHILIPPI	R03742
BARTSCHELLA LAMINATA	R14433
BASILIOCHITON HEATHII	R14840
BIG ONCAEA	R18950
BLUE GREEN ALGAE	R11101
BORINGCLAM	R11346
CALIDRIS VIRGATA	R17174
CALLIBAETIS	R01035
CERATOMYXA BLENNIUS	R17918
CERATOSTOMA ERINACEUM	R04001
CHAMELEA GALLINA STRIATULA	R04034
CHAOBORUS	R04036
CHAOBORUS ALBATUS	R04037
CHAOBORUS PUNCTIPENNIS	R04038
CHELONAPLYSILLA POLYRAPHIS	R13718
CHIRONOMUS ANTHRACINUS	R04062
CHIRONOMUS CRASSICAUDATUS	R04064
CHIRONOMUS TENTANS	R04067
CHIRONOMUS VIRIDULUS	R04068
CLADOTANYTARSUS MANCUS	R04135
CLAM	R18335
CLATHROMANGELIA INTERFOSSA	R11670
CLINOTANYPUS PINGUIS	R04144
CNIDARIAN MEDUSAE	R08979
COELOTANYPUS	R04170
COLONIAL DIATOM	R11102
CONICERA TIBIALIS	R12401
CORALLINE ALGAE -CRUSTOSE	R18353
COROLLA PSEUDCONCH	R00451
COSTAZIA ROBERTSONIAE	R17329
COSTAZIA VENTRICOSA	R17330
CRABS	R19201
CRUSTOSE CORALLINES	R11130
CRYPTOCHIRONOMUS FULVUS	R04245
CTENOCALANUS FURCATUS	R00207
CULEOLUS BARRYI	R13543
CUP CORAL	R18364
CYCLOGYRA LAJOLLAENSIS	R13679
CYCLONEDA SANGUINEA	R12446
CYMAKRA GRACILIOR	R11704
DIATOM LAYER	R18638
DIATOMS	R11103
DICROTENDIPES NEOMODESTUS	R04370
DIGITARIA NUDA	R04373
DIPOLYDORA BRACHYCEPHALA	R16989
EDULIS	R11097
ENDOCHIRONOMUS	R04507
EPHORON VIRGO	R04529
EPONIDES COLUMBIENSIS	R13687
ERANNO CHILENSIS	R04543
EUCALANUS NEW SPECIES	R19165
EUDISTOMA OCCIDENTALIS	R13553
EUNICE SANGUINEA	R04637
FLABELLINOPSIS TRILLINEATA	R12582
FOLINIA CRASSA	R04729
GAMMAROPSIS OCIOSA	R03074
GENUS	R01515
GOLFINGIA MARGARITACEA CALIFORNIESIS	R13646
GORGONIAN ADULT	R18417
GYMNOGYPS CALIFORNIANUS	R17119
HARNISCHIA	R04933
HEPTACYCLUS DIMINUTUS	R16590
HEPTACYCLUS VIRIDUS	R16589
HETEROKROHNIAIN VOLUCRUM	R09058
HIMA MENDICA	R03082
HINEOMYIA	R03083
HIPPOPORINA INSCULPTA	R17361
HIPPORINA MEXICANA	R10962
HYDROBATES HOMOCHROA	R09901
HYDROBATES MELANIA	R09903
HYDROBATES MICROSOMA	R09904
HYDROID	R18451
HYDROMEDUSAE	R09069
HYPOCRITICHTHYS ANALE	R15142
INVERTEBRATA	R08418
KALLIAPSEUDES BAHANENSIS	R05121
LAEVICARDIUM ROBUSTUM	R05163
LAGISCA FLOCCOSA PROPINQUA	R05168
LEITOSCOLOPLOS ELONGATUS	R16922
LEPTOCEPHALUS HOLTI	R07739
LOTTIA MACCLEANI	R11684
LOTTIA POLYFACIES	R11602
MEGASELIA NIGRA	R12811
MEGASELIA SULPHURIZONA	R12813
