Scientific.Name	row_ids	AphiaID	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	modified	bibliographicCitation	references	license	rightsHolder	datasetName	institutionCode	datasetID.x	identifier	title	format	datasetID.y	subject	Accepted_AphiaID	parent_AphiaID	speciesNOsubgenus	parent_NCBI	accepted_NCBI
ABARENICOLA	R03201	129205	urn:lsid:marinespecies.org:taxname:129205	urn:lsid:marinespecies.org:taxname:129205	urn:lsid:marinespecies.org:taxname:129205	urn:lsid:marinespecies.org:taxname:922	NA	Abarenicola	Abarenicola	Arenicolidae	Wells, G. P. (1959). The genera of Arenicolidae (Polychaeta). <em>Proceedings of the Zoological Society of London.</em> 133(2): 301-314.	1959	Animalia	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	NA	NA	NA	Genus	Wells, 1959	ICZN	accepted	NA	2008-03-26	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Abarenicola Wells, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129205	https://www.marinespecies.org/aphia.php?p=taxdetails&id=129205	NA	NA	NA	NA	NA	NCBI:txid273050	To Genbank	NA	ncbi	NA	129205	922	NA	NCBI:txid42115	NCBI:txid273050
ABARENICOLA CLAPAREDI	R03202;R16892	332877	urn:lsid:marinespecies.org:taxname:332877	urn:lsid:marinespecies.org:taxname:332877	urn:lsid:marinespecies.org:taxname:332877	urn:lsid:marinespecies.org:taxname:129205	NA	Abarenicola claparedi	Abarenicola claparedi	Abarenicola	NA	NA	Animalia	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	NA	claparedi	NA	Species	(Levinsen, 1884)	ICZN	accepted	NA	2011-02-22	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Abarenicola claparedi (Levinsen, 1884). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=332877	https://www.marinespecies.org/aphia.php?p=taxdetails&id=332877	NA	NA	NA	NA	NA	NCBI:txid273051	To GenBank (3 nucleotides; 0 proteins)	NA	ncbi	NA	332877	129205	Abarenicola claparedi	NCBI:txid273050	NCBI:txid273051
ABARENICOLA CLAPAREDI OCEANICA	R16606	335763	urn:lsid:marinespecies.org:taxname:335763	urn:lsid:marinespecies.org:taxname:335763	urn:lsid:marinespecies.org:taxname:335763	urn:lsid:marinespecies.org:taxname:332877	NA	Abarenicola claparedi oceanica	Abarenicola claparedi oceanica	Abarenicola claparedi	NA	NA	Animalia	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	NA	claparedi	oceanica	Subspecies	(Healy & Wells, 1959)	ICZN	accepted	NA	2011-02-22	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Abarenicola claparedi oceanica (Healy & Wells, 1959). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=335763	https://www.marinespecies.org/aphia.php?p=taxdetails&id=335763	NA	NA	NA	NA	NA	NCBI:txid2936611	To GenBank (1 nucleotides; 13 proteins)	NA	ncbi	NA	335763	332877	Abarenicola claparedi oceanica	NCBI:txid273051	NCBI:txid2936611
ABARENICOLA CLAPAREDI VAGABUNDA	R16605	335762	urn:lsid:marinespecies.org:taxname:335762	urn:lsid:marinespecies.org:taxname:335762	urn:lsid:marinespecies.org:taxname:335762	urn:lsid:marinespecies.org:taxname:332877	NA	Abarenicola claparedi vagabunda	Abarenicola claparedi vagabunda	Abarenicola claparedi	NA	NA	Animalia	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	NA	claparedi	vagabunda	Subspecies	Healy & Wells, 1959	ICZN	accepted	NA	2008-03-26	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Abarenicola claparedi vagabunda Healy & Wells, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=335762	https://www.marinespecies.org/aphia.php?p=taxdetails&id=335762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	335762	332877	Abarenicola claparedi vagabunda	NCBI:txid273051	NA
ABARENICOLA PACIFICA	R10151;R16604	326192	urn:lsid:marinespecies.org:taxname:326192	urn:lsid:marinespecies.org:taxname:326192	urn:lsid:marinespecies.org:taxname:326192	urn:lsid:marinespecies.org:taxname:129205	NA	Abarenicola pacifica	Abarenicola pacifica	Abarenicola	Healy, E. A.; Wells, G. P. (1959). Three new lugworms (Arenicolidae, Polychaeta) from the north Pacific area. <em>Proceedings of the Zoological Society of London.</em> 133(2): 315-355.	1959	Animalia	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	NA	pacifica	NA	Species	Healy & Wells, 1959	ICZN	accepted	NA	2008-03-26	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Abarenicola pacifica Healy & Wells, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=326192	https://www.marinespecies.org/aphia.php?p=taxdetails&id=326192	NA	NA	NA	NA	NA	NCBI:txid273052	To GenBank (9 nucleotides; 19 proteins)	NA	ncbi	NA	326192	129205	Abarenicola pacifica	NCBI:txid273050	NCBI:txid273052
ABARENICOLA VAGABUNDA VAGABUNDA	R16607	335762	urn:lsid:marinespecies.org:taxname:335762	urn:lsid:marinespecies.org:taxname:335762	urn:lsid:marinespecies.org:taxname:335762	urn:lsid:marinespecies.org:taxname:332877	NA	Abarenicola claparedi vagabunda	Abarenicola claparedi vagabunda	Abarenicola claparedi	NA	NA	Animalia	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	NA	claparedi	vagabunda	Subspecies	Healy & Wells, 1959	ICZN	accepted	NA	2008-03-26	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Abarenicola claparedi vagabunda Healy & Wells, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=335762	https://www.marinespecies.org/aphia.php?p=taxdetails&id=335762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	335762	332877	Abarenicola claparedi vagabunda	NCBI:txid273051	NA
ABERRANTA	R00642	298124	urn:lsid:marinespecies.org:taxname:298124	urn:lsid:marinespecies.org:taxname:298124	urn:lsid:marinespecies.org:taxname:298124	urn:lsid:marinespecies.org:taxname:233984	NA	Aberranta	Aberranta	Aberrantidae	Hartman, O. (1965). Deep-water benthic polychaetous annelids off New England to Bermuda and other North Atlantic areas. <em>Occasional Papers of the Allan Hancock Foundation.</em> 28: 1-384.	1965	Animalia	Annelida	Polychaeta	NA	Aberrantidae	Aberranta	NA	NA	NA	Genus	Hartman, 1965	ICZN	accepted	NA	2023-03-29	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Aberranta Hartman, 1965. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=298124	https://www.marinespecies.org/aphia.php?p=taxdetails&id=298124	NA	NA	NA	NA	NA	NCBI:txid317910	To Genbank	NA	ncbi	NA	298124	233984	NA	NCBI:txid317909	NCBI:txid317910
ABIETINARIA	R03203;R10347;R10986;R11092	117225	urn:lsid:marinespecies.org:taxname:117225	urn:lsid:marinespecies.org:taxname:117225	urn:lsid:marinespecies.org:taxname:117225	urn:lsid:marinespecies.org:taxname:1614	NA	Abietinaria	Abietinaria	Sertulariidae	Kirchenpauer, G.H. (1884). Nordische Gattungen und Arten von Sertulariden. <em>Abhandlungen und Verhandlungen Hamburg.</em> VIII pp. 1-54.	1884	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	NA	NA	NA	Genus	Kirchenpauer, 1884	ICZN	accepted	NA	2015-10-19	Schuchert, P. (2024). World Hydrozoa Database. Abietinaria Kirchenpauer, 1884. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=117225	https://www.marinespecies.org/aphia.php?p=taxdetails&id=117225	NA	NA	NA	NA	NA	NCBI:txid308598	To Genbank	NA	ncbi	NA	117225	1614	NA	NCBI:txid86619	NCBI:txid308598
ABIETINARIA ABIETINA	R17713	117870	urn:lsid:marinespecies.org:taxname:117870	urn:lsid:marinespecies.org:taxname:117870	urn:lsid:marinespecies.org:taxname:117870	urn:lsid:marinespecies.org:taxname:117225	NA	Abietinaria abietina	Abietinaria abietina	Abietinaria	NA	NA	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	NA	abietina	NA	Species	(Linnaeus, 1758)	ICZN	accepted	NA	2004-12-21	Schuchert, P. (2024). World Hydrozoa Database. Abietinaria abietina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=117870	https://www.marinespecies.org/aphia.php?p=taxdetails&id=117870	NA	NA	NA	NA	NA	NCBI:txid308599	To GenBank (5 nucleotides; 1 proteins)	NA	ncbi	NA	117870	117225	Abietinaria abietina	NCBI:txid308598	NCBI:txid308599
ABIETINARIA ANGUINA	R17714	285354	urn:lsid:marinespecies.org:taxname:285354	urn:lsid:marinespecies.org:taxname:285354	urn:lsid:marinespecies.org:taxname:285354	urn:lsid:marinespecies.org:taxname:117225	NA	Abietinaria anguina	Abietinaria anguina	Abietinaria	NA	NA	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	NA	anguina	NA	Species	(Trask, 1857)	ICZN	accepted	NA	2010-06-25	Schuchert, P. (2024). World Hydrozoa Database. Abietinaria anguina (Trask, 1857). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=285354	https://www.marinespecies.org/aphia.php?p=taxdetails&id=285354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	285354	117225	Abietinaria anguina	NCBI:txid308598	NA
