phylum	count_non_na_circular_complete_verified_subTreeHits	count_non_na_circular_complete_unverified_subTreeHits	count_non_na_linear_complete_verified_subTreeHits	count_non_na_linear_complete_unverified_subTreeHits	count_non_na_circular_claimComplete_verified_subTreeHits	count_non_na_circular_noClaim_verified_subTreeHits	count_non_na_circular_noClaim_unverified_subTreeHits	count_non_na_linear_claimComplete_verified_subTreeHits	count_non_na_linear_noClaim_verified_subTreeHits	count_non_na_linear_noClaim_unverified_subTreeHits
Acanthocephala	0	0	0	0	0	0	0	0	0	0
Annelida	132	0	1	0	0	2	1	0	50	80
Arthropoda	156	1	2	1	2	0	0	2	52	42
Ascomycota	0	0	0	0	0	0	0	0	0	0
Bigyra	0	0	0	0	0	0	0	0	0	0
Brachiopoda	6	0	0	0	0	1	0	0	2	0
Bryozoa	10	0	0	0	0	0	0	0	11	57
Cercozoa	0	0	0	0	0	0	0	0	0	0
Chaetognatha	4	0	0	0	1	0	0	0	3	2
Chlorophyta	9	1	0	0	0	2	0	0	2	2
Chordata	546	5	11	0	64	31	1	35	226	49
Cnidaria	54	0	24	0	1	2	0	0	43	7
Ctenophora	5	0	0	0	0	0	0	0	0	0
Dicyemida	0	0	0	0	0	0	0	0	0	0
Echinodermata	53	0	0	0	6	11	0	0	13	6
Entoprocta	1	0	0	0	1	0	0	0	0	0
Foraminifera	0	0	0	0	0	0	0	0	0	0
Gastrotricha	0	0	0	0	0	0	0	0	0	0
Hemichordata	5	0	0	0	1	1	0	0	2	0
Heterokontophyta	1	0	0	0	0	0	0	0	0	0
Loricifera	0	0	0	0	0	0	0	0	0	0
Mollusca	223	5	1	0	7	1	1	3	111	79
Myzozoa	0	0	0	0	0	0	0	0	0	0
Nematoda	0	0	0	0	0	0	0	0	0	0
Nemertea	18	0	0	0	0	0	0	0	3	1
Ochrophyta	42	0	0	0	0	2	0	0	3	2
Orthonectida	0	0	0	0	0	0	0	0	0	1
Phoronida	3	0	0	0	0	0	0	0	3	0
Platyhelminthes	1	0	0	0	0	0	0	0	0	1
Pogonophora	0	0	0	0	0	0	0	0	0	0
Porifera	8	0	0	0	0	0	0	0	7	7
Priapulida	2	0	2	0	0	0	0	0	2	0
Radiozoa	0	0	0	0	0	0	0	0	0	0
Rhodophyta	38	0	1	0	0	0	0	1	1	1
Sarcomastigophora	0	0	0	0	0	0	0	0	0	0
Tardigrada	0	0	0	0	0	0	0	0	0	0
Tracheophyta	3	0	0	0	0	0	0	0	2	0
Xenacoelomorpha	1	0	0	0	0	0	0	0	1	0
NA	10	0	0	0	0	0	0	0	4	1
