phylum	count_non_na_high_potential_sra_subTreeHits	count_non_na_other_potential_sra_subTreeHits
Acanthocephala	0	0
Annelida	125	41
Arthropoda	126	44
Ascomycota	0	0
Bigyra	0	0
Brachiopoda	2	2
Bryozoa	16	12
Cercozoa	0	0
Chaetognatha	0	0
Chlorophyta	11	2
Chordata	605	203
Cnidaria	110	26
Ctenophora	4	4
Dicyemida	0	0
Echinodermata	65	36
Entoprocta	0	0
Foraminifera	0	0
Gastrotricha	0	0
Hemichordata	1	2
Heterokontophyta	1	1
Loricifera	0	0
Mollusca	224	113
Myzozoa	2	1
Nematoda	0	0
Nemertea	10	4
Ochrophyta	38	17
Orthonectida	0	0
Phoronida	3	0
Platyhelminthes	2	0
Pogonophora	0	0
Porifera	8	9
Priapulida	2	2
Radiozoa	0	0
Rhodophyta	27	2
Sarcomastigophora	0	0
Tardigrada	0	0
Tracheophyta	4	4
Xenacoelomorpha	1	0
NA	7	6
