Scientific.Name	row_ids	AphiaID	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	modified	bibliographicCitation	references	identifier	title	datasetID.y	Accepted_AphiaID	parent_AphiaID	speciesNOsubgenus	parent_NCBI	accepted_NCBI	subtree_identifier_taxIDs	subtree_accepted_taxIDs	linear_noClaim_verified_directHits	circular_complete_verified_directHits	linear_noClaim_unverified_directHits	linear_complete_verified_directHits	circular_noClaim_unverified_directHits	circular_noClaim_verified_directHits	circular_claimComplete_verified_directHits	linear_claimComplete_verified_directHits	circular_complete_unverified_directHits	linear_complete_unverified_directHits	linear_noClaim_verified_subTreeHits	circular_complete_verified_subTreeHits	linear_noClaim_unverified_subTreeHits	linear_complete_verified_subTreeHits	circular_noClaim_unverified_subTreeHits	circular_noClaim_verified_subTreeHits	circular_claimComplete_verified_subTreeHits	linear_claimComplete_verified_subTreeHits	circular_complete_unverified_subTreeHits	linear_complete_unverified_subTreeHits	high_potential_sra_directHits	high_potential_sra_subTreeHits	other_potential_sra_directHits	other_potential_sra_subTreeHits	NCBI_identifier_kingdom	NCBI_identifier_phylum	NCBI_identifier_class	NCBI_identifier_order	NCBI_identifier_family	NCBI_identifier_genus	NCBI_identifier_species	NCBI_accepted_kingdom	NCBI_accepted_phylum	NCBI_accepted_class	NCBI_accepted_order	NCBI_accepted_family	NCBI_accepted_genus	NCBI_accepted_species
ABARENICOLA CLAPAREDI OCEANICA	R16606	335763	urn:lsid:marinespecies.org:taxname:335763	urn:lsid:marinespecies.org:taxname:335763	urn:lsid:marinespecies.org:taxname:335763	urn:lsid:marinespecies.org:taxname:332877	Abarenicola claparedi oceanica	Abarenicola claparedi oceanica	Abarenicola claparedi	NA	NA	Animalia	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	NA	claparedi	oceanica	Subspecies	(Healy & Wells, 1959)	accepted	2011-02-22	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Abarenicola claparedi oceanica (Healy & Wells, 1959). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=335763	https://www.marinespecies.org/aphia.php?p=taxdetails&id=335763	NCBI:txid2936611	To GenBank (1 nucleotides; 13 proteins)	ncbi	335763	332877	Abarenicola claparedi oceanica	NCBI:txid273051	NCBI:txid2936611	NCBI:txid2936611	NCBI:txid2936611	NA	1___15524-15524___LC707921.1___Abarenicola claparedi oceanica (NCBI:txid2936611)	NA	NA	NA	NA	NA	NA	NA	NA	NA	1___15524-15524___LC707921.1___Abarenicola claparedi oceanica (NCBI:txid2936611)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DRR361353	DRR361353	Eukaryota	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	Abarenicola claparedi	Eukaryota	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	Abarenicola claparedi
ABARENICOLA CLAPAREDI VAGABUNDA	R16605	335762	urn:lsid:marinespecies.org:taxname:335762	urn:lsid:marinespecies.org:taxname:335762	urn:lsid:marinespecies.org:taxname:335762	urn:lsid:marinespecies.org:taxname:332877	Abarenicola claparedi vagabunda	Abarenicola claparedi vagabunda	Abarenicola claparedi	NA	NA	Animalia	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	NA	claparedi	vagabunda	Subspecies	Healy & Wells, 1959	accepted	2008-03-26	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Abarenicola claparedi vagabunda Healy & Wells, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=335762	https://www.marinespecies.org/aphia.php?p=taxdetails&id=335762	NA	NA	NA	335762	332877	Abarenicola claparedi vagabunda	NCBI:txid273051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABARENICOLA VAGABUNDA VAGABUNDA	R16607	335762	urn:lsid:marinespecies.org:taxname:335762	urn:lsid:marinespecies.org:taxname:335762	urn:lsid:marinespecies.org:taxname:335762	urn:lsid:marinespecies.org:taxname:332877	Abarenicola claparedi vagabunda	Abarenicola claparedi vagabunda	Abarenicola claparedi	NA	NA	Animalia	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	NA	claparedi	vagabunda	Subspecies	Healy & Wells, 1959	accepted	2008-03-26	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Abarenicola claparedi vagabunda Healy & Wells, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=335762	https://www.marinespecies.org/aphia.php?p=taxdetails&id=335762	NA	NA	NA	335762	332877	Abarenicola claparedi vagabunda	NCBI:txid273051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARCTOCEPHALUS PHILIPPII TOWNSENDI	R14908	477319	urn:lsid:marinespecies.org:taxname:477319	urn:lsid:marinespecies.org:taxname:477319	urn:lsid:marinespecies.org:taxname:477319	urn:lsid:marinespecies.org:taxname:255006	Arctocephalus philippii townsendi	Arctocephalus philippii townsendi	Arctocephalus philippii	NA	NA	Animalia	Chordata	Mammalia	Carnivora	Otariidae	Arctocephalus	NA	philippii	townsendi	Subspecies	(Merriam, 1897)	accepted	2010-05-20	WoRMS (2024). Arctocephalus philippii townsendi (Merriam, 1897). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=477319	https://www.marinespecies.org/aphia.php?p=taxdetails&id=477319	NA	NA	NA	477319	255006	Arctocephalus philippii townsendi	NCBI:txid161927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARICIDEA CAPENSIS BANSEI	R03610	146430	urn:lsid:marinespecies.org:taxname:146430	urn:lsid:marinespecies.org:taxname:146430	urn:lsid:marinespecies.org:taxname:1743618	urn:lsid:marinespecies.org:taxname:130553	Aricidea capensis bansei	Aricidea (Aricidea) bansei	Aricidea capensis	Laubier, Lucien; Ramos, Jeanete. (1974 [cf. issue date 1973]). Paraonidae (Polychètes sédentaires) de Méditerranée. <em>Bulletin du Muséum d'Histoire Naturelle, Paris, 3e Série.</em> 168(Zoologie 113): 1097-1148.	1974 [cf. issue date 1973]	Animalia	Annelida	Polychaeta	NA	Paraonidae	Aricidea	NA	capensis	bansei	Subspecies	Laubier & Ramos, 1974	unaccepted	2024-03-18	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Aricidea capensis bansei Laubier & Ramos, 1974. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=146430	https://www.marinespecies.org/aphia.php?p=taxdetails&id=146430	NCBI:txid2291599	To GenBank (3 nucleotides; 1 proteins)	ncbi	1743618	130553	Aricidea capensis bansei	NCBI:txid2291598	NA	NCBI:txid2291599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eukaryota	Annelida	Polychaeta	NA	Paraonidae	Aricidea	Aricidea capensis	NA	NA	NA	NA	NA	NA	NA
ARICIDEA SUECICA MERIDIONALIS	R03624	130573	urn:lsid:marinespecies.org:taxname:130573	urn:lsid:marinespecies.org:taxname:130573	urn:lsid:marinespecies.org:taxname:1743617	urn:lsid:marinespecies.org:taxname:130572	Aricidea suecica meridionalis	Aricidea (Acmira) meridionalis	Aricidea suecica	Laubier, Lucien; Ramos, Jeanete. (1974 [cf. issue date 1973]). Paraonidae (Polychètes sédentaires) de Méditerranée. <em>Bulletin du Muséum d'Histoire Naturelle, Paris, 3e Série.</em> 168(Zoologie 113): 1097-1148.	1974 [cf. issue date 1973]	Animalia	Annelida	Polychaeta	NA	Paraonidae	Aricidea	NA	suecica	meridionalis	Subspecies	Laubier & Ramos, 1974	unaccepted	2024-03-18	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Aricidea suecica meridionalis Laubier & Ramos, 1974. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=130573	https://www.marinespecies.org/aphia.php?p=taxdetails&id=130573	NCBI:txid2291369	To GenBank (2 nucleotides; 1 proteins)	ncbi	1743617	130572	Aricidea suecica meridionalis	NCBI:txid2291368	NA	NCBI:txid2291369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eukaryota	Annelida	Polychaeta	NA	Paraonidae	Aricidea	Aricidea suecica	NA	NA	NA	NA	NA	NA	NA
ASTROPECTEN IRREGULARIS PENTACANTHUS	R03678	125200	urn:lsid:marinespecies.org:taxname:125200	urn:lsid:marinespecies.org:taxname:125200	urn:lsid:marinespecies.org:taxname:125200	urn:lsid:marinespecies.org:taxname:123867	Astropecten irregularis pentacanthus	Astropecten irregularis pentacanthus	Astropecten irregularis	NA	NA	Animalia	Echinodermata	Asteroidea	Paxillosida	Astropectinidae	Astropecten	NA	irregularis	pentacanthus	Subspecies	(Delle Chiaje, 1827)	accepted	2009-01-30	Mah, C.L. (2024). World Asteroidea Database. Astropecten irregularis pentacanthus (Delle Chiaje, 1827). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125200	https://www.marinespecies.org/aphia.php?p=taxdetails&id=125200	NA	NA	NA	125200	123867	Astropecten irregularis pentacanthus	NCBI:txid55651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRANCHIOSTOMA BELCHERI TSINGTAUENSE	R03829	224126	urn:lsid:marinespecies.org:taxname:224126	urn:lsid:marinespecies.org:taxname:224126	urn:lsid:marinespecies.org:taxname:730523	urn:lsid:marinespecies.org:taxname:214516	Branchiostoma belcheri tsingtauense	Branchiostoma japonicum	Branchiostoma belcheri	NA	NA	Animalia	Chordata	Leptocardii	NA	Branchiostomatidae	Branchiostoma	NA	belcheri	tsingtauense	Subspecies	Tchang-Shi & Koo, 1936	unaccepted	2015-08-20	WoRMS (2024). Branchiostoma belcheri tsingtauense Tchang-Shi & Koo, 1936. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=224126	https://www.marinespecies.org/aphia.php?p=taxdetails&id=224126	NCBI:txid155462	To GenBank (377 nucleotides; 286 proteins)	ncbi	730523	214516	Branchiostoma belcheri tsingtauense	NCBI:txid7741	NCBI:txid373177	NCBI:txid155462	NCBI:txid373177	NA	2___15075-15075___NC_008069.1;DQ407722.1___Branchiostoma japonicum (NCBI:txid373177)	NA	NA	NA	NA	NA	NA	NA	NA	NA	2___15075-15075___NC_008069.1;DQ407722.1___Branchiostoma japonicum (NCBI:txid373177)	NA	NA	NA	NA	NA	NA	NA	NA	SRR12007918;SRR12010169;SRR12010159;SRR12010158;SRR12010157;SRR12010155;SRR12010154;SRR12010153;SRR12010152;SRR12010151;SRR12010150;SRR12010149;SRR12010168;SRR12010148;SRR12010166;SRR12010165;SRR12010164;SRR12010163;SRR12010162;SRR12010161;SRR12010160;SRR12010180;SRR12010170;SRR12010179;SRR12010177;SRR12010176;SRR12010175;SRR12010174;SRR12010173;SRR12010172;SRR12010171;SRR12010134;SRR12010178;SRR12010167;SRR12010156;SRR12010145;SRR12010282;SRR12010205;SRR12010204;SRR12010260;SRR12010203;SRR12010202;SRR12010249;SRR12010201;SRR12010199;SRR12010271;SRR12010238;SRR12010227;SRR12010198;SRR12010197;SRR12010216;SRR12010196;SRR12010214;SRR12010213;SRR12010195;SRR12010212;SRR12010210;SRR12010194;SRR12010209;SRR12010193;SRR12010192;SRR12010191;SRR12010190;SRR12010188;SRR12010187;SRR12010208;SRR12010186;SRR12010185;SRR12010207;SRR12010184;SRR12010183;SRR12010206;SRR12010182;SRR12010181;SRR12010284;SRR12010283;SRR12010211;SRR12010200;SRR12010189;DRR142761;DRR142759;DRR142757;DRR142758;DRR142756	SRR12007918;SRR12010169;SRR12010159;SRR12010158;SRR12010157;SRR12010155;SRR12010154;SRR12010153;SRR12010152;SRR12010151;SRR12010150;SRR12010149;SRR12010168;SRR12010148;SRR12010166;SRR12010165;SRR12010164;SRR12010163;SRR12010162;SRR12010161;SRR12010160;SRR12010180;SRR12010170;SRR12010179;SRR12010177;SRR12010176;SRR12010175;SRR12010174;SRR12010173;SRR12010172;SRR12010171;SRR12010134;SRR12010178;SRR12010167;SRR12010156;SRR12010145;SRR12010282;SRR12010205;SRR12010204;SRR12010260;SRR12010203;SRR12010202;SRR12010249;SRR12010201;SRR12010199;SRR12010271;SRR12010238;SRR12010227;SRR12010198;SRR12010197;SRR12010216;SRR12010196;SRR12010214;SRR12010213;SRR12010195;SRR12010212;SRR12010210;SRR12010194;SRR12010209;SRR12010193;SRR12010192;SRR12010191;SRR12010190;SRR12010188;SRR12010187;SRR12010208;SRR12010186;SRR12010185;SRR12010207;SRR12010184;SRR12010183;SRR12010206;SRR12010182;SRR12010181;SRR12010284;SRR12010283;SRR12010211;SRR12010200;SRR12010189;DRR142761;DRR142759;DRR142757;DRR142758;DRR142756	NA	NA	Eukaryota	Chordata	Leptocardii	Amphioxiformes	Branchiostomatidae	Branchiostoma	Branchiostoma belcheri	Eukaryota	Chordata	Leptocardii	Amphioxiformes	Branchiostomatidae	Branchiostoma	Branchiostoma japonicum
CATABLEMA VESICARIUM NODULOSUM	R17678	1245272	urn:lsid:marinespecies.org:taxname:1245272	urn:lsid:marinespecies.org:taxname:1245272	urn:lsid:marinespecies.org:taxname:1245272	urn:lsid:marinespecies.org:taxname:117784	Catablema vesicarium nodulosum	Catablema vesicarium nodulosum	Catablema vesicarium	NA	NA	Animalia	Cnidaria	Hydrozoa	Anthoathecata	Pandeidae	Catablema	NA	vesicarium	nodulosum	Subspecies	Bigelow, 1913	accepted	2018-04-06	Schuchert, P. (2024). World Hydrozoa Database. Catablema vesicarium nodulosum Bigelow, 1913. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1245272	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1245272	NCBI:txid2176022	To GenBank (7 nucleotides; 2 proteins)	ncbi	1245272	117784	Catablema vesicarium nodulosum	NCBI:txid1732519	NCBI:txid2176022	NCBI:txid2176022	NCBI:txid2176022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Pandeidae	Catablema	Catablema vesicarium	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Pandeidae	Catablema	Catablema vesicarium
CAVOLINIA GIBBOSA FLAVA	R18225	606281	urn:lsid:marinespecies.org:taxname:606281	urn:lsid:marinespecies.org:taxname:606281	urn:lsid:marinespecies.org:taxname:606281	urn:lsid:marinespecies.org:taxname:139028	Cavolinia gibbosa flava	Cavolinia gibbosa flava	Cavolinia gibbosa	NA	NA	Animalia	Mollusca	Gastropoda	Pteropoda	Cavoliniidae	Cavolinia	NA	gibbosa	flava	Subspecies	(A. d'Orbigny, 1835)	accepted	2019-03-01	MolluscaBase eds. (2024). MolluscaBase. Cavolinia gibbosa flava (A. d'Orbigny, 1835). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=606281	https://www.marinespecies.org/aphia.php?p=taxdetails&id=606281	NCBI:txid1323118	To GenBank (2 nucleotides; 1 proteins)	ncbi	606281	139028	Cavolinia gibbosa flava	NCBI:txid649049	NCBI:txid1323118	NCBI:txid1323118	NCBI:txid1323118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eukaryota	Mollusca	Gastropoda	Pteropoda	Cavoliniidae	Cavolinia	Cavolinia gibbosa	Eukaryota	Mollusca	Gastropoda	Pteropoda	Cavoliniidae	Cavolinia	Cavolinia gibbosa
