	Dataset	level	iteration	Method	Parameters	match_ratio	overclassification_ratio	underclassification_ratio	misclassification_ratio	mismatch_level_list	Precision	Recall	F-measure
0	CRABS_ecoPCR	6	0	naive-bayes	0.001:[7,7]	0.18181818181818182	0.5269645608628659	0.162557781201849	0.12865947611710324	[0, 0, 10, 31, 48, 289, 920, 0]	0.21711131554737811	0.18181818181818182	0.1979035639412998
1	CRABS_ecoPCR	6	1	naive-bayes	0.001:[7,7]	0.1716867469879518	0.5316265060240963	0.16490963855421686	0.13177710843373494	[0, 0, 13, 23, 70, 288, 934, 0]	0.20559062218214608	0.1716867469879518	0.18711530570373408
2	CRABS_ecoPCR	6	2	naive-bayes	0.001:[7,7]	0.173414820473644	0.5255920550038197	0.15584415584415584	0.14514896867838045	[0, 0, 9, 38, 47, 300, 915, 0]	0.20542986425339366	0.173414820473644	0.18806959403479703
3	CRABS_ecoPCR	6	3	naive-bayes	0.001:[7,7]	0.1638591117917305	0.5267993874425727	0.16079632465543645	0.14854517611026033	[0, 0, 9, 32, 50, 313, 902, 0]	0.19525547445255476	0.1638591117917305	0.1781848459616986
4	CRABS_ecoPCR	6	4	naive-bayes	0.001:[7,7]	0.1772831926323868	0.5349194167306216	0.1634689178818112	0.12432847275518036	[0, 1, 8, 26, 54, 286, 928, 0]	0.21192660550458717	0.1772831926323868	0.19306310071040533
5	CRABS_ecoPCR	6	5	naive-bayes	0.001:[7,7]	0.18830675778283978	0.489749430523918	0.17615793470007593	0.14578587699316628	[0, 0, 15, 27, 50, 332, 893, 0]	0.22857142857142856	0.18830675778283978	0.20649458784346378
6	CRABS_ecoPCR	6	6	naive-bayes	0.001:[7,7]	0.17076923076923076	0.5330769230769231	0.15384615384615385	0.1423076923076923	[0, 0, 5, 28, 58, 294, 915, 0]	0.2018181818181818	0.17076923076923076	0.185
7	CRABS_ecoPCR	6	7	naive-bayes	0.001:[7,7]	0.16337386018237082	0.5182370820668692	0.17857142857142858	0.1398176291793313	[0, 0, 13, 33, 48, 325, 897, 0]	0.19888991674375578	0.16337386018237082	0.17939090529828952
8	CRABS_ecoPCR	6	8	naive-bayes	0.001:[7,7]	0.182370820668693	0.5395136778115501	0.1413373860182371	0.13677811550151975	[0, 0, 7, 23, 40, 298, 948, 0]	0.21238938053097345	0.182370820668693	0.196238757154538
9	CRABS_ecoPCR	6	9	naive-bayes	0.001:[7,7]	0.1719939117199391	0.5380517503805176	0.15905631659056316	0.1308980213089802	[0, 1, 13, 30, 57, 280, 933, 0]	0.20452488687782805	0.1719939117199391	0.18685407193054981
10	CRABS_ecoPCR	5	0	naive-bayes	0.001:[7,7]	0.27181878747501664	0.39973351099267157	0.24516988674217188	0.0832778147901399	[0, 3, 87, 116, 287, 1008, 0, 0]	0.36010591350397175	0.27181878747501664	0.3097949886104784
11	CRABS_ecoPCR	5	1	naive-bayes	0.001:[7,7]	0.2533244680851064	0.4421542553191489	0.22672872340425532	0.07779255319148937	[0, 2, 64, 106, 286, 1046, 0, 0]	0.3276010318142734	0.2533244680851064	0.28571428571428575
12	CRABS_ecoPCR	5	2	naive-bayes	0.001:[7,7]	0.2436750998668442	0.42543275632490013	0.24633821571238348	0.08455392809587217	[0, 3, 67, 137, 290, 1005, 0, 0]	0.32332155477031804	0.2436750998668442	0.27790432801822323
13	CRABS_ecoPCR	5	3	naive-bayes	0.001:[7,7]	0.2523364485981308	0.4319092122830441	0.232977303070761	0.08277703604806408	[0, 2, 72, 116, 283, 1025, 0, 0]	0.3289817232375979	0.2523364485981308	0.2856063468077068
14	CRABS_ecoPCR	5	4	naive-bayes	0.001:[7,7]	0.24005305039787797	0.4316976127320955	0.2486737400530504	0.07957559681697612	[0, 1, 77, 124, 293, 1013, 0, 0]	0.3195057369814651	0.24005305039787797	0.2741385838697463
