"qseqid.x","gi","accession","mismatch_forward","forward_start","forward_stop","staxids","distinct_entries.x","qseqid.y","mismatch_reverse","reverse_start","reverse_stop","distinct_entries.y","product_length","taxid","species","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","order","family","subfamily","genus","infraorder","subcohort","superorder","superfamily","tribe","subspecies","subgenus","species.group","parvorder","varietas"
"forward_row_1","1048348243","3JD5_A","2",223,243,"9913",2,"reverse_row_1","0",438,412,2,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","810516680","5AJ3_A","2",228,248,"9823",2,"reverse_row_1","0",444,418,2,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","2254015870","7PNT_A","3",224,244,"10090",2,"reverse_row_1","0",441,415,2,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","2254015959","7PNV_A","3",224,244,"10090",2,"reverse_row_1","0",441,415,2,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","2519026283","8OIN_AA","2",226,246,"9823",2,"reverse_row_1","1",442,416,2,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","2509606814","8OIP_AA","2",228,248,"9823",2,"reverse_row_1","1",444,418,2,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","1816411","AB000667.1","0",2697,2715,"8255",2,"reverse_row_1","0",2911,2885,2,214,8255,"Paralichthys olivaceus",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Pleuronectiformes","Paralichthyidae",NA,"Paralichthys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","4586953","AB018224.1","1",228,248,"76798",2,"reverse_row_1","0",443,417,2,215,76798,"Coryphaenoides armatus",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gadiformes","Macrouridae","Macrourinae","Coryphaenoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","4586954","AB018225.1","1",228,248,"83387",2,"reverse_row_1","0",443,417,2,215,83387,"Coryphaenoides yaquinae",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gadiformes","Macrouridae","Macrourinae","Coryphaenoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","4586955","AB018226.1","1",229,247,"83388",2,"reverse_row_1","0",442,416,2,213,83388,"Coryphaenoides nasutus",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gadiformes","Macrouridae","Macrourinae","Coryphaenoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","4586956","AB018227.1","1",229,247,"83389",2,"reverse_row_1","0",443,417,2,214,83389,"Coryphaenoides longifilis",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gadiformes","Macrouridae","Macrourinae","Coryphaenoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","4586957","AB018228.1","1",229,247,"83390",2,"reverse_row_1","0",443,417,2,214,83390,"Coryphaenoides acrolepis",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gadiformes","Macrouridae","Macrourinae","Coryphaenoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","4586958","AB018229.1","1",230,248,"83391",2,"reverse_row_1","0",444,418,2,214,83391,"Coryphaenoides cinereus",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gadiformes","Macrouridae","Macrourinae","Coryphaenoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","4586959","AB018230.1","1",229,247,"83392",2,"reverse_row_1","0",443,417,2,214,83392,"Albatrossia pectoralis",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gadiformes","Macrouridae","Macrourinae","Albatrossia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","4586960","AB018231.1","1",228,248,"83394",2,"reverse_row_1","1",443,417,2,215,83394,"Coelorinchus gilberti",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gadiformes","Macrouridae","Macrourinae","Coelorinchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","4586961","AB018232.1","1",229,249,"83396",2,"reverse_row_1","0",445,419,2,216,83396,"Coelorinchus macrochir",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gadiformes","Macrouridae","Macrourinae","Coelorinchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","12248846","AB021885.1","0",134,152,"86963",2,"reverse_row_1","0",348,322,2,214,86963,"Anguilla megastoma",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","12248847","AB021886.1","0",135,153,"86967",2,"reverse_row_1","0",349,323,2,214,86967,"Anguilla interioris",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","12248848","AB021887.1","0",134,152,"7936",2,"reverse_row_1","0",350,324,2,216,7936,"Anguilla anguilla",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","12248849","AB021888.1","0",134,152,"7937",2,"reverse_row_1","0",348,322,2,214,7937,"Anguilla japonica",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","12248850","AB021889.1","0",135,153,"86961;86962",2,"reverse_row_1","0",349,323,2,214,86961,"Anguilla australis",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,"Anguilla australis australis",NA,NA,NA,NA
"forward_row_1","12248851","AB021890.1","0",135,153,"7939",2,"reverse_row_1","0",349,323,2,214,7939,"Anguilla marmorata",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","12248853","AB021892.1","0",136,154,"48164",2,"reverse_row_1","0",350,324,2,214,48164,"Anguilla mossambica",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","12248854","AB021893.1","0",135,153,"61125",2,"reverse_row_1","0",349,323,2,214,61125,"Anguilla bicolor",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,"Anguilla bicolor bicolor",NA,NA,NA,NA
"forward_row_1","12248855","AB021894.1","0",135,153,"61126",2,"reverse_row_1","0",349,323,2,214,61126,"Anguilla bicolor",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,"Anguilla bicolor pacifica",NA,NA,NA,NA
"forward_row_1","12248856","AB021895.1","0",134,152,"103812",2,"reverse_row_1","0",348,322,2,214,103812,"Anguilla malgumora",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","12248857","AB021896.1","0",134,152,"48163",2,"reverse_row_1","0",348,322,2,214,48163,"Anguilla celebesensis",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1","12248858","AB021897.1","0",135,153,"86966",2,"reverse_row_1","0",349,323,2,214,86966,"Anguilla nebulosa",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,"Anguilla nebulosa nebulosa",NA,NA,NA,NA
"forward_row_1","12248859","AB021898.1","0",135,153,"86964",2,"reverse_row_1","0",349,323,2,214,86964,"Anguilla obscura",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
