"qseqid.x","gi","accession","mismatch_forward","forward_start","forward_stop","staxids","distinct_entries.x","qseqid.y","mismatch_reverse","reverse_start","reverse_stop","distinct_entries.y","product_length","taxid","species","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","order","family","subfamily","genus","infraorder","subcohort","superorder","superfamily","tribe","subspecies","subgenus","species.group","parvorder","varietas"
"forward_row_1",375299203,"JQ256932.1",0,902,917,"192893",2,"reverse_row_1",2,1006,987,2,104,192893,"Cercopithecus petaurista",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Cercopithecidae","Cercopithecinae","Cercopithecus","Simiiformes",NA,"Euarchontoglires","Cercopithecoidea",NA,"Cercopithecus petaurista buettikoferi",NA,NA,"Catarrhini",NA
"forward_row_1",732450223,"KM881678.1",1,920,936,"1582057",2,"reverse_row_1",2,1027,1008,2,107,1582057,"Hippidion principale",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Equidae",NA,"Hippidion",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",1244551774,"KY678345.1",1,908,924,"9275",2,"reverse_row_1",1,1006,987,2,98,9275,"Thylacinus cynocephalus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Dasyuromorphia","Thylacinidae",NA,"Thylacinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",1297050468,"MF180235.1",0,772,788,"7965",2,"reverse_row_1",0,872,853,2,100,7965,"Hypophthalmichthys nobilis",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Xenocyprididae","Xenocypridinae","Hypophthalmichthys",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",1828713914,"MK909144.1",1,791,807,"102233",2,"reverse_row_1",2,896,878,2,105,102233,"Rhinoceros sondaicus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",2057493056,"MW846091.1",1,853,869,"46122",2,"reverse_row_1",2,959,940,2,106,46122,"Equus sp.",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Equidae",NA,"Equus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",2315389811,"OL825722.1",1,850,866,"1983743",2,"reverse_row_1",2,956,937,2,106,1983743,"Haringtonhippus francisci",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Equidae",NA,"Haringtonhippus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",2742828393,"PP187756.1",1,903,919,"9615",2,"reverse_row_1",3,1007,988,2,104,9615,"Canis lupus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Canidae",NA,"Canis",NA,NA,"Laurasiatheria",NA,NA,"Canis lupus familiaris",NA,NA,NA,NA
"forward_row_1",224380865,"FJ662574.1",1,402,418,"611295",2,"reverse_row_1",2,500,481,2,98,611295,"Phyllodactylus nocticolus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Lepidosauria",NA,"Squamata","Phyllodactylidae",NA,"Phyllodactylus","Gekkota",NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",375298944,"JQ256912.1",0,903,918,"60712",2,"reverse_row_1",1,1007,988,2,104,60712,"Chlorocebus tantalus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Cercopithecidae","Cercopithecinae","Chlorocebus","Simiiformes",NA,"Euarchontoglires","Cercopithecoidea",NA,NA,NA,NA,"Catarrhini",NA
