"qseqid.x","gi","accession","mismatch_forward","forward_start","forward_stop","staxids","distinct_entries.x","qseqid.y","mismatch_reverse","reverse_start","reverse_stop","distinct_entries.y","product_length"
"forward_row_1","10835584","1FJG_A","0",1379,1392,"274;562;262724;300852",2,"reverse_row_1","3",1498,1479,2,119
"forward_row_1","206585693","1FKA_A","0",1375,1388,"274",2,"reverse_row_1","3",1494,1475,2,119
"forward_row_1","14278530","1I94_A","0",1377,1390,"274",2,"reverse_row_1","3",1496,1477,2,119
"forward_row_1","206585745","2E5L_A","0",1378,1391,"274",2,"reverse_row_1","3",1497,1478,2,119
"forward_row_1","157882114","2F4V_A","0",1378,1391,"274",2,"reverse_row_1","3",1497,1478,2,119
"forward_row_1","1379070014","2UXD_A","0",1380,1393,"300852",2,"reverse_row_1","3",1499,1480,2,119
"forward_row_1","226887629","2ZM6_A","0",1378,1391,"274",2,"reverse_row_1","3",1497,1478,2,119
"forward_row_1","1979424140","3J9M_AA","1",833,849,"9606",2,"reverse_row_1","1",937,919,2,104
"forward_row_1","374074263","3T1H_A","0",1374,1387,"300852",2,"reverse_row_1","3",1493,1474,2,119
"forward_row_1","1565778911","4B3M_A","0",1378,1391,"274;300852",2,"reverse_row_1","3",1497,1478,2,119
"forward_row_1","594146136","4CR1_A","0",1378,1391,"300852",2,"reverse_row_1","3",1497,1478,2,119
"forward_row_1","514830034","4JV5_A","0",1374,1387,"300852",2,"reverse_row_1","3",1493,1474,2,119
"forward_row_1","514830065","4JYA_A","0",1374,1387,"300852",2,"reverse_row_1","3",1493,1474,2,119
"forward_row_1","510102253","4KHP_A","0",1374,1387,"300852",2,"reverse_row_1","3",1493,1474,2,119
"forward_row_1","609412563","4OX9_A","0",1379,1392,"274",2,"reverse_row_1","3",1498,1479,2,119
"forward_row_1","1995661321","4V49_AA","0",1390,1403,"562",2,"reverse_row_1","3",1513,1494,2,123
"forward_row_1","1995661377","4V4A_AA","0",1390,1403,"562",2,"reverse_row_1","3",1513,1494,2,123
"forward_row_1","1995661543","4V4G_AA","0",1390,1403,"562",2,"reverse_row_1","3",1512,1493,2,122
"forward_row_1","1995664463","4V5K_AA","0",1379,1392,"300852",2,"reverse_row_1","3",1498,1479,2,119
"forward_row_1","1995665896","4V63_AA","0",1380,1393,"274;262724",2,"reverse_row_1","3",1499,1480,2,119
