"qseqid.x","gi","accession","mismatch_forward","forward_start","forward_stop","staxids","distinct_entries.x","qseqid.y","mismatch_reverse","reverse_start","reverse_stop","distinct_entries.y","product_length","taxid","species","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","order","family","subfamily","genus","infraorder","subcohort","superorder","superfamily","tribe","subspecies","subgenus","species.group","parvorder","varietas"
"forward_row_1",1143565855,"KY411597.1",0,1654,1671,"466550",2,"reverse_row_1",0,1796,1779,2,142,466550,"Rhizothera longirostris",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Aves",NA,"Galliformes","Phasianidae","Perdicinae","Rhizothera",NA,NA,"Galloanserae",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",1833339115,"MN961765.1",0,410,427,"318273",2,"reverse_row_1",1,541,525,2,131,318273,"Corythomantis greeningi",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Amphibia",NA,"Anura","Hylidae","Hylinae","Corythomantis",NA,NA,"Batrachia","Hyloidea","Lophiohylini",NA,NA,NA,NA,NA
"forward_row_1",33305558,"AF375504.1",0,369,386,"1658279",2,"reverse_row_1",1,500,482,2,131,1658279,"Rhinella festae",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Amphibia",NA,"Anura","Bufonidae",NA,"Rhinella",NA,NA,"Batrachia","Hyloidea",NA,NA,NA,NA,NA,NA
"forward_row_1",71067704,"DQ073519.1",1,297,314,"9472",2,"reverse_row_1",1,437,420,2,140,9472,"Perodicticus potto",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Lorisidae",NA,"Perodicticus","Lorisiformes",NA,"Euarchontoglires",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",114148930,"DQ854630.1",0,419,434,"13603",2,"reverse_row_1",0,560,543,2,141,13603,"Istiompax indica",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Istiophoriformes","Istiophoridae",NA,"Istiompax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",375299485,"JQ256954.1",0,480,494,"1137494",2,"reverse_row_1",0,618,605,2,138,1137494,"Cercopithecus nictitans",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Cercopithecidae","Cercopithecinae","Cercopithecus","Simiiformes",NA,"Euarchontoglires","Cercopithecoidea",NA,"Cercopithecus nictitans martini",NA,NA,"Catarrhini",NA
"forward_row_1",375299648,"JQ256966.1",0,482,499,"1137490",2,"reverse_row_1",0,620,607,2,138,1137490,"Cercopithecus mitis",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Cercopithecidae","Cercopithecinae","Cercopithecus","Simiiformes",NA,"Euarchontoglires","Cercopithecoidea",NA,"Cercopithecus mitis opisthostictus",NA,NA,"Catarrhini",NA
"forward_row_1",545752968,"KF161264.1",0,1070,1087,"9606",2,"reverse_row_1",0,1211,1195,2,141,9606,"Homo sapiens",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
"forward_row_1",545766127,"KF162204.1",0,1069,1086,"9606",2,"reverse_row_1",0,1210,1194,2,141,9606,"Homo sapiens",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
"forward_row_1",545767555,"KF162306.1",0,1069,1086,"9606",2,"reverse_row_1",0,1210,1194,2,141,9606,"Homo sapiens",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
"forward_row_1",1022947266,"KT725907.1",0,1070,1087,"9606",2,"reverse_row_1",0,1211,1195,2,141,9606,"Homo sapiens",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
