"qseqid.x","gi","accession","mismatch_forward","forward_start","forward_stop","staxids","distinct_entries.x","qseqid.y","mismatch_reverse","reverse_start","reverse_stop","distinct_entries.y","product_length","taxid","species","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","order","family","subfamily","genus","infraorder","subcohort","superorder","superfamily","tribe","subspecies","subgenus","species.group","parvorder","varietas"
"forward_row_1",49090173,"AY622432.1",2,199,215,"179939",2,"reverse_row_2",2,378,358,2,179,179939,"Bythinella compressa",NA,"Metazoa","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","Littorinimorpha","Amnicolidae",NA,"Bythinella",NA,NA,NA,"Truncatelloidea",NA,NA,NA,NA,NA,NA
"forward_row_1",357062907,"HQ619683.1",2,98,114,"1104627",2,"reverse_row_2",0,285,266,2,187,1104627,"Arthrobrachus flavipennis",NA,"Metazoa","Arthropoda","Hexapoda",NA,"Insecta","Pterygota","Coleoptera","Melyridae","Melyrinae","Arthrobrachus","Cucujiformia",NA,NA,"Cleroidea",NA,NA,NA,NA,NA,NA
"forward_row_1",447218222,"KC250912.1",1,146,161,"1286863",2,"reverse_row_6",0,333,312,2,187,1286863,"Opisthostoma holzmarki",NA,"Metazoa","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","Architaenioglossa","Diplommatinidae",NA,"Opisthostoma",NA,NA,NA,"Cyclophoroidea",NA,NA,NA,NA,NA,NA
"forward_row_1",955665595,"KR911789.1",0,2180,2194,"1655510",2,"reverse_row_4",0,2403,2382,2,223,1655510,"Prosciurillus weberi",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Rodentia","Sciuridae","Callosciurinae","Prosciurillus",NA,NA,"Euarchontoglires",NA,"Callosciurini",NA,NA,NA,NA,NA
"forward_row_1",955665794,"KT001463.1",0,2221,2237,"226563",2,"reverse_row_4",0,2447,2426,2,226,226563,"Nannosciurus melanotis",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Rodentia","Sciuridae","Callosciurinae","Nannosciurus",NA,NA,"Euarchontoglires",NA,"Callosciurini",NA,NA,NA,NA,NA
"forward_row_1",1039304575,"KX388143.1",0,2113,2127,"34888",2,"reverse_row_4",0,2338,2317,2,225,34888,"Phocarctos hookeri",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Otariidae",NA,"Phocarctos",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",1559952531,"KY410901.1",0,2168,2182,"64678",2,"reverse_row_4",0,2385,2364,2,217,64678,"Callosciurus notatus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Rodentia","Sciuridae","Callosciurinae","Callosciurus",NA,NA,"Euarchontoglires",NA,"Callosciurini",NA,NA,NA,NA,NA
"forward_row_1",1188497379,"KY987556.1",0,2021,2035,"30535",2,"reverse_row_4",0,2242,2221,2,221,30535,"Tayassu pecari",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Tayassuidae",NA,"Tayassu",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",1487658313,"MG010502.1",1,186,201,"2447876",2,"reverse_row_6",0,409,388,2,223,2447876,"Macrotritopus defilippi",NA,"Metazoa","Mollusca",NA,NA,"Cephalopoda","Coleoidea","Octopoda","Octopodidae",NA,"Macrotritopus",NA,NA,"Octopodiformes",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",1922070689,"MN807592.1",0,2143,2159,"121576",2,"reverse_row_4",0,2363,2342,2,220,121576,"Pelomys fallax",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Rodentia","Muridae","Murinae","Pelomys",NA,NA,"Euarchontoglires",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",1996610787,"MT636098.1",0,2157,2171,"99490",2,"reverse_row_4",0,2377,2356,2,220,99490,"Loxodonta cyclotis",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Proboscidea","Elephantidae",NA,"Loxodonta",NA,NA,"Afrotheria",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",2156963274,"OL631592.1",0,2131,2145,"2885232",2,"reverse_row_4",0,2351,2330,2,220,2885232,"Notiomastodon platensis",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Proboscidea","Gomphotheriidae",NA,"Notiomastodon",NA,NA,"Afrotheria",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",2188700815,"OM519383.1",2,187,203,"2268371",2,"reverse_row_2",0,382,361,2,195,2268371,"Schizoptera (Lophopleurum) sp. Peru 342",NA,"Metazoa","Arthropoda","Hexapoda",NA,"Insecta","Pterygota","Hemiptera","Schizopteridae",NA,"Schizoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",2449205467,"OM810000.1",0,2143,2157,"3029580",2,"reverse_row_4",0,2359,2338,2,216,3029580,"Lasiopodomys anglicus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Rodentia","Cricetidae","Arvicolinae","Lasiopodomys",NA,NA,"Euarchontoglires",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",2587257300,"OP803072.1",1,2162,2178,"222863",2,"reverse_row_4",0,2385,2364,2,223,222863,"Coelodonta antiquitatis",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Coelodonta",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",2470414715,"OQ538072.1",1,2141,2155,"9555",2,"reverse_row_4",1,2362,2341,2,221,9555,"Papio anubis",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Cercopithecidae","Cercopithecinae","Papio","Simiiformes",NA,"Euarchontoglires","Cercopithecoidea",NA,NA,NA,NA,"Catarrhini",NA
"forward_row_1",2644582558,"OR138102.1",0,2167,2184,"3111935",3,"reverse_row_4",0,2387,2366,3,220,3111935,"Hylomys vorax",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Eulipotyphla","Erinaceidae","Galericinae","Hylomys",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",2734740331,"PP817917.1",1,219,236,"3093012",2,"reverse_row_2",1,433,412,2,214,3093012,"Benthogone rosea",NA,"Metazoa","Echinodermata",NA,"Echinozoa","Holothuroidea","Aspidochirotacea","Elasipodida","Laetmogonidae",NA,"Benthogone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",17221824,"AF206496.1",2,1046,1065,"110094",2,"reverse_row_4",1,1272,1251,2,226,110094,"Limnonectes dabanus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Amphibia",NA,"Anura","Dicroglossidae","Dicroglossinae","Limnonectes",NA,NA,"Batrachia","Ranoidea",NA,NA,NA,NA,NA,NA
"forward_row_1",9857840,"AF261257.1",2,643,662,"127650",2,"reverse_row_4",1,869,848,2,226,127650,"Guibemantis flavobrunneus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Amphibia",NA,"Anura","Mantellidae","Mantellinae","Guibemantis",NA,NA,"Batrachia","Ranoidea",NA,NA,"Pandanusicola",NA,NA,NA
"forward_row_1",55831653,"AY649151.1",1,186,200,"71008",2,"reverse_row_4",1,383,362,2,197,71008,"Elgaria multicarinata",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Lepidosauria",NA,"Squamata","Anguidae",NA,"Elgaria","Anguimorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",55831679,"AY649177.1",1,187,201,"293415",2,"reverse_row_4",1,389,368,2,202,293415,"Takydromus sp. MCB 205",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Lepidosauria",NA,"Squamata","Lacertidae","Lacertinae","Takydromus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",157986582,"EU162564.1",2,189,205,"476083",2,"reverse_row_2",1,383,367,2,194,476083,"Onthophagus sharpi",NA,"Metazoa","Arthropoda","Hexapoda",NA,"Insecta","Pterygota","Coleoptera","Scarabaeidae","Scarabaeinae","Onthophagus","Scarabaeiformia",NA,NA,"Scarabaeoidea","Onthophagini",NA,NA,NA,NA,NA
"forward_row_1",158121114,"EU164486.1",1,186,200,"475988",2,"reverse_row_4",1,339,318,2,153,475988,"Panaspis annobonensis",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Lepidosauria",NA,"Squamata","Scincidae","Eugongylinae","Panaspis","Scinciformata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",261600073,"FJ945413.1",1,201,220,"95136",2,"reverse_row_4",0,465,444,2,264,95136,"Ranoidea nannotis",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Amphibia",NA,"Anura","Hylidae","Pelodryadinae","Ranoidea",NA,NA,"Batrachia","Hyloidea",NA,NA,NA,NA,NA,NA
"forward_row_1",261600077,"FJ945417.1",1,216,235,"681259",2,"reverse_row_4",0,480,459,2,264,681259,"Litoria nyakalensis",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Amphibia",NA,"Anura","Hylidae","Pelodryadinae","Litoria",NA,NA,"Batrachia","Hyloidea",NA,NA,NA,NA,NA,NA
"forward_row_1",375299068,"JQ256922.1",1,2137,2151,"36224",2,"reverse_row_4",1,2355,2334,2,218,36224,"Cercopithecus diana",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Cercopithecidae","Cercopithecinae","Cercopithecus","Simiiformes",NA,"Euarchontoglires","Cercopithecoidea",NA,NA,NA,NA,"Catarrhini",NA
"forward_row_1",375299432,"JQ256949.1",1,2138,2152,"192859",2,"reverse_row_4",1,2357,2336,2,219,192859,"Cercopithecus cephus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Cercopithecidae","Cercopithecinae","Cercopithecus","Simiiformes",NA,"Euarchontoglires","Cercopithecoidea",NA,"Cercopithecus cephus cephodes",NA,NA,"Catarrhini",NA
"forward_row_1",375299440,"JQ256950.1",1,2125,2139,"192860",2,"reverse_row_4",1,2344,2323,2,219,192860,"Cercopithecus cephus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Cercopithecidae","Cercopithecinae","Cercopithecus","Simiiformes",NA,"Euarchontoglires","Cercopithecoidea",NA,"Cercopithecus cephus cephus",NA,NA,"Catarrhini",NA
"forward_row_1",375299460,"JQ256952.1",1,2140,2154,"1137494",2,"reverse_row_4",1,2359,2338,2,219,1137494,"Cercopithecus nictitans",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Cercopithecidae","Cercopithecinae","Cercopithecus","Simiiformes",NA,"Euarchontoglires","Cercopithecoidea",NA,"Cercopithecus nictitans martini",NA,NA,"Catarrhini",NA
"forward_row_1",375299485,"JQ256954.1",0,2131,2145,"1137494",2,"reverse_row_4",0,2350,2329,2,219,1137494,"Cercopithecus nictitans",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Cercopithecidae","Cercopithecinae","Cercopithecus","Simiiformes",NA,"Euarchontoglires","Cercopithecoidea",NA,"Cercopithecus nictitans martini",NA,NA,"Catarrhini",NA
"forward_row_1",379317552,"JQ664510.1",0,2723,2739,"9606",2,"reverse_row_4",0,2942,2927,2,219,9606,"Homo sapiens",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
"forward_row_1",399568269,"JX267527.1",1,682,701,"448804",2,"reverse_row_4",0,910,889,2,228,448804,"Ischnocnema parva",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Amphibia",NA,"Anura","Brachycephalidae",NA,"Ischnocnema",NA,NA,"Batrachia","Hyloidea",NA,NA,NA,NA,NA,NA
"forward_row_1",416949330,"JX893367.1",0,2700,2716,"9606",2,"reverse_row_4",0,2919,2898,2,219,9606,"Homo sapiens",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
"forward_row_1",545753612,"KF161310.1",0,2724,2740,"9606",2,"reverse_row_4",0,2943,2922,2,219,9606,"Homo sapiens",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
"forward_row_1",545755823,"KF161468.1",0,2724,2740,"9606",2,"reverse_row_4",0,2943,2922,2,219,9606,"Homo sapiens",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
"forward_row_1",545766575,"KF162236.1",0,2725,2740,"9606",2,"reverse_row_4",0,2943,2922,2,218,9606,"Homo sapiens",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
"forward_row_1",545767555,"KF162306.1",0,2724,2740,"9606",2,"reverse_row_4",0,2943,2922,2,219,9606,"Homo sapiens",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
"forward_row_1",545769207,"KF162424.1",0,2724,2740,"9606",2,"reverse_row_4",0,2943,2922,2,219,9606,"Homo sapiens",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
"forward_row_1",545769809,"KF162467.1",0,2725,2741,"9606",2,"reverse_row_4",0,2944,2923,2,219,9606,"Homo sapiens",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
"forward_row_1",558479024,"KF661093.1",0,2129,2145,"9615",2,"reverse_row_4",0,2354,2333,2,225,9615,"Canis lupus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Canidae",NA,"Canis",NA,NA,"Laurasiatheria",NA,NA,"Canis lupus familiaris",NA,NA,NA,NA
"forward_row_1",669034280,"KJ746946.1",2,2250,2267,"13095",2,"reverse_row_4",0,2494,2473,2,244,13095,"Hypophthalmichthys molitrix",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Xenocyprididae","Xenocypridinae","Hypophthalmichthys",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",733372902,"KM247363.1",1,2361,2380,"58512",2,"reverse_row_4",1,2582,2561,2,221,58512,"Cornufer vitiensis",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Amphibia",NA,"Anura","Ceratobatrachidae","Ceratobatrachinae","Cornufer",NA,NA,"Batrachia","Ranoidea",NA,NA,NA,NA,NA,NA
