"qseqid.x","gi","accession","mismatch_forward","forward_start","forward_stop","staxids","distinct_entries.x","qseqid.y","mismatch_reverse","reverse_start","reverse_stop","distinct_entries.y","product_length","taxid","species","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","order","family","subfamily","genus","infraorder","subcohort","superorder","superfamily","tribe","subspecies","subgenus","species.group","parvorder","varietas"
"forward_row_1",1059791178,"AH013728.2",3,101,121,"264759",2,"reverse_row_1",0,331,305,2,230,3370991,"Atopogale cubana",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Eulipotyphla","Solenodontidae",NA,"Atopogale",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",71067665,"DQ073480.1",2,194,211,"261736",2,"reverse_row_1",0,407,381,2,213,261736,"Euoticus elegantulus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Galagidae",NA,"Euoticus","Lorisiformes",NA,"Euarchontoglires",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",312145566,"HQ283935.1",2,167,187,"65618",2,"reverse_row_1",0,383,357,2,216,65618,"Thylogale brunii",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Diprotodontia","Macropodidae",NA,"Thylogale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",1028909287,"KX098449.1",3,206,226,"1849957",2,"reverse_row_1",0,424,398,2,218,1849957,"Doedicurus sp.",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Cingulata","Chlamyphoridae",NA,"Doedicurus",NA,NA,"Xenarthra",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",1036304757,"KX369035.1",3,185,205,"1860146",2,"reverse_row_1",0,413,387,2,228,1860146,"Xenicus longipes",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Aves",NA,"Passeriformes","Acanthisittidae",NA,"Xenicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",1559953773,"KY410989.1",3,301,321,"226563",2,"reverse_row_1",0,519,493,2,218,226563,"Nannosciurus melanotis",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Rodentia","Sciuridae","Callosciurinae","Nannosciurus",NA,NA,"Euarchontoglires",NA,"Callosciurini",NA,NA,NA,NA,NA
"forward_row_1",1595961178,"MK434261.1",2,305,322,"2558235",2,"reverse_row_1",0,528,502,2,223,2558235,"Canirallus oculeus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Aves",NA,"Gruiformes","Rallidae",NA,"Canirallus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",1672732419,"MK847864.1",2,155,175,"201717",2,"reverse_row_1",0,370,344,2,215,201717,"Myotragus balearicus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Caprinae","Myotragus","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",1865332580,"MN927585.1",3,1426,1446,"30405",2,"reverse_row_1",1,1652,1626,2,226,30405,"Rollulus rouloul",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Aves",NA,"Galliformes","Phasianidae","Perdicinae","Rollulus",NA,NA,"Galloanserae",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",2708114909,"OR750881.1",2,306,323,"54484",2,"reverse_row_1",2,528,504,2,222,54484,"Porphyrio mantelli",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Aves",NA,"Gruiformes","Rallidae",NA,"Porphyrio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",2866542079,"PQ723612.1",3,302,322,"2497798",2,"reverse_row_1",0,523,497,2,221,2497798,"Poliocephalus rufopectus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Aves",NA,"Podicipediformes","Podicipedidae",NA,"Poliocephalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",33385552,"AY218028.1",3,217,237,"156905",2,"reverse_row_1",0,432,412,2,215,156905,"Scelotes bipes",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Lepidosauria",NA,"Squamata","Scincidae","Scincinae","Scelotes","Scinciformata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",67090568,"DQ055719.1",3,35,55,"239969",2,"reverse_row_1",0,263,237,2,228,239969,"Pachyornis australis",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Aves",NA,"Dinornithiformes","Emeidae",NA,"Pachyornis",NA,NA,"Palaeognathae",NA,NA,NA,NA,NA,NA,NA
